"dci"	"dcirenommer"	"relation"	"code"	"substances"	"validation"
"ACIDE ACETYLSALICYLIQUE"	"ACETYLSALICYLATE"	"hasform"	"411"	"SODIUM (ACÉTYLSALICYLATE DE)"	"semiautomatique"
"ACIDE ACETYLSALICYLIQUE"	"ACETYLSALICYLATE"	"hasform"	"3107"	"ACÉTYLSALICYLATE DE DL-LYSINE"	"manuelle"
"ACIDE ACETYLSALICYLIQUE"		"same"	"5"	"ACIDE ACÉTYLSALICYLIQUE"	"semiautomatique"
"ACIDE ACETYLSALICYLIQUE"		"same"	"5"	"ASPIRINE"	"semiautomatique"
"ACIDE ACETYLSALICYLIQUE"		"same"	"5"	"ACÉTYLSALICYLIQUE (ACIDE)"	"semiautomatique"
"ACIDE ALENDRONIQUE"	"ALENDRONATE"	"hasform"	"24982"	"ALENDRONATE MONOSODIQUE TRIHYDRATÉ"	"manuelle"
"ACIDE ALENDRONIQUE"	"ALENDRONATE"	"hasform"	"24982"	"ALENDRONATE DE SODIUM"	"manuelle"
"ACIDE ALENDRONIQUE"	"ALENDRONATE"	"hasform"	"24982"	"SODIUM (ALENDRONATE DE) TRIHYDRATÉ"	"manuelle"
"ACIDE ALENDRONIQUE"	"ALENDRONATE"	"hasform"	"17270"	"ALENDRONATE MONOSODIQUE MONOHYDRATÉ"	"semiautomatique"
"ACIDE ALENDRONIQUE"	"ALENDRONATE"	"hasform"	"43912"	"ALENDRONATE DE SODIUM ANHYDRE"	"semiautomatique"
"ACIDE ALENDRONIQUE"	"ALENDRONATE"	"hasform"	"24982"	"ALENDRONATE DE SODIUM TRIHYDRATÉ"	"manuelle"
"ACIDE ALENDRONIQUE"		"same"	"35532"	"ALENDRONATE ACIDE ANHYDRE"	"automatique"
"ACIDE ALENDRONIQUE"		"same"	"35532"	"ALENDRONIQUE (ACIDE)"	"automatique"
"ACIDE ALENDRONIQUE"		"same"	"35532"	"ACIDE ALENDRONIQUE"	"automatique"
"ACIDE AMIDOTRIZOIQUE"	"AMIDOTRIZOATE"	"hasform"	"1123"	"AMIDOTRIZOATE DE SODIUM"	"semiautomatique"
"ACIDE AMIDOTRIZOIQUE"	"AMIDOTRIZOATE"	"hasform"	"3146"	"AMIDOTRIZOATE DE MÉGLUMINE"	"manuelle"
"ACIDE ASCORBIQUE"	"ASCORBATE"	"hasform"	"3641"	"ASCORBATE DE CALCIUM DIHYDRATÉ"	"semiautomatique"
"ACIDE ASCORBIQUE"	"ASCORBATE"	"hasform"	"512"	"ASCORBATE FERREUX"	"semiautomatique"
"ACIDE ASCORBIQUE"	"ASCORBATE"	"hasform"	"4716"	"ASCORBATE DE NICOTINAMIDE"	"semiautomatique"
"ACIDE ASCORBIQUE"	"ASCORBATE"	"hasform"	"1182"	"ASCORBATE DE SODIUM"	"manuelle"
"ACIDE ASCORBIQUE"	"ASCORBATE"	"hasform"	"3641"	"CALCIUM (ASCORBATE DE)"	"semiautomatique"
"ACIDE ASCORBIQUE"	"ASCORBATE"	"hasform"	"67"	"MAGNÉSIUM (ASCORBATE DE)"	"semiautomatique"
"ACIDE ASCORBIQUE"	"ASCORBATE"	"hasform"	"1182"	"SODIUM (ASCORBATE DE)"	"manuelle"
"ACIDE ASCORBIQUE"	"ASCORBATE"	"hasform"	"3641"	"ASCORBATE DE CALCIUM"	"semiautomatique"
"ACIDE ASCORBIQUE"	"ASCORBATE"	"hasform"	"1182"	"ASCORBATE SODIQUE"	"manuelle"
"ACIDE ASCORBIQUE"		"same"	"1023"	"ACIDE ASCORBIQUE"	"semiautomatique"
"ACIDE ASCORBIQUE"		"same"	"1023"	"ASCORBIQUE (ACIDE)"	"semiautomatique"
"ACIDE ASCORBIQUE"		"same"	"1023"	"VITAMINE C"	"semiautomatique"
"ACIDE CHENODESOXYCHOLIQUE"		"same"	"345"	"ACIDE CHENODESOXYCHOLIQUE "	"automatique"
"ACIDE CHOLIQUE"		"same"	"767"	"ACIDE CHOLIQUE"	"automatique"
"ACIDE CLODRONIQUE"	"CLODRONATE"	"hasform"	"62139"	"CLODRONATE DE SODIUM ANHYDRE"	"manuelle"
"ACIDE CLODRONIQUE"	"CLODRONATE"	"hasform"	"81716"	"SODIUM (CLODRONATE DE) TÉTRAHYDRATÉ"	"semiautomatique"
"ACIDE CLODRONIQUE"	"CLODRONATE"	"hasform"	"81716"	"CLODRONATE DISODIQUE TETRAHYDRATÉ"	"semiautomatique"
"ACIDE ETIDRONIQUE"	"ETIDRONATE"	"hasform"	"13104"	"ÉTIDRONATE DE SODIUM"	"manuelle"
"ACIDE ETIDRONIQUE"	"ETIDRONATE"	"hasform"	"13104"	"ÉTIDRONATE DISODIQUE"	"manuelle"
"ACIDE ETIDRONIQUE"	"ETIDRONATE"	"hasform"	"13104"	"SODIUM (ÉTIDRONATE DE)"	"manuelle"
"ACIDE FOLINIQUE"	"FOLINATE"	"hasform"	"5390"	"CALCIUM (FOLINATE DE)"	"semiautomatique"
"ACIDE FOLINIQUE"	"FOLINATE"	"hasform"	"5390"	"FOLINATE DE CALCIUM"	"semiautomatique"
"ACIDE FOLINIQUE"	"FOLINATE"	"hasform"	"17162"	"FOLINATE DISODIQUE"	"manuelle"
"ACIDE FOLINIQUE"		"same"	"67056"	"ACIDE LÉVOFOLINIQUE"	"semiautomatique"
"ACIDE FOLINIQUE"		"same"	"67056"	"ACIDE L FOLINIQUE"	"semiautomatique"
"ACIDE FOLINIQUE"		"same"	"67056"	"LÉVOFOLINIQUE (ACIDE)"	"semiautomatique"
"ACIDE FOLINIQUE"		"same"	"90673"	"ACIDE FOLINIQUE"	"semiautomatique"
"ACIDE FOLIQUE"		"same"	"1040"	"FOLIQUE (ACIDE)"	"semiautomatique"
"ACIDE FOLIQUE"		"same"	"1040"	"ACIDE FOLIQUE"	"semiautomatique"
"ACIDE FUSIDIQUE"	"FUSIDATE"	"hasform"	"4913"	"FUSIDATE DE SODIUM"	"manuelle"
"ACIDE FUSIDIQUE"	"FUSIDATE"	"hasform"	"4913"	"SODIUM (FUSIDATE DE)"	"manuelle"
"ACIDE FUSIDIQUE"		"same"	"2160"	"FUSIDIQUE (ACIDE)"	"semiautomatique"
"ACIDE FUSIDIQUE"		"same"	"2160"	"ACIDE FUSIDIQUE"	"semiautomatique"
"ACIDE FUSIDIQUE"		"same"	"2160"	"ACIDE FUSIDIQUE HEMIHYDRATE"	"semiautomatique"
"ACIDE FUSIDIQUE"		"hasform"	"41859"	"ACIDE FUSIDIQUE ANHYDRE"	"semiautomatique"
"ACIDE IBANDRONIQUE"	"IBANDRONATE"	"hasform"	"86008"	"IBANDRONATE MONOSODIQUE MONOHYDRATÉ"	"manuelle"
"ACIDE IBANDRONIQUE"	"IBANDRONATE"	"hasform"	"86008"	"IBANDRONIQUE (ACIDE), SEL MONOSODIQUE, MONOHYDRATÉ"	"manuelle"
"ACIDE IBANDRONIQUE"	"IBANDRONATE"	"hasform"	"86008"	"ACIDE IBANDRONIQUE, SEL MONOSODIQUE, MONOHYDRATÉ"	"manuelle"
"ACIDE IBANDRONIQUE"		"same"	"24277"	"IBANDRONIQUE (ACIDE)"	"automatique"
"ACIDE IBANDRONIQUE"		"same"	"24277"	"ACIDE IBANDRONIQUE"	"automatique"
"ACIDE IOXAGLIQUE"	"IOXAGLATE"	"hasform"	"937"	"IOXAGLATE DE MÉGLUMINE"	"manuelle"
"ACIDE IOXAGLIQUE"	"IOXAGLATE"	"hasform"	"937"	"MÉGLUMINE (IOXAGLATE DE)"	"manuelle"
"ACIDE IOXAGLIQUE"	"IOXAGLATE"	"hasform"	"938"	"IOXAGLATE DE SODIUM"	"semiautomatique"
"ACIDE IOXAGLIQUE"	"IOXAGLATE"	"hasform"	"938"	"SODIUM (IOXAGLATE DE)"	"semiautomatique"
"ACIDE IOXITALAMIQUE"	"IOXITALAMATE"	"hasform"	"5131"	"SODIUM (IOXITALAMATE DE)"	"semiautomatique"
"ACIDE IOXITALAMIQUE"	"IOXITALAMATE"	"hasform"	"5455"	"MÉGLUMINE (IOXITALAMATE DE)"	"manuelle"
"ACIDE IOXITALAMIQUE"	"IOXITALAMATE"	"hasform"	"5455"	"IOXITALAMATE DE MÉGLUMINE"	"manuelle"
"ACIDE IOXITALAMIQUE"	"IOXITALAMATE"	"hasform"	"5131"	"IOXITALAMATE DE SODIUM"	"semiautomatique"
"ACIDE MEDRONIQUE"	"MEDRONATE"	"hasform"	"97272"	"SODIUM (MÉDRONATE DE)"	"manuelle"
"ACIDE MEDRONIQUE"		"same"	"26808"	"MÉDRONIQUE (ACIDE)"	"automatique"
"ACIDE MEDRONIQUE"		"same"	"26808"	"ACIDE MÉDRONIQUE"	"automatique"
"ACIDE MEDRONIQUE"		"same"	"26808"	"ACIDE MÉTHYLÈNE DIPHOSPHONIQUE"	"automatique"
"ACIDE MEFENAMIQUE"		"same"	"1056"	"ACIDE MÉFÉNAMIQUE"	"automatique"
"ACIDE NICOTINIQUE"	"NICOTINATE"	"hasform"	"2534"	"BENZYLE (NICOTINATE DE)"	"semiautomatique"
"ACIDE NICOTINIQUE"	"NICOTINATE"	"hasform"	"4943"	"NICOTINATE DE GUÉTHOL"	"semiautomatique"
"ACIDE NICOTINIQUE"	"NICOTINATE"	"hasform"	"1298"	"NICOTINATE DE BUTOXYETHYLE"	"semiautomatique"
"ACIDE NICOTINIQUE"	"NICOTINATE"	"hasform"	"3844"	"GAIACOL (NICOTINATE DE)"	"semiautomatique"
"ACIDE NICOTINIQUE"	"NICOTINATE"	"hasform"	"5452"	"NICOTINATE DE MÉTHYLE"	"manuelle"
"ACIDE NICOTINIQUE"	"NICOTINATE"	"hasform"	"2534"	"NICOTINATE DE BENZYLE"	"semiautomatique"
"ACIDE NICOTINIQUE"	"NICOTINATE"	"hasform"	"1298"	"BUTOXYETHYLE (NICOTINATE DE)"	"semiautomatique"
"ACIDE NICOTINIQUE"		"same"	"1061"	"ACIDE NICOTINIQUE"	"automatique"
"ACIDE NICOTINIQUE"		"same"	"1061"	"NICOTINIQUE (ACIDE)"	"automatique"
"ACIDE NIFLUMIQUE"		"same"	"1062"	"ACIDE NIFLUMIQUE"	"automatique"
"ACIDE NIFLUMIQUE"		"same"	"1062"	"NIFLUMIQUE (ACIDE)"	"automatique"
"ACIDE OXIDRONIQUE"	"OXIDRONATE"	"hasform"	"26221"	"OXIDRONATE DE SODIUM"	"manuelle"
"ACIDE PAMIDRONIQUE"	"PAMIDRONATE"	"hasform"	"67602"	"PAMIDRONATE DE SODIUM"	"manuelle"
"ACIDE PAMIDRONIQUE"	"PAMIDRONATE"	"hasform"	"67602"	"SODIUM (PAMIDRONATE DE)"	"manuelle"
"ACIDE PAMIDRONIQUE"		"same"	"44842"	"PAMIDRONIQUE (ACIDE)"	"semiautomatique"
"ACIDE RISEDRONIQUE"	"RISEDRONATE"	"hasform"	"45087"	"RISÉDRONATE MONOSODIQUE"	"manuelle"
"ACIDE RISEDRONIQUE"	"RISEDRONATE"	"hasform"	"37314"	"RISÉDRONATE MONOSODIQUE ANHYDRE"	"semiautomatique"
"ACIDE RISEDRONIQUE"	"RISEDRONATE"	"hasform"	"99549"	"RISÉDRONATE MONOSODIQUE HÉMIPENTAHYDRATÉ"	"semiautomatique"
"ACIDE RISEDRONIQUE"	"RISEDRONATE"	"hasform"	"16182"	"RISÉDRONATE MONOSODIQUE MONOHYDRATÉ"	"semiautomatique"
"ACIDE RISEDRONIQUE"		"same"	"99915"	"RISÉDRONIQUE (ACIDE)"	"automatique"
"ACIDE RISEDRONIQUE"		"same"	"99915"	"ACIDE RISÉDRONIQUE"	"automatique"
"ACIDE SALICYLIQUE"	"SALICYLATE"	"hasform"	"4891"	"ÉSÉRINE (SALICYLATE D')"	"semiautomatique"
"ACIDE SALICYLIQUE"	"SALICYLATE"	"hasform"	"816"	"PHÉNYLPROPYLE (SALICYLATE DE)"	"semiautomatique"
"ACIDE SALICYLIQUE"	"SALICYLATE"	"hasform"	"3297"	"SALICYLATE DE PICOLAMINE"	"semiautomatique"
"ACIDE SALICYLIQUE"	"SALICYLATE"	"hasform"	"4872"	"ÉSÉRIDINE (SALICYLATE D')"	"semiautomatique"
"ACIDE SALICYLIQUE"	"SALICYLATE"	"hasform"	"5557"	"SALICYLATE DE SODIUM"	"semiautomatique"
"ACIDE SALICYLIQUE"	"SALICYLATE"	"hasform"	"2974"	"DIÉTHYLAMINE (SALICYLATE DE)"	"semiautomatique"
"ACIDE SALICYLIQUE"	"SALICYLATE"	"hasform"	"3297"	"PICOLAMINE (SALICYLATE DE)"	"semiautomatique"
"ACIDE SALICYLIQUE"	"SALICYLATE"	"hasform"	"4852"	"SALICYLATE D'HYDROXYÉTHYLE"	"manuelle"
"ACIDE SALICYLIQUE"	"SALICYLATE"	"hasform"	"4852"	"HYDROXYÉTHYLE (SALICYLATE D')"	"manuelle"
"ACIDE SALICYLIQUE"	"SALICYLATE"	"hasform"	"5588"	"AMYLE (SALICYLATE D')"	"semiautomatique"
"ACIDE SALICYLIQUE"	"SALICYLATE"	"hasform"	"5588"	"SALICYLATE D'AMYLE"	"semiautomatique"
"ACIDE SALICYLIQUE"	"SALICYLATE"	"hasform"	"4852"	"SALICYLATE DE GLYCOL"	"manuelle"
"ACIDE SALICYLIQUE"	"SALICYLATE"	"hasform"	"2974"	"SALICYLATE DE DIÉTHYLAMINE"	"semiautomatique"
"ACIDE SALICYLIQUE"		"same"	"690"	"ACIDE SALICYLIQUE"	"automatique"
"ACIDE SALICYLIQUE"		"same"	"690"	"SALICYLIQUE (ACIDE)"	"automatique"
"ACIDE TIAPROFENIQUE"		"same"	"3385"	"ACIDE TIAPROFÉNIQUE"	"automatique"
"ACIDE TIAPROFENIQUE"		"same"	"3385"	"TIAPROFÉNIQUE (ACIDE)"	"automatique"
"ACIDE TILUDRONIQUE"	"TILUDRONATE"	"hasform"	"87268"	"TILUDRONATE DISODIQUE"	"manuelle"
"ACIDE TILUDRONIQUE"		"same"	"39065"	"TILUDRONIQUE (ACIDE)"	"semiautomatique"
"ACIDE URSODESOXYCHOLIQUE"		"same"	"981"	"URSODÉSOXYCHOLIQUE (ACIDE)"	"automatique"
"ACIDE URSODESOXYCHOLIQUE"		"same"	"981"	"ACIDE URSODÉSOXYCHOLIQUE"	"automatique"
"ACIDE URSODESOXYCHOLIQUE"		"same"	"981"	"ACIDE URSODÉOXYCHOLIQUE"	"automatique"
"ACIDE VALPROIQUE"	"VALPROATE"	"hasform"	"27265"	"SODIUM (DIVALPROATE DE)"	"manuelle"
"ACIDE VALPROIQUE"	"VALPROATE"	"hasform"	"5562"	"VALPROATE DE SODIUM"	"semiautomatique"
"ACIDE VALPROIQUE"	"VALPROATE"	"hasform"	"27265"	"VALPROATE SEMISODIQUE"	"manuelle"
"ACIDE VALPROIQUE"	"VALPROATE"	"hasform"	"5562"	"SODIUM (VALPROATE DE)"	"semiautomatique"
"ACIDE VALPROIQUE"		"same"	"25252"	"VALPROÏQUE (ACIDE)"	"semiautomatique"
"ACIDE VALPROIQUE"		"same"	"25252"	"ACIDE VALPROÏQUE"	"semiautomatique"
"ACIDE ZOLEDRONIQUE"		"hasform"	"41881"	"ACIDE ZOLÉDRONIQUE ANHYDRE"	"semiautomatique"
"ACIDE ZOLEDRONIQUE"		"hasform"	"72831"	"ACIDE ZOLÉDRONIQUE TRIHYDRATÉ"	"semiautomatique"
"ACIDE ZOLEDRONIQUE"		"hasform"	"56210"	"ACIDE ZOLÉDRONIQUE HÉMIPENTAHYDRATÉ"	"semiautomatique"
"ACIDE ZOLEDRONIQUE"		"hasform"	"98588"	"ZOLÉDRONIQUE (ACIDE) MONOHYDRATÉ"	"semiautomatique"
"ACIDE ZOLEDRONIQUE"		"hasform"	"98588"	"ACIDE ZOLÉDRONIQUE MONOHYDRATÉ"	"semiautomatique"
"ACITRETINE"		"same"	"8578"	"ACITRÉTINE"	"automatique"
"ADALIMUMAB"		"same"	"80114"	"ADALIMUMAB "	"automatique"
"ADEFOVIR"		"same"	"58472"	"ADÉFOVIR"	"automatique"
"ADEFOVIR"		"hasform"	"56132"	"ADÉFOVIR DIPIVOXIL"	"semiautomatique"
"ADRENALINE"		"same"	"1080"	"ADRÉNALINE BASE"	"automatique"
"ADRENALINE"		"same"	"1080"	"ADRÉNALINE"	"automatique"
"ADRENALINE"		"same"	"1080"	"ÉPINÉPHRINE"	"automatique"
"ADRENALINE"		"hasform"	"4280"	"TARTRATE D'ADRÉNALINE"	"semiautomatique"
"ADRENALINE"		"hasform"	"4862"	"ADRÉNALINE (CHLORHYDRATE D')"	"semiautomatique"
"ADRENALINE"		"hasform"	"4862"	"CHLORHYDRATE D'ADRÉNALINE"	"semiautomatique"
"ADRENALINE"		"hasform"	"4280"	"ADRÉNALINE (TARTRATE D')"	"semiautomatique"
"AFATINIB"		"same"	"61992"	"AFATINIB"	"automatique"
"AFATINIB"		"hasform"	"30488"	"DIMALÉATE D'AFATINIB"	"semiautomatique"
"AGOMELATINE"		"same"	"38188"	"AGOMÉLATINE"	"automatique"
"ALBENDAZOLE"		"same"	"3348"	"ALBENDAZOLE"	"automatique"
"ALCOOL (BOISSON OU EXCIPIENT)"		"same"	"35"	"ALCOOL"	"semiautomatique"
"ALCOOL (BOISSON OU EXCIPIENT)"		"same"	"35"	"ÉTHANOL À 96 POUR CENT"	"semiautomatique"
"ALCURONIUM"		"hasform"	"1086"	"ALCURONIUM (CHLORURE D')"	"semiautomatique"
"ALDESLEUKINE"		"same"	"17295"	"ALDESLEUKINE "	"automatique"
"ALFACALCIDOL"		"same"	"988"	"ALFACALCIDOL"	"automatique"
"ALFENTANIL"		"same"	"5922"	"ALFENTANIL"	"automatique"
"ALFENTANIL"		"hasform"	"6166"	"ALFENTANIL (CHLORHYDRATE D')"	"semiautomatique"
"ALFUZOSINE"		"hasform"	"60310"	"ALFUZOSINE (CHLORHYDRATE D')"	"semiautomatique"
"ALFUZOSINE"		"hasform"	"60310"	"CHLORHYDRATE D'ALFUZOSINE"	"semiautomatique"
"ALIMEMAZINE"		"same"	"1090"	"ALIMÉMAZINE"	"automatique"
"ALIMEMAZINE"		"hasform"	"5762"	"ALIMÉMAZINE (TARTRATE D')"	"semiautomatique"
"ALISKIREN"	"aliskirene"	"hasform"	"49479"	"HÉMIFUMARATE D'ALISKIRÈNE"	"semiautomatique"
"ALISKIREN"	"aliskirene"	"same"	"70278"	"ALISKIRÈNE"	"manuelle"
"ALISKIREN"	"aliskirene"	"hasform"	"49479"	"ALISKIRÈNE (HÉMIFUMARATE D')"	"semiautomatique"
"ALISKIRENE"		"same"	"70278"	"ALISKIRÈNE"	"automatique"
"ALISKIRENE"		"hasform"	"49479"	"HÉMIFUMARATE D'ALISKIRÈNE"	"semiautomatique"
"ALISKIRENE"		"hasform"	"49479"	"ALISKIRÈNE (HÉMIFUMARATE D')"	"semiautomatique"
"ALITRETINOINE"		"same"	"62086"	"ALITRÉTINOÏNE"	"automatique"
"ALIZAPRIDE"		"same"	"32273"	"ALIZAPRIDE"	"automatique"
"ALIZAPRIDE"		"hasform"	"16458"	"ALIZAPRIDE (CHLORHYDRATE D')"	"semiautomatique"
"ALLOPURINOL"		"same"	"1097"	"ALLOPURINOL"	"automatique"
"ALMINOPROFENE"		"same"	"20863"	"ALMINOPROFÈNE"	"automatique"
"ALMOTRIPTAN"		"same"	"64860"	"ALMOTRIPTAN"	"automatique"
"ALMOTRIPTAN"		"same"	"64860"	"ALMOTRIPTAN BASE"	"automatique"
"ALMOTRIPTAN"		"hasform"	"50149"	"D,L-HYDROGÉNOMALATE D'ALMOTRIPTAN"	"semiautomatique"
"ALMOTRIPTAN"		"hasform"	"50149"	"MALATE D'ALMOTRIPTAN"	"semiautomatique"
"ALPHA-PINENE"		"same"	"54952"	"ALPHA-PINÈNE"	"automatique"
"ALPHA-TOCOPHEROL"		"same"	"923"	"DL-ALPHA TOCOPHÉROL"	"automatique"
"ALPHA-TOCOPHEROL"		"same"	"923"	"ALPHA-TOCOPHÉROL"	"automatique"
"ALPHA-TOCOPHEROL"		"same"	"923"	"VITAMINE E"	"automatique"
"ALPHA-TOCOPHEROL"		"same"	"923"	"TOCOPHÉROL (ALPHA)"	"automatique"
"ALPHA-TOCOPHEROL"		"hasform"	"15731"	"D-ALPHA-TOCOPHÉROL (ACÉTATE DE)"	"semiautomatique"
"ALPHA-TOCOPHEROL"		"hasform"	"3602"	"ALPHA-TOCOPHÉROL (ACÉTATE D')"	"semiautomatique"
"ALPHA-TOCOPHEROL"		"hasform"	"3602"	"DL-ALPHA TOCOPHÉROL (ACÉTATE D')"	"semiautomatique"
"ALPHA-TOCOPHEROL"		"hasform"	"3602"	"ACÉTATE D'ALPHA-TOCOPHÉROL"	"semiautomatique"
"ALPHA-TOCOPHEROL"		"hasform"	"4124"	"ALPHA-TOCOPHÉROL (PALMITATE D')"	"semiautomatique"
"ALPHA-TOCOPHEROL"		"hasform"	"93262"	"CONCENTRAT D'ACETATE D'ALPHA-TOCOPHEROL, FORME PULVERULENTE"	"semiautomatique"
"ALPHA-TOCOPHEROL"		"hasform"	"71699"	"D-ALPHA-TOCOPHÉROL"	"semiautomatique"
"ALPHA-TOCOPHEROL"		"hasform"	"93262"	"ALPHA-TOCOPHÉROL (CONCENTRAT D'ACÉTATE D'), FORME PULVÉRULENTE"	"semiautomatique"
"ALPRAZOLAM"		"same"	"13112"	"ALPRAZOLAM"	"automatique"
"ALTEPLASE RECOMBINANTE"		"same"	"56894"	"ALTÉPLASE "	"semiautomatique"
"ALTIZIDE"		"same"	"1106"	"ALTIZIDE"	"automatique"
"ALTRETAMINE"		"same"	"868"	"ALTRÉTAMINE"	"automatique"
"ALVERINE"		"same"	"5538"	"ALVÉRINE"	"automatique"
"ALVERINE"		"same"	"5538"	"ALVÉRINE BASE"	"automatique"
"ALVERINE"		"hasform"	"4028"	"DIPROPYLINE (CITRATE DE)"	"semiautomatique"
"ALVERINE"		"hasform"	"4028"	"ALVÉRINE (CITRATE D')"	"semiautomatique"
"ALVERINE"		"hasform"	"4028"	"CITRATE D'ALVÉRINE"	"semiautomatique"
"AMANTADINE"		"hasform"	"42"	"AMANTADINE (CHLORHYDRATE D')"	"semiautomatique"
"AMANTADINE"		"hasform"	"42"	"CHLORHYDRATE D'AMANTADINE"	"semiautomatique"
"AMBENONIUM"		"hasform"	"1110"	"AMBÉNONIUM (CHLORURE D')"	"semiautomatique"
"AMBRISENTAN"		"same"	"95484"	"AMBRISENTAN"	"automatique"
"AMIFOSTINE"		"hasform"	"73916"	"AMIFOSTINE ANHYDRE"	"semiautomatique"
"AMIFOSTINE"		"hasform"	"89627"	"AMIFOSTINE TRIHYDRATÉE"	"semiautomatique"
"AMIKACINE"		"same"	"22273"	"AMIKACINE"	"automatique"
"AMIKACINE"		"same"	"22273"	"AMIKACINE BASE"	"automatique"
"AMIKACINE"		"hasform"	"280"	"SULFATE D'AMIKACINE"	"semiautomatique"
"AMILORIDE"		"hasform"	"3149"	"AMILORIDE (CHLORHYDRATE D') HYDRATÉ"	"semiautomatique"
"AMILORIDE"		"hasform"	"3149"	"AMILORIDE (CHLORHYDRATE D')"	"semiautomatique"
"AMILORIDE"		"hasform"	"3149"	"CHLORHYDRATE D'AMILORIDE"	"semiautomatique"
"AMILORIDE"		"hasform"	"96013"	"AMILORIDE (CHLORHYDRATE D') ANHYDRE"	"semiautomatique"
"AMILORIDE"		"hasform"	"96013"	"CHLORHYDRATE D'AMILORIDE ANHYDRE"	"semiautomatique"
"AMINOGLUTETHIMIDE"		"same"	"1961"	"AMINOGLUTÉTHIMIDE"	"automatique"
"AMINOPHYLLINE"		"same"	"1130"	"AMINOPHYLLINE"	"automatique"
"AMIODARONE"		"hasform"	"5386"	"AMIODARONE (CHLORHYDRATE D')"	"semiautomatique"
"AMIODARONE"		"hasform"	"5386"	"CHLORHYDRATE D'AMIODARONE"	"semiautomatique"
"AMISULPRIDE"		"same"	"9231"	"AMISULPRIDE"	"automatique"
"AMITRIPTYLINE"		"same"	"1140"	"AMITRIPTYLINE"	"automatique"
"AMITRIPTYLINE"		"hasform"	"788"	"CHLORHYDRATE D'AMITRIPTYLINE"	"semiautomatique"
"AMITRIPTYLINE"		"hasform"	"788"	"AMITRIPTYLINE (CHLORHYDRATE D')"	"semiautomatique"
"AMLODIPINE"		"same"	"39727"	"AMLODIPINE"	"automatique"
"AMLODIPINE"		"hasform"	"93748"	"AMLODIPINE (BÉSILATE D')"	"semiautomatique"
"AMLODIPINE"		"hasform"	"93748"	"BÉSILATE D'AMLODIPINE"	"semiautomatique"
"AMOXAPINE"		"same"	"877"	"AMOXAPINE"	"automatique"
"AMOXICILLINE"		"same"	"5248"	"AMOXICILLINE BASE"	"automatique"
"AMOXICILLINE"		"same"	"5248"	"AMOXICILLINE"	"automatique"
"AMOXICILLINE"		"same"	"5248"	"AMOXICILLINE ANHYDRE"	"automatique"
"AMOXICILLINE"		"hasform"	"28165"	"AMOXICILLINE TRIHYDRATÉE"	"semiautomatique"
"AMOXICILLINE"		"hasform"	"872"	"AMOXICILLINE SODIQUE"	"semiautomatique"
"AMPHOTERICINE B"		"same"	"1150"	"AMPHOTÉRICINE B"	"automatique"
"AMPICILLINE"		"hasform"	"3155"	"AMPICILLINE TRIHYDRATÉE"	"semiautomatique"
"AMPICILLINE"		"hasform"	"3158"	"AMPICILLINE SODIQUE"	"semiautomatique"
"AMPICILLINE"		"hasform"	"84525"	"AMPICILLINE BASE"	"semiautomatique"
"AMPICILLINE"		"hasform"	"84525"	"AMPICILLINE ANHYDRE"	"semiautomatique"
"AMPICILLINE"		"same"	"84525"	"AMPICILLINE BASE"	"semiautomatique"
"AMPICILLINE"		"same"	"84525"	"AMPICILLINE ANHYDRE"	"semiautomatique"
