dci	dcirenommer	relation	code	substances	validation		
ACIDE ASCORBIQUE	ASCORBATE		1182	SODIUM (ASCORBATE DE)	manuelle		
ACIDE ASCORBIQUE	ASCORBATE		3641	ASCORBATE DE CALCIUM	semiautomatique		
ACIDE ASCORBIQUE	ASCORBATE		1182	ASCORBATE SODIQUE	manuelle		
ACIDE ASCORBIQUE			1023	ACIDE ASCORBIQUE	semiautomatique		
ACIDE ASCORBIQUE			1023	ASCORBIQUE (ACIDE)	semiautomatique		
ACIDE ASCORBIQUE			1023	VITAMINE C	semiautomatique		
ACIDE ASCORBIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE ASCORBIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE ASCORBIQUE			93286	ACIDE CLAVULANIQUE	semiautomatique		
ACIDE ASCORBIQUE			93286	CLAVULANIQUE (ACIDE)	semiautomatique		
ACIDE ASCORBIQUE			688	ACIDE LACTIQUE	semiautomatique		
ACIDE ASCORBIQUE			688	LACTIQUE (ACIDE)	semiautomatique		
ACIDE CHENODESOXYCHOLIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE CHENODESOXYCHOLIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE CHENODESOXYCHOLIQUE			93286	CLAVULANIQUE (ACIDE)	semiautomatique		
ACIDE CHENODESOXYCHOLIQUE			93286	ACIDE CLAVULANIQUE	semiautomatique		
ACIDE CHOLIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE CHOLIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE CHOLIQUE			93286	ACIDE CLAVULANIQUE	semiautomatique		
ACIDE CHOLIQUE			93286	CLAVULANIQUE (ACIDE)	semiautomatique		
ACIDE CLODRONIQUE	CLODRONATE		62139	CLODRONATE DE SODIUM ANHYDRE	manuelle		
ACIDE CLODRONIQUE	CLODRONATE		81716	SODIUM (CLODRONATE DE) TÉTRAHYDRATÉ	semiautomatique		
ACIDE CLODRONIQUE	CLODRONATE		81716	CLODRONATE DISODIQUE TETRAHYDRATÉ	semiautomatique		
ACIDE CLODRONIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE CLODRONIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE CLODRONIQUE		ACIDE ASCORBIQUE			1023	ACIDE ASCORBIQUE	semiautomatique
ACIDE CLODRONIQUE			688	LACTIQUE (ACIDE)	semiautomatique		
ACIDE CLODRONIQUE			93286	CLAVULANIQUE (ACIDE)	semiautomatique		
ACIDE CLODRONIQUE			93286	ACIDE CLAVULANIQUE	semiautomatique		
ACIDE ETIDRONIQUE	ETIDRONATE		13104	ÉTIDRONATE DE SODIUM	manuelle		
ACIDE ETIDRONIQUE	ETIDRONATE		13104	ÉTIDRONATE DISODIQUE	manuelle		
ACIDE ETIDRONIQUE	ETIDRONATE		13104	SODIUM (ÉTIDRONATE DE)	manuelle		
ACIDE ETIDRONIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE ETIDRONIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE ETIDRONIQUE			688	LACTIQUE (ACIDE)	semiautomatique		
ACIDE ETIDRONIQUE			688	ACIDE LACTIQUE	semiautomatique		
ACIDE ETIDRONIQUE			93286	ACIDE CLAVULANIQUE	semiautomatique		
ACIDE ETIDRONIQUE			93286	CLAVULANIQUE (ACIDE)	semiautomatique		
ACIDE FOLINIQUE	FOLINATE		5390	CALCIUM (FOLINATE DE)	semiautomatique		
ACIDE FOLINIQUE	FOLINATE		5390	FOLINATE DE CALCIUM	semiautomatique		
ACIDE FOLINIQUE	FOLINATE		17162	FOLINATE DISODIQUE	manuelle		
ACIDE FOLINIQUE			67056	ACIDE LÉVOFOLINIQUE	semiautomatique		
ACIDE FOLINIQUE			67056	ACIDE L FOLINIQUE	semiautomatique		
ACIDE FOLINIQUE			67056	LÉVOFOLINIQUE (ACIDE)	semiautomatique		
ACIDE FOLINIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE FOLINIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE FOLINIQUE			90673	ACIDE FOLINIQUE	semiautomatique		
ACIDE FOLIQUE			1040	FOLIQUE (ACIDE)	semiautomatique		
ACIDE FOLIQUE			1040	ACIDE FOLIQUE	semiautomatique		
ACIDE FOLIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE FOLIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE FOLIQUE			93286	ACIDE CLAVULANIQUE	semiautomatique		
ACIDE FOLIQUE			93286	CLAVULANIQUE (ACIDE)	semiautomatique		
ACIDE FUSIDIQUE	FUSIDATE		4913	FUSIDATE DE SODIUM	manuelle		
ACIDE FUSIDIQUE	FUSIDATE		4913	SODIUM (FUSIDATE DE)	manuelle		
ACIDE FUSIDIQUE			2160	FUSIDIQUE (ACIDE)	semiautomatique		
ACIDE FUSIDIQUE			2160	ACIDE FUSIDIQUE	semiautomatique		
ACIDE FUSIDIQUE			2160	ACIDE FUSIDIQUE HEMIHYDRATE	semiautomatique		
ACIDE FUSIDIQUE			41859	ACIDE FUSIDIQUE ANHYDRE	semiautomatique		
ACIDE IBANDRONIQUE	IBANDRONATE		86008	IBANDRONATE MONOSODIQUE MONOHYDRATÉ	manuelle		
ACIDE IBANDRONIQUE	IBANDRONATE		86008	IBANDRONIQUE (ACIDE), SEL MONOSODIQUE, MONOHYDRATÉ	manuelle		
ACIDE IBANDRONIQUE	IBANDRONATE		86008	ACIDE IBANDRONIQUE, SEL MONOSODIQUE, MONOHYDRATÉ	manuelle		
ACIDE IOXAGLIQUE	IOXAGLATE		937	IOXAGLATE DE MÉGLUMINE	manuelle		
ACIDE IOXAGLIQUE	IOXAGLATE		937	MÉGLUMINE (IOXAGLATE DE)	manuelle		
ACIDE IOXAGLIQUE	IOXAGLATE		938	IOXAGLATE DE SODIUM	semiautomatique		
ACIDE IOXAGLIQUE	IOXAGLATE		938	SODIUM (IOXAGLATE DE)	semiautomatique		
ACIDE IOXAGLIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE IOXAGLIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE IOXAGLIQUE			688	LACTIQUE (ACIDE)	semiautomatique		
ACIDE IOXAGLIQUE			688	ACIDE LACTIQUE	semiautomatique		
ACIDE IOXAGLIQUE			93286	CLAVULANIQUE (ACIDE)	semiautomatique		
ACIDE IOXAGLIQUE			93286	ACIDE CLAVULANIQUE	semiautomatique		
ACIDE IOXITALAMIQUE	IOXITALAMATE		5131	SODIUM (IOXITALAMATE DE)	semiautomatique		
ACIDE IOXITALAMIQUE	IOXITALAMATE		5455	MÉGLUMINE (IOXITALAMATE DE)	manuelle		
ACIDE IOXITALAMIQUE	IOXITALAMATE		5455	IOXITALAMATE DE MÉGLUMINE	manuelle		
ACIDE IOXITALAMIQUE	IOXITALAMATE		5131	IOXITALAMATE DE SODIUM	semiautomatique		
ACIDE IOXITALAMIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE IOXITALAMIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE IOXITALAMIQUE			93286	ACIDE CLAVULANIQUE	semiautomatique		
ACIDE IOXITALAMIQUE			688	LACTIQUE (ACIDE)	semiautomatique		
ACIDE IOXITALAMIQUE			93286	CLAVULANIQUE (ACIDE)	semiautomatique		
ACIDE IOXITALAMIQUE			688	ACIDE LACTIQUE	semiautomatique		
ACIDE MEDRONIQUE	MEDRONATE		97272	SODIUM (MÉDRONATE DE)	manuelle		
ACIDE MEDRONIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE MEDRONIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE MEFENAMIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE MEFENAMIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE MEFENAMIQUE			93286	CLAVULANIQUE (ACIDE)	semiautomatique		
ACIDE MEFENAMIQUE			93286	ACIDE CLAVULANIQUE	semiautomatique		
ACIDE NICOTINIQUE	NICOTINATE		2534	BENZYLE (NICOTINATE DE)	semiautomatique		
ACIDE NICOTINIQUE	NICOTINATE		4943	NICOTINATE DE GUÉTHOL	semiautomatique		
ACIDE NICOTINIQUE	NICOTINATE		1298	NICOTINATE DE BUTOXYETHYLE	semiautomatique		
ACIDE NICOTINIQUE	NICOTINATE		3844	GAIACOL (NICOTINATE DE)	semiautomatique		
ACIDE NICOTINIQUE	NICOTINATE		5452	NICOTINATE DE MÉTHYLE	manuelle		
ACIDE NICOTINIQUE	NICOTINATE		2534	NICOTINATE DE BENZYLE	semiautomatique		
ACIDE NICOTINIQUE	NICOTINATE		1298	BUTOXYETHYLE (NICOTINATE DE)	semiautomatique		
ACIDE NICOTINIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE NICOTINIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE NIFLUMIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE NIFLUMIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE OXIDRONIQUE	OXIDRONATE		26221	OXIDRONATE DE SODIUM	manuelle		
ACIDE OXIDRONIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE OXIDRONIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE OXIDRONIQUE			688	ACIDE LACTIQUE	semiautomatique		
ACIDE OXIDRONIQUE			93286	ACIDE CLAVULANIQUE	semiautomatique		
ACIDE OXIDRONIQUE			688	LACTIQUE (ACIDE)	semiautomatique		
ACIDE OXIDRONIQUE			93286	CLAVULANIQUE (ACIDE)	semiautomatique		
ACIDE PAMIDRONIQUE	PAMIDRONATE		67602	PAMIDRONATE DE SODIUM	manuelle		
ACIDE PAMIDRONIQUE	PAMIDRONATE		67602	SODIUM (PAMIDRONATE DE)	manuelle		
ACIDE PAMIDRONIQUE			44842	PAMIDRONIQUE (ACIDE)	semiautomatique		
ACIDE PAMIDRONIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE PAMIDRONIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE PAMIDRONIQUE			93286	ACIDE CLAVULANIQUE	semiautomatique		
ACIDE PAMIDRONIQUE			93286	CLAVULANIQUE (ACIDE)	semiautomatique		
ACIDE RISEDRONIQUE	RISEDRONATE		45087	RISÉDRONATE MONOSODIQUE	manuelle		
ACIDE RISEDRONIQUE	RISEDRONATE		37314	RISÉDRONATE MONOSODIQUE ANHYDRE	semiautomatique		
ACIDE RISEDRONIQUE	RISEDRONATE		99549	RISÉDRONATE MONOSODIQUE HÉMIPENTAHYDRATÉ	semiautomatique		
ACIDE RISEDRONIQUE	RISEDRONATE		16182	RISÉDRONATE MONOSODIQUE MONOHYDRATÉ	semiautomatique		
ACIDE RISEDRONIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE RISEDRONIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE SALICYLIQUE	SALICYLATE		4891	ÉSÉRINE (SALICYLATE D')	semiautomatique		
ACIDE SALICYLIQUE	SALICYLATE		816	PHÉNYLPROPYLE (SALICYLATE DE)	semiautomatique		
ACIDE SALICYLIQUE	SALICYLATE		3297	SALICYLATE DE PICOLAMINE	semiautomatique		
ACIDE SALICYLIQUE	SALICYLATE		4872	ÉSÉRIDINE (SALICYLATE D')	semiautomatique		
ACIDE SALICYLIQUE	SALICYLATE		5557	SALICYLATE DE SODIUM	semiautomatique		
ACIDE SALICYLIQUE	SALICYLATE		2974	DIÉTHYLAMINE (SALICYLATE DE)	semiautomatique		
ACIDE SALICYLIQUE	SALICYLATE		3297	PICOLAMINE (SALICYLATE DE)	semiautomatique		
ACIDE SALICYLIQUE	SALICYLATE		4852	SALICYLATE D'HYDROXYÉTHYLE	manuelle		
ACIDE SALICYLIQUE	SALICYLATE		4852	HYDROXYÉTHYLE (SALICYLATE D')	manuelle		
ACIDE SALICYLIQUE	SALICYLATE		5588	AMYLE (SALICYLATE D')	semiautomatique		
ACIDE SALICYLIQUE	SALICYLATE		5588	SALICYLATE D'AMYLE	semiautomatique		
ACIDE SALICYLIQUE	SALICYLATE		4852	SALICYLATE DE GLYCOL	manuelle		
ACIDE SALICYLIQUE	SALICYLATE		2974	SALICYLATE DE DIÉTHYLAMINE	semiautomatique		
ACIDE SALICYLIQUE			15213	SALIGÉNINE	semiautomatique		
ACIDE SALICYLIQUE			15213	ALCOOL SALICYLIQUE	semiautomatique		
ACIDE TIAPROFENIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE TIAPROFENIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE TILUDRONIQUE	TILUDRONATE		87268	TILUDRONATE DISODIQUE	manuelle		
ACIDE TILUDRONIQUE			39065	TILUDRONIQUE (ACIDE)	semiautomatique		
ACIDE TILUDRONIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE TILUDRONIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE TILUDRONIQUE			93286	ACIDE CLAVULANIQUE	semiautomatique		
ACIDE TILUDRONIQUE			93286	CLAVULANIQUE (ACIDE)	semiautomatique		
ACIDE URSODESOXYCHOLIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE URSODESOXYCHOLIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE VALPROIQUE	VALPROATE		27265	SODIUM (DIVALPROATE DE)	manuelle		
ACIDE VALPROIQUE	VALPROATE		5562	VALPROATE DE SODIUM	semiautomatique		
ACIDE VALPROIQUE	VALPROATE		27265	VALPROATE SEMISODIQUE	manuelle		
ACIDE VALPROIQUE	VALPROATE		5562	SODIUM (VALPROATE DE)	semiautomatique		
ACIDE VALPROIQUE			25252	VALPROÏQUE (ACIDE)	semiautomatique		
ACIDE VALPROIQUE			25252	ACIDE VALPROÏQUE	semiautomatique		
ACIDE VALPROIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE VALPROIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE ZOLEDRONIQUE			41881	ACIDE ZOLÉDRONIQUE ANHYDRE	semiautomatique		
ACIDE ZOLEDRONIQUE			72831	ACIDE ZOLÉDRONIQUE TRIHYDRATÉ	semiautomatique		
ACIDE ZOLEDRONIQUE			56210	ACIDE ZOLÉDRONIQUE HÉMIPENTAHYDRATÉ	semiautomatique		
ACIDE ZOLEDRONIQUE			98588	ZOLÉDRONIQUE (ACIDE) MONOHYDRATÉ	semiautomatique		
ACIDE ZOLEDRONIQUE			98588	ACIDE ZOLÉDRONIQUE MONOHYDRATÉ	semiautomatique		
ADEFOVIR			56132	ADÉFOVIR DIPIVOXIL	semiautomatique		
ADRENALINE			4280	TARTRATE D'ADRÉNALINE	semiautomatique		
ADRENALINE			4862	ADRÉNALINE (CHLORHYDRATE D')	semiautomatique		
ADRENALINE			4862	CHLORHYDRATE D'ADRÉNALINE	semiautomatique		
ADRENALINE			4280	ADRÉNALINE (TARTRATE D')	semiautomatique		
AFATINIB			30488	DIMALÉATE D'AFATINIB	semiautomatique		
ALCOOL (BOISSON OU EXCIPIENT)			35	ALCOOL	semiautomatique		
ALCOOL (BOISSON OU EXCIPIENT)			35	ÉTHANOL À 96 POUR CENT	semiautomatique		
ALCOOL (BOISSON OU EXCIPIENT)			15213	SALIGÉNINE	semiautomatique		
ALCOOL (BOISSON OU EXCIPIENT)			15213	ALCOOL SALICYLIQUE	semiautomatique		
ALCOOL (BOISSON OU EXCIPIENT)			24729	SILICE PRECIPITEE HYDRATEE	semiautomatique		
ALCOOL (BOISSON OU EXCIPIENT)			24729	SILICE EXCIPIENT	semiautomatique		
ALCOOL (BOISSON OU EXCIPIENT)			346	POLY(ALCOOL VINYLIQUE)	semiautomatique		
ALCOOL (BOISSON OU EXCIPIENT)			3152	ALCOOL DICHLORO-2,4 BENZYLIQUE	semiautomatique		
ALCOOL (BOISSON OU EXCIPIENT)			3152	DICHLOROBENZYLIQUE (ALCOOL)	semiautomatique		
ALCOOL (BOISSON OU EXCIPIENT)			4655	ISOPROPYLIQUE (ALCOOL)	semiautomatique		
ALCOOL (BOISSON OU EXCIPIENT)			33	ALCOOL BENZYLIQUE	semiautomatique		
ALCOOL (BOISSON OU EXCIPIENT)			74175	ALCOOL CINNAMIQUE	semiautomatique		
ALCOOL (BOISSON OU EXCIPIENT)			4655	ALCOOL ISOPROPYLIQUE	semiautomatique		
ALCOOL (BOISSON OU EXCIPIENT)			5324	ALCOOL PROPYLIQUE	semiautomatique		
ALCURONIUM			1086	ALCURONIUM (CHLORURE D')	semiautomatique		
ALFENTANIL			6166	ALFENTANIL (CHLORHYDRATE D')	semiautomatique		
ALFUZOSINE			60310	ALFUZOSINE (CHLORHYDRATE D')	semiautomatique		
ALFUZOSINE			60310	CHLORHYDRATE D'ALFUZOSINE	semiautomatique		
ALIMEMAZINE			5762	ALIMÉMAZINE (TARTRATE D')	semiautomatique		
ALISKIREN	aliskirene		49479	HÉMIFUMARATE D'ALISKIRÈNE	semiautomatique		
ALISKIREN	aliskirene		49479	ALISKIRÈNE (HÉMIFUMARATE D')	semiautomatique		
ALISKIRENE			49479	HÉMIFUMARATE D'ALISKIRÈNE	semiautomatique		
ALISKIRENE			49479	ALISKIRÈNE (HÉMIFUMARATE D')	semiautomatique		
ALIZAPRIDE			16458	ALIZAPRIDE (CHLORHYDRATE D')	semiautomatique		
ALMOTRIPTAN			50149	D,L-HYDROGÉNOMALATE D'ALMOTRIPTAN	semiautomatique		
ALMOTRIPTAN			50149	MALATE D'ALMOTRIPTAN	semiautomatique		
ALPHA-PINENE			11572	ALPHA-AMYLCINNAMALDÉHYDE	semiautomatique		
ALPHA-PINENE			3602	DL-ALPHA TOCOPHÉROL (ACÉTATE D')	semiautomatique		
ALPHA-PINENE			3602	ALPHA-TOCOPHÉROL (ACÉTATE D')	semiautomatique		
ALPHA-PINENE			3602	ACÉTATE D'ALPHA-TOCOPHÉROL	semiautomatique		
ALPHA-PINENE			5229	TERPILÉNOL	semiautomatique		
ALPHA-PINENE			4689	ALPHA-AMYLASE 	semiautomatique		
ALPHA-PINENE			4689	TAKA-DIASTASE	semiautomatique		
ALPHA-PINENE			4557	ESCINE ALPHA	semiautomatique		
ALPHA-PINENE			4557	AESCINE	semiautomatique		
ALPHA-PINENE			4689	AMYLASE	semiautomatique		
ALPHA-PINENE			4689	AMYLASE FONGIQUE	semiautomatique		
ALPHA-PINENE			5229	ALPHA-TERPINÉOL	semiautomatique		
ALPHA-PINENE			52951	ALPHA-1 ANTITRYPSINE HUMAINE 	semiautomatique		
ALPHA-TOCOPHEROL			15731	D-ALPHA-TOCOPHÉROL (ACÉTATE DE)	semiautomatique		
ALPHA-TOCOPHEROL			3602	ALPHA-TOCOPHÉROL (ACÉTATE D')	semiautomatique		
ALPHA-TOCOPHEROL			3602	DL-ALPHA TOCOPHÉROL (ACÉTATE D')	semiautomatique		
ALPHA-TOCOPHEROL			3602	ACÉTATE D'ALPHA-TOCOPHÉROL	semiautomatique		
ALPHA-TOCOPHEROL			4124	ALPHA-TOCOPHÉROL (PALMITATE D')	semiautomatique		
ALPHA-TOCOPHEROL			93262	CONCENTRAT D'ACETATE D'ALPHA-TOCOPHEROL, FORME PULVERULENTE	semiautomatique		
ALPHA-TOCOPHEROL			71699	D-ALPHA-TOCOPHÉROL	semiautomatique		
ALPHA-TOCOPHEROL			93262	ALPHA-TOCOPHÉROL (CONCENTRAT D'ACÉTATE D'), FORME PULVÉRULENTE	semiautomatique		
ALTEPLASE RECOMBINANTE			56894	ALTÉPLASE 	semiautomatique		
ALTEPLASE RECOMBINANTE			15988	INSULINE HUMAINE RECOMBINANTE 	semiautomatique		
ALTEPLASE RECOMBINANTE			77956	MÉCASERMINE RECOMBINANTE	semiautomatique		
ALTEPLASE RECOMBINANTE			39488	INSULINE HUMAINE RECOMBINANTE ISOPHANE 	semiautomatique		
ALTEPLASE RECOMBINANTE			51144	INSULINE ASPARTE RECOMBINANTE ISOPHANE 	semiautomatique		
ALTEPLASE RECOMBINANTE			69676	INSULINE ASPARTE RECOMBINANTE 	semiautomatique		
ALTEPLASE RECOMBINANTE			84517	INSULINE HUMAINE RECOMBINANTE ZINC 	semiautomatique		
ALVERINE			4028	DIPROPYLINE (CITRATE DE)	semiautomatique		
ALVERINE			4028	ALVÉRINE (CITRATE D')	semiautomatique		
ALVERINE			4028	CITRATE D'ALVÉRINE	semiautomatique		
AMANTADINE			42	AMANTADINE (CHLORHYDRATE D')	semiautomatique		
AMANTADINE			42	CHLORHYDRATE D'AMANTADINE	semiautomatique		
AMBENONIUM			1110	AMBÉNONIUM (CHLORURE D')	semiautomatique		
AMIFOSTINE			73916	AMIFOSTINE ANHYDRE	semiautomatique		
AMIFOSTINE			89627	AMIFOSTINE TRIHYDRATÉE	semiautomatique		
AMIKACINE			280	SULFATE D'AMIKACINE	semiautomatique		
AMILORIDE			3149	AMILORIDE (CHLORHYDRATE D') HYDRATÉ	semiautomatique		
AMILORIDE			3149	AMILORIDE (CHLORHYDRATE D')	semiautomatique		
AMILORIDE			3149	CHLORHYDRATE D'AMILORIDE	semiautomatique		
AMILORIDE			96013	AMILORIDE (CHLORHYDRATE D') ANHYDRE	semiautomatique		
