CUI	code	termino	libmatch	score	synonyme_atome	libDB	libDBprefere	lib_atome	lib_CUI	manu
C0534301	DB00967	drugbank	8 chloro 6 11 dihydro 11 4 piperidinylidene 5h benzo 5 6 cyclohepta 1 2 b pyridine	5.475258	8-chloro-6,11-dihydro-11-(1-((5-methyl-3-pyridinyl)methyl)-4-piperidinylidene)-5h-benzo(5,6)cyclohepta(1,2-b)pyridine	8-chloro-6,11-dihydro-11-(4-piperidinylidene)-5h-benzo(5,6)cyclohepta(1,2-b)pyridine	Desloratadine	rupatadine	rupatadine	0
C0006881	DB09015	drugbank	canrenoate	5.2290845	canrenoate potassium	canrenoate	Canrenoic acid	Canrenoate Potassium	Canrenoate Potassium	formof
C0770575	DB09154	drugbank	sodium citrate	5.1881676	potassium citrate/sodium citrate	sodium citrate	Sodium Citrate	potassium citrate / sodium citrate	potassium citrate / sodium citrate	0
C0244718	DB00790	drugbank	perindopril	5.072013	erbumine, perindopril	perindopril	Perindopril	Perindopril tert-butylamine	Perindopril Erbumine	formof
C0037533	DB00325	drugbank	nitroprusside	4.9465938	nitroprusside, sodium	nitroprusside	Nitroprusside	Nitroprussiate de sodium	Sodium Nitroprusside	formof
C0546882	DB00279	drugbank	liothyronine	4.9465938	liothyronine sodium	liothyronine	Liothyronine	liothyronine sodium	liothyronine sodium	formof
C0546882	DB00279	drugbank	triiodothyronine	4.809649	sodium l-triiodothyronine preparation	triiodothyronine	Liothyronine	liothyronine sodium	liothyronine sodium	formof
C0546882	DB00279	drugbank	3 5 3 triiodothyronine	4.809649	sodium l-triiodothyronine preparation	3,5,3'triiodothyronine	Liothyronine	liothyronine sodium	liothyronine sodium	formof
C0546882	DB00279	drugbank	l 3 5 3 triiodothyronine	4.809649	sodium l-triiodothyronine preparation	l-3,5,3'-triiodothyronine	Liothyronine	liothyronine sodium	liothyronine sodium	formof
C0546882	DB00279	drugbank	3 5 3 triiodothyronine	4.809649	sodium l-triiodothyronine preparation	3,5,3'-triiodothyronine	Liothyronine	liothyronine sodium	liothyronine sodium	formof
C0546882	DB00279	drugbank	l t3	4.809649	t3 thyronine sodium preparation	l-t3	Liothyronine	liothyronine sodium	liothyronine sodium	formof
C0546882	DB00279	drugbank	t3	4.809649	t3 thyronine sodium preparation	t3	Liothyronine	liothyronine sodium	liothyronine sodium	formof
C0628458	DB06728	drugbank	anilin	4.809649	n-benzyl-n-(2-(1-pyrrolidinyl)ethyl)anilin	anilin	Aniline	histapyrrodine	histapyrrodine	0
C0054452	DB01109	drugbank	heparin	4.67452	ca heparin	heparin	Heparin	heparin calcium	heparin calcium	formof
C0006055	DB00083	drugbank	btx a	4.6069164	btx - botulinum toxin	btx-a	Botulinum Toxin Type A	Botulinum Toxins	Botulinum Toxins	part
C0006055	DB00042	drugbank	btx b	4.6069164	btx - botulinum toxin	btx-b	Botulinum Toxin Type B	Botulinum Toxins	Botulinum Toxins	part
C0244718	DB03659	drugbank	n butylamine	4.4630756	perindopril tert-butylamine	n-butylamine	Butylamine	Perindopril tert-butylamine	Perindopril Erbumine	0
C0244718	DB03659	drugbank	butylamine	4.4630756	perindopril tert-butylamine	butylamine	Butylamine	Perindopril tert-butylamine	Perindopril Erbumine	0
C2605025	DB03703	drugbank	cyclohexanol	4.4630756	4-isopropenyl-1-methyl-1-cyclohexanol	cyclohexanol	Cyclohexanol	beta-terpinol	1-methyl-4-(1-methylethenyl)cyclohexanal	0
C0031705	DB09394	drugbank	phosphoric acid	4.457408	phosphoric	phosphoric acid	Phosphoric acid	Phosphore	Phosphorus	0
C0304465	DB04272	drugbank	citric acid	4.45421	citric acid/sodium citrate	citric acid	Citric Acid	Citric Acid / sodium citrate	Citric Acid / sodium citrate	part
C0002132	DB01352	drugbank	5 1 methylethyl 5 2 propenyl 2 4 6 1h 3h 5h pyrimidinetrione	4.3638587	2,4,6(1h,3h,5h)-pyrimidinetrione , 5,5-di-2-propenyl-	5-(1-methylethyl)-5-(2-propenyl)-2,4,6(1h,3h,5h)-pyrimidinetrione	Aprobarbital	allobarbital	allobarbital	0
C0070709	DB04905	drugbank	n n diethyl 2 4 phenylmethyl phenoxy ethanamine	4.24281	n,n-dimethyl-2-(2-(phenylmethyl)phenoxy)ethanamine	n,n-diethyl-2-((4-phenylmethyl)phenoxy)ethanamine	Tesmilifene	phenyltoloxamine	phenyltoloxamine	0
C0126774	DB01378	drugbank	magnesium	4.1717873	magnesium citrate	magnesium	Magnesium	magnesium citrate	magnesium citrate	0
C0071126	DB00385	drugbank	8s 10s 8 glycoloyl 7 8 9 10 tetrahydro 6 8 11 trihydroxy 1 methoxy 10 2 3 6 trideoxy 3 2 2 2 trifluoroacetamido l lyxo hexopyranosyl oxy 5 12 naphthacenedione 8 valerate 	4.0847178	(8s,10s)-10-[[3-amino-2,3,6-trideoxy-4-o-(tetrahydro-2h-pyran-3-yl)-alpha-l-lyxo-hexopyranosyl]oxy]-8-glycoloyl-7,8,9,10-tetrahydro-6,8,11-trihydroxy-1-methoxy-5,12-naphthacenedione	(8s, 10s)-8-glycoloyl-7,8,9,10-tetrahydro-6,8,11-trihydroxy-1-methoxy-10-[[2,3,6-trideoxy-3-(2,2,2-trifluoroacetamido)-α-l-lyxo-hexopyranosyl]oxy]-5,12-naphthacenedione 8²-valerate	Valrubicin	Pirarubicin	Pirarubicin	0
C0050461	DB00145	drugbank	glycine	4.0310516	n-(3-acetylmercapto-2-benzylpropanoyl)glycine benzyl ester	glycine	Glycine	racecadotril	racecadotril	0
C2725260	DB09119	drugbank	10s 5 carbamoyl 10 11 dihydro 5h dibenzo b f azepin 10 yl acetate	3.928139	(10s)-10-hydroxy-10,11-dihydro-5h-dibenzo(b,f)azepin-5-carboxamide	(10s)-5-carbamoyl-10,11-dihydro-5h-dibenzo[b,f]azepin-10-yl acetate	Eslicarbazepine acetate	eslicarbazepine	eslicarbazepine	hasform
C0051247	DB02024	drugbank	3 phenyl propionic acid	3.895376	2-(4-((2-methyl-2-propenyl)amino)phenyl)propionic acid	3-phenyl-propionic acid	3-phenylpropionic acid	alminoprofen	alminoprofen	0
C0117899	DB01125	drugbank	2 4 methoxyphenyl 1h indene 1 3 2h dione	3.8855145	1h-indene-1,3(2h)-dione, 2-(4-fluorophenyl)-	2-(4-methoxyphenyl)-1h-indene-1,3(2h)-dione	Anisindione	fluindione	fluindione	0
C0010137	DB04630	drugbank	11beta 21 dihydroxypregn 4 ene 3 18 20 trione	3.8300326	17,21-dihydroxypregn-4-ene-3,11,20-trione	11beta,21-dihydroxypregn-4-ene-3,18,20-trione	Aldosterone	Cortisone	Cortisone	0
C1098510	DB00569	drugbank	fondaparinux sodium	3.7588785	fondaparinux	fondaparinux sodium	Fondaparinux sodium	fondaparinux	fondaparinux	hasform
C0010137	DB04652	drugbank	11 beta 11 21 dihydroxy pregn 4 ene 3 20 dione	3.6635807	pregn-4-ene-3,11,20-trione, 17,21-dihydroxy-	(11-beta)-11,21-dihydroxy-pregn-4-ene-3,20-dione	(11-BETA)-11,21-DIHYDROXY-PREGN-4-ENE-3,20-DIONE	Cortisone	Cortisone	0
C2725260	DB09119	drugbank	eslicarbazepine acetate	3.5530875	eslicarbazepine	eslicarbazepine acetate	Eslicarbazepine acetate	eslicarbazepine	eslicarbazepine	
C0006055	DB00042	drugbank	botulinum toxin type b	3.5265384	botulinum toxin	botulinum toxin type b	Botulinum Toxin Type B	Botulinum Toxins	Botulinum Toxins	part
C0006055	DB00083	drugbank	botulinum toxin type a	3.5265384	botulinum toxin	botulinum toxin type a	Botulinum Toxin Type A	Botulinum Toxins	Botulinum Toxins	part
C0063103	DB01341	drugbank	dihydroquinidine barbiturate	3.4733508	dihydroquinidine	dihydroquinidine barbiturate	Dihydroquinidine barbiturate	hydroquinidine	hydroquinidine	hasform
C0007955	DB09278	drugbank	charcoal activated	3.4106245	charcoal	charcoal, activated	Activated charcoal	Charcoal	Charcoal	same
C0007955	DB09278	drugbank	activated charcoal	3.4106245	charcoal	activated charcoal	Activated charcoal	Charcoal	Charcoal	same
C0007955	DB09278	drugbank	charcoal activated	3.4106245	charcoal	charcoal activated	Activated charcoal	Charcoal	Charcoal	same
C0016330	DB00324	drugbank	fluor op	3.4009354	fluor	fluor-op	Fluorometholone	fluor	Fluorine	0
C0006668	DB06773	drugbank	calcitonin human	3.284881	calcitonin	calcitonin human	Human calcitonin	Calcitonine	Calcitonin	part
C0006668	DB06773	drugbank	human calcitonin	3.284881	calcitonin	human calcitonin	Human calcitonin	Calcitonine	Calcitonin	part
C0011710	DB01134	drugbank	desoxycortone pivalate	3.2806811	desoxycortone	desoxycortone pivalate	Desoxycorticosterone Pivalate	Desoxycortone	Deoxycorticosterone	hasform
C0011710	DB01134	drugbank	deoxycortone trimethylacetate	3.2806811	deoxycortone	deoxycortone trimethylacetate	Desoxycorticosterone Pivalate	Desoxycortone	Deoxycorticosterone	hasform
C0011710	DB01134	drugbank	deoxycortone pivalate	3.2806811	deoxycortone	deoxycortone pivalate	Desoxycorticosterone Pivalate	Desoxycortone	Deoxycorticosterone	hasform
C3247294	DB08870	drugbank	brentuximab vedotin	3.2806811	brentuximab	brentuximab vedotin	Brentuximab vedotin	BRENTUXIMAB	BRENTUXIMAB	hasform
C0023031	DB06792	drugbank	lanthanum carbonate	3.228342	lanthanum	lanthanum carbonate	Lanthanum carbonate	Lanthane	Lanthanum	hasform
C0005035	DB07635	drugbank	bis 4 hydroxyphenyl methanone	3.1017778	methanone, (3,5-dibromo-4-hydroxyphenyl)(2-ethyl-3-benzofuranyl)-	bis(4-hydroxyphenyl)methanone	bis(4-hydroxyphenyl)methanone	Benzbromarone	Benzbromarone	hasform
C0010621	DB04839	drugbank	cyproterone acetate	3.0956519	cyproterone	cyproterone acetate	Cyproterone acetate	Cyproterone	Cyproterone	hasform
C0205996	DB01669	drugbank	pristinamycin iia	3.0694454	pristinamycin	pristinamycin iia	Virginiamycin M1	Pristinamycine	Pristinamycin	part
C0011710	DB08956	drugbank	21 hydroxy 5 pregnane 3 20 dione	3.0579176	21 hydroxy 4 pregnene 3,20 dione	21-hydroxy-5β-pregnane-3,20-dione	Hydroxydione	Desoxycortone	Deoxycorticosterone	0
C1337395	DB01024	drugbank	e 6 4 hydroxy 6 methoxy 7 methyl 3 oxo 5 phthalanyl 4 methyl 4 hexenoic acid	2.9291215	4-hexenoic acid, 6-(1,3-dihydro-4-hydroxy-6-methoxy-7-methyl-3-oxo-5-isobenzofuranyl)-4-methyl-, monosodium salt, (4e)-	(e)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-5-phthalanyl)-4-methyl-4-hexenoic acid	Mycophenolic acid	mycophenolate sodium	mycophenolate sodium	formof
C0005035	DB08104	drugbank	n 3 5 dibromo 4 hydroxyphenyl benzamide	2.9263997	methanone, (3,5-dibromo-4-hydroxyphenyl)(2-ethyl-3-benzofuranyl)-	n-(3,5-dibromo-4-hydroxyphenyl)benzamide	N-(3,5-dibromo-4-hydroxyphenyl)benzamide	Benzbromarone	Benzbromarone	0
C0023031	DB06792	drugbank	lanthanum sesquicarbonate	2.9208922	lanthanum	lanthanum sesquicarbonate	Lanthanum carbonate	Lanthane	Lanthanum	hasform
C0038467	DB05792	drugbank	sr 31747	2.9208922	sr	sr 31747	SR 31747	Strontium	Strontium	0
C0038467	DB00792	drugbank	pbz sr	2.9208922	sr	pbz-sr	Tripelennamine	Strontium	Strontium	0
C0038467	DB05395	drugbank	sr 58611	2.9208922	sr	sr 58611	SR 58611	Strontium	Strontium	0
C0038467	DB05790	drugbank	sr 140333	2.9208922	sr	sr 140333	SR 140333	Strontium	Strontium	0
C0038467	DB05361	drugbank	sr 123781a	2.9208922	sr	sr-123781a	SR-123781A	Strontium	Strontium	0
C0038467	DB05454	drugbank	sr 57667	2.9208922	sr	sr 57667	SR 57667	Strontium	Strontium	0
C0038467	DB05455	drugbank	sr 121463	2.9208922	sr	sr 121463	SR 121463	Strontium	Strontium	0
C0301371	DB00729	drugbank	diphemanil methosulfate	2.9208922	diphemanil	diphemanil methosulfate	Diphemanil Methylsulfate	Diphemanil	Diphemanil	hasform
C0301371	DB00729	drugbank	diphemanil methylsulfat	2.9208922	diphemanil	diphemanil methylsulfat	Diphemanil Methylsulfate	Diphemanil	Diphemanil	hasform
C0301371	DB00729	drugbank	diphemanil methylsulfate	2.9208922	diphemanil	diphemanil methylsulfate	Diphemanil Methylsulfate	Diphemanil	Diphemanil	hasform
C0301371	DB00729	drugbank	diphemanil metilsulfate	2.9208922	diphemanil	diphemanil metilsulfate	Diphemanil Methylsulfate	Diphemanil	Diphemanil	hasform
C0010137	DB02615	drugbank	compound 19	2.8583925	compound e	compound 19	Compound 19	Cortisone	Cortisone	0
C0077857	DB00550	drugbank	6 propyl 2 thio 2 4 1h 3h pyrimidinedione	2.8368227	6-((3-(4- (2-methoxyphenyl)-1-piperazinyl)propyl)amino)- 1,3-dimethyl-2,4(1h,3h)-pyrimidinedione	6-propyl-2-thio-2,4(1h,3h)pyrimidinedione	Propylthiouracil	urapidil	urapidil	0
C0011710	DB01134	drugbank	11 deoxycorticosterone pivalate	2.836507	11-deoxycorticosterone	11-deoxycorticosterone pivalate	Desoxycorticosterone Pivalate	Desoxycortone	Deoxycorticosterone	0
C0771461	DB00804	drugbank	bicyclohexyl 1 carboxylic acid 2 diethylamino ethyl ester	2.819475	2-piperidinoethyl ester of bicyclohexyl-1-carboxylic acid	bicyclohexyl-1-carboxylic acid 2-diethylamino-ethyl ester	Dicyclomine	DIHEXYVERINE	DIHEXYVERINE	0
C0004234	DB00732	drugbank	atracurium besilate	2.8065128	atracurium	atracurium besilate	Atracurium besylate	Atracurium	Atracurium	hasform
C0004234	DB00732	drugbank	atracurium besylate	2.8065128	atracurium	atracurium besylate	Atracurium besylate	Atracurium	Atracurium	hasform
C0004234	DB00732	drugbank	atracurium dibesylate	2.8065128	atracurium	atracurium dibesylate	Atracurium besylate	Atracurium	Atracurium	hasform
C0027235	DB00332	drugbank	ipratropium bromide	2.8065128	ipratropium	ipratropium bromide	Ipratropium bromide	ipratropium	Ipratropium	hasform
C0027235	DB00332	drugbank	bromure d ipratropium	2.8065128	ipratropium	bromure d'ipratropium	Ipratropium bromide	ipratropium	Ipratropium	hasform
C0057606	DB09555	drugbank	dexchlorpheniramine maleate	2.8065128	dexchlorpheniramine	dexchlorpheniramine maleate	Dexchlorpheniramine maleate	dexchlorpheniramine	dexchlorpheniramine	hasform
C0062922	DB00725	drugbank	homatropine methylbromide	2.8065128	homatropine	homatropine methylbromide	Homatropine Methylbromide	homatropine	homatropine	hasform
C0062922	DB00725	drugbank	methylbromure d homatropine	2.8065128	homatropine	methylbromure d'homatropine	Homatropine Methylbromide	homatropine	homatropine	hasform
C0062922	DB00725	drugbank	homatropine methylbromide	2.8065128	homatropine	homatropine methylbromide	Homatropine Methylbromide	homatropine	homatropine	hasform
C1096766	DB00565	drugbank	cisatracurium dibenzenesulfonate	2.8065128	cisatracurium	cisatracurium dibenzenesulfonate	Cisatracurium besylate	Cisatracurium	Cisatracurium	hasform
C1096766	DB00565	drugbank	cisatracurium besylate	2.8065128	cisatracurium	cisatracurium besylate	Cisatracurium besylate	Cisatracurium	Cisatracurium	hasform
C1096766	DB00565	drugbank	cisatracurium kation	2.8065128	cisatracurium	cisatracurium-kation	Cisatracurium besylate	Cisatracurium	Cisatracurium	hasform
C1096766	DB00565	drugbank	cisatracurium besilate	2.8065128	cisatracurium	cisatracurium besilate	Cisatracurium besylate	Cisatracurium	Cisatracurium	hasform
C0055775	DB03781	drugbank	2 4 2 4 dichlorophenoxy phenoxy propanoic acid	2.7807581	propanoic acid, 2-(4-(2,2-dichlorocyclopropyl)phenoxy)-2-methyl-	2-[4-(2,4-dichlorophenoxy)phenoxy]propanoic acid	2-[4-(2,4-Dichlorophenoxy)Phenoxy]Propanoic Acid	ciprofibrate	ciprofibrate	0
C0164858	DB00392	drugbank	n n diethyl 1 10h phenothiazin 10 yl 2 propanamine	2.7804606	10h-phenothiazine-10-propanamine, 2-chloro-n,n-diethyl-(9ci)	n,n-diethyl-1-(10h-phenothiazin-10-yl)-2-propanamine	Ethopropazine	chlorproethazine	chlorproethazine	0
C0010137	DB02715	drugbank	compound 18	2.779071	compound e	compound 18	Compound 18	Cortisone	Cortisone	0
C0010137	DB01380	drugbank	cortisone acetate	2.7645662	cortisone	cortisone acetate	Cortisone acetate	Cortisone	Cortisone	0
C0070709	DB01173	drugbank	n n dimethyl 2 alpha 2 tolylbenzoyloxy ethylamine	2.7455618	n,n-dimethyl-2-(alpha-phenyl-o-tolyloxy)ethylamine	n,n-dimethyl-2-(alpha-2-tolylbenzoyloxy)ethylamine	Orphenadrine	phenyltoloxamine	phenyltoloxamine	0
C0011710	DB01134	drugbank	desoxycorticosterone pivalate	2.7136571	desoxycorticosterone	desoxycorticosterone pivalate	Desoxycorticosterone Pivalate	Desoxycortone	Deoxycorticosterone	hasform
C0011710	DB01134	drugbank	desoxycorticosterone trimethylacetate	2.7136571	desoxycorticosterone	desoxycorticosterone trimethylacetate	Desoxycorticosterone Pivalate	Desoxycortone	Deoxycorticosterone	hasform
C0771693	DB01803	drugbank	2 trimethylammonium ethyl thiol	2.6901572	(2-(diphenylmethoxy)ethyl)trimethylammonium	2-(trimethylammonium)ethyl thiol	2-(Trimethylammonium)Ethyl Thiol	MEFENIDRAMIUM	MEFENIDRAMIUM	0
C0063830	DB02268	drugbank	4 acetylamino 3 amino benzoic acid	2.6845746	3-(acetylamino)-5-(((2-hydroxyethyl)amino)carbonyl)- 2,4,6-triiodobenzoic acid	4-(acetylamino)-3-amino benzoic acid	4-(Acetylamino)-3-Amino Benzoic Acid	ioxitalamic acid	ioxitalamic acid	0
C0038467	DB09498	drugbank	strontium chloride sr 89	2.6661894	sr - strontium	strontium chloride sr-89	Strontium chloride Sr-89	Strontium	Strontium	hasform
C0018026	DB09121	drugbank	gold thioglucose	2.635598	gold	gold thioglucose	Aurothioglucose	Gold	Gold	0
C0018026	DB00995	drugbank	triethylphosphine gold	2.635598	gold	triethylphosphine gold	Auranofin	Gold	Gold	0
C0068922	DB00351	drugbank	6 methyl 17 acetoxypregna 4 6 diene 3 20 dione	2.6293852	19-norpregna-4,6-diene-3,20-dione, 17-hydroxy-6-methyl-	6-methyl-17α-acetoxypregna-4,6-diene-3,20-dione	Megestrol acetate	nomegestrol	nomegestrol	0
C0069776	DB09300	drugbank	7 s 1 2 4 5 7 9 butyl 7 3 hydroxy 1 oxo 2 phenylpropoxy 9 methyl 3 oxa 9 azonitricyclo 3 3 1 0 2 4 nonane	2.6269019	(7(s)-(1alpha,2beta,4beta,5alpha,7beta))-9-ethyl-7-(3-hydroxy-1-oxo-2-phenylpropoxy)-9-methyl-3-oxa-9-azoniatricyclo(3.3.1.02,4)nonane	[7(s)-(1α,2β,4β,5α,7β)]-9-butyl-7-(3-hydroxy- 1-oxo-2-phenylpropoxy)-9-methyl-3-oxa- 9-azonitricyclo[3.3.1.0(2,4)]nonane	Scopolamine butylbromide	oxitropium	oxitropium	0
C0028369	DB02998	drugbank	17 beta hydroxy 17 methylestra 4 9 11 trien 3 one	2.6058078	19-norpregna-4,9,11-trien-20-yn-3-one, 17-hydroxy-, (17alpha)-	17-beta-hydroxy-17-methylestra-4,9,11-trien-3-one	Methyltrienolone	Norgestrienone	Norgestrienone	0
C0005035	DB07693	drugbank	n 3 5 dibromo 4 hydroxyphenyl 2 6 dimethylbenzamide	2.5823667	methanone, (3,5-dibromo-4-hydroxyphenyl)(2-ethyl-3-benzofuranyl)-	n-(3,5-dibromo-4-hydroxyphenyl)-2,6-dimethylbenzamide	N-(3,5-dibromo-4-hydroxyphenyl)-2,6-dimethylbenzamide	Benzbromarone	Benzbromarone	0
C0006668	DB00017	drugbank	calcitonin salmon	2.5683324	calcitonin	calcitonin, salmon	Salmon Calcitonin	Calcitonine	Calcitonin	part
C0006668	DB00017	drugbank	salmon calcitonin	2.5683324	calcitonin	salmon calcitonin	Salmon Calcitonin	Calcitonine	Calcitonin	part
C0006668	DB00017	drugbank	calcitonin salmon	2.5683324	calcitonin	calcitonin salmon	Salmon Calcitonin	Calcitonine	Calcitonin	part
C0006668	DB00017	drugbank	salmon calcitonin	2.5683324	calcitonin	salmon calcitonin	Salmon Calcitonin	Calcitonine	Calcitonin	part
C0006668	DB00017	drugbank	calcitonin 1 precursor	2.5683324	calcitonin	calcitonin 1 precursor	Salmon Calcitonin	Calcitonine	Calcitonin	part
C0006668	DB00017	drugbank	calcitonin salmon	2.5683324	calcitonin	calcitonin-salmon	Salmon Calcitonin	Calcitonine	Calcitonin	part
C0011710	DB01134	drugbank	deoxycorticosterone trimethylacetate	2.5683324	deoxycorticosterone	deoxycorticosterone trimethylacetate	Desoxycorticosterone Pivalate	Desoxycortone	Deoxycorticosterone	hasform
C0011710	DB01134	drugbank	deoxycorticosterone pivalate	2.5683324	deoxycorticosterone	deoxycorticosterone pivalate	Desoxycorticosterone Pivalate	Desoxycortone	Deoxycorticosterone	hasform
C0038467	DB09267	drugbank	strontium ranelate	2.5683324	strontium	strontium ranelate	Strontium ranelate	Strontium	Strontium	hasform
C0038467	DB05732	drugbank	strontium malonate	2.5683324	strontium	strontium malonate	Strontium malonate	Strontium	Strontium	hasform
C0076383	DB04819	drugbank	2 2 dimethylamino ethyl 2 thenylamino pyridine	2.5592556	2-((2-dimethylaminoethyl)-3-thenylamino)pyridine	2-[[2-(dimethylamino)ethyl]-2-thenylamino]pyridine	Methapyrilene	thenyldiamine	thenyldiamine	0
C0063830	DB02810	drugbank	n 2 acetamido iminodiacetic acid	2.4543693	5-acetamido-n-(2- hydroxyethyl)-2,4,6-triiodoisophthalamic acid	n-(2-acetamido)iminodiacetic acid	N-(2-Acetamido)Iminodiacetic Acid	ioxitalamic acid	ioxitalamic acid	0
C0063830	DB00659	drugbank	3 acetamido 1 propanesulfonic acid	2.4543693	5-acetamido-n-(2- hydroxyethyl)-2,4,6-triiodoisophthalamic acid	3-acetamido-1-propanesulfonic acid	Acamprosate	ioxitalamic acid	ioxitalamic acid	0
C0546882	DB01583	drugbank	levothyroxine sodium liothyronine sodium mixt	2.4198232	liothyronine sodium	levothyroxine sodium - liothyronine sodium mixt	Liotrix	liothyronine sodium	liothyronine sodium	part
C2698944	DB02409	drugbank	1r 4s 2 azabornane	2.408263	(+/-)-(1r*,3r*,4s*)-menthol	(1r,4s)-2-azabornane	(1r,4s)-2-Azabornane	RACEMENTHOL	RACEMENTHOL	0
C0117899	DB11593	drugbank	2h 3 1 benzoxazine 2 4 1h dione	2.3684423	1h-indene-1,3(2h)-dione, 2-(4-fluorophenyl)-	2h-3,1-benzoxazine-2,4(1h)-dione	Isatoic anhydride	fluindione	fluindione	0
C0031432	DB01616	drugbank	n ethyl 3 phenyl n 3 phenylpropyl 1 propanamine	2.3600736	4-piperidinecarboxylic acid, 1-(3-hydroxy-3-phenylpropyl)-4-phenyl-, ethyl ester	n-ethyl-3-phenyl-n-(3-phenylpropyl)-1-propanamine	Alverine	Phenoperidine	Phenoperidine	0
C0022251	DB01020	drugbank	isosorbide mononitrate	2.2903578	isosorbide	isosorbide mononitrate	Isosorbide Mononitrate	Isosorbide	Isosorbide	hasform
C0022251	DB01020	drugbank	mononitrate d isosorbide	2.2903578	isosorbide	mononitrate d'isosorbide	Isosorbide Mononitrate	Isosorbide	Isosorbide	hasform
C0022251	DB01020	drugbank	isosorbide mononitrate	2.2903578	isosorbide	isosorbide mononitrate	Isosorbide Mononitrate	Isosorbide	Isosorbide	hasform
C0031705	DB01643	drugbank	thymidine 5 phosphoric acid	2.2770715	phosphoric	thymidine 5'-phosphoric acid	Thymidine-5'-Phosphate	Phosphore	Phosphorus	0
C0070709	DB00217	drugbank	n n dimethyl n phenylmethyl guanidine	2.2730944	n,n-dimethyl-2-(2-(phenylmethyl)phenoxy)ethanamine	n,n'-dimethyl-n''-(phenylmethyl)-guanidine	Bethanidine	phenyltoloxamine	phenyltoloxamine	0
C0002132	DB01496	drugbank	barbituric acid derivative	2.229486	diallyl barbituric acid	barbituric acid derivative	Barbituric acid derivative	allobarbital	allobarbital	0
C0010137	DB01429	drugbank	compound 99170	2.2250586	compound e	compound 99170	Aprindine	Cortisone	Cortisone	0
C0010137	DB03516	drugbank	compound 776c	2.2250586	compound e	compound 776c	Eniluracil	Cortisone	Cortisone	0
C0030415	DB11058	drugbank	soft paraffin	2.2250586	paraffin	soft paraffin	Petrolatum	Paraffine	Paraffin	same
C0051247	DB07668	drugbank	3 4 diethylamino 2 hydroxy phenyl 2 methyl propionic acid	2.1951947	2-(4-((2-methyl-2-propenyl)amino)phenyl)propionic acid	3-(4-diethylamino-2-hydroxy-phenyl)-2-methyl-propionic acid	3-(4-DIETHYLAMINO-2-HYDROXY-PHENYL)-2-METHYL-PROPIONIC ACID	alminoprofen	alminoprofen	0
C0051247	DB00870	drugbank	+ 2 p 2 thenoyl phenyl propionic acid	2.1856322	2-(4-((2-methyl-2-propenyl)amino)phenyl)propionic acid	(+-)-2-(p-(2-thenoyl)phenyl)propionic acid	Suprofen	alminoprofen	alminoprofen	0
C0118642	DB05260	drugbank	gallium nitrate	2.1607268	gallium citrate	gallium nitrate	Gallium nitrate	gallium citrate	gallium citrate	0
C0118642	DB09412	drugbank	gallium citrate ga 67	2.1563601	gallium citrate	gallium citrate ga-67	Gallium citrate Ga-67	gallium citrate	gallium citrate	same
