dci2	score	substance	code	dci	manu
acetohydroxamate	NA		NA	acide acetohydroxamique	0
chenodesoxycholate	NA		NA	acide chenodesoxycholique	0
chenodesoxycholate	NA		NA	acide chenodesoxycholique	0
folate	NA		NA	acide folique	0
folate	NA		NA	acide folique	0
mefenamate	NA		NA	acide mefenamique	0
mefenamate	NA		NA	acide mefenamique	0
niflumate	NA		NA	acide niflumique	0
niflumate	NA		NA	acide niflumique	0
tiaprofenate	NA		NA	acide tiaprofenique	0
tiaprofenate	NA		NA	acide tiaprofenique	0
ursodesoxycholate	NA		NA	acide ursodesoxycholique	0
ursodesoxycholate	NA		NA	acide ursodesoxycholique	0
zoledronate	NA		NA	acide zoledronique	0
zoledronate	NA		NA	acide zoledronique	0
