"CUI"	"synonymes"
"C0000981"	"acetazolamides"
"C0001367"	"2-amino-1,9-dihydro-9-[(2-hydroxyethoxy)methyl]-6h-purin-6-one"
"C0001367"	"6h-purin-6-one, 2-amino-1,9-dihydro-9-((2-hydroxyethoxy)methyl)-"
"C0001367"	"9-((2-hydroxyethoxy)methyl)guanine"
"C0001367"	"9-[(2-hydroxyethoxy)-methyl]guanine"
"C0001367"	"9-[(2-hydroxyethoxy)methyl]guanine"
"C0001367"	"acv"
"C0001367"	"acyclovir"
"C0001367"	"aciclovir"
"C0001367"	"aciclovir - chemical"
"C0001367"	"aciclovir - chemical (substance)"
"C0001367"	"aciclovir [eyes]"
"C0001367"	"aciclovir [eyes] (product)"
"C0001367"	"aciclovir [eyes] (substance)"
"C0001367"	"aciclovir [skin]"
"C0001367"	"aciclovir [skin] (product)"
"C0001367"	"aciclovir [skin] (substance)"
"C0001367"	"aciclovir [systemic]"
"C0001367"	"aciclovir [systemic] (product)"
"C0001367"	"aciclovir [systemic] (substance)"
"C0001367"	"acycloguanosine"
"C0001367"	"acyclovir (product)"
"C0001367"	"acyclovir (substance)"
"C0001367"	"acyclovir [chemical/ingredient]"
"C0001367"	"acyclovir [eyes]"
"C0001367"	"acyclovir [skin]"
"C0001367"	"acyclovir [systemic]"
"C0001367"	"ophthalmic form aciclovir"
"C0001367"	"ophthalmic form acyclovir"
"C0001367"	"ophthalmic form acyclovir (product)"
"C0001367"	"acyclovir (medication)"
"C0012081"	"(dichloromethylene)bisphosphonic acid"
"C0012081"	"acid, clodronic"
"C0012081"	"acid, dichloromethanediphosphonic"
"C0012081"	"biphosphonate, dichloromethylene"
"C0012081"	"cl2mdp"
"C0012081"	"clodronic acid"
"C0012081"	"clodronic acid [chemical/ingredient]"
"C0012081"	"clodronic acid (product)"
"C0012081"	"clodronic acid (substance)"
"C0012081"	"dichloromethane diphosphonate"
"C0012081"	"dichloromethanediphosphonate"
"C0012081"	"dichloromethanediphosphonic acid"
"C0012081"	"dichloromethylene biphosphonate"
"C0012081"	"dichloromethylene diphosphonate"
"C0012081"	"dichloromethylenebisphosphonate"
"C0012081"	"diphosphonate, dichloromethane"
"C0012081"	"diphosphonate, dichloromethylene"
"C0012081"	"phosphonic acid, (dichloromethylene)bis-"
"C0023413"	"5-formyl tetrahydrofolate"
"C0023413"	"5-formyl tetrahydrofolate preparation"
"C0023413"	"5-formyl-5,6,7,8-tetrahydrofolic acid"
"C0023413"	"5-formyl-5,6,7,8-tetrahydropteroyl-l-glutamic acid"
"C0023413"	"5-formyltetrahydrofolate"
"C0023413"	"acid, folinic"
"C0023413"	"citrovorum factor"
"C0023413"	"folinic acid"
"C0023413"	"folinic acid sf"
"C0023413"	"folinic acid-sf"
"C0023413"	"folinic acid (product)"
"C0023413"	"folinic acid (substance)"
"C0023413"	"folinic acid preparation"
"C0023413"	"folinic acid preparation (product)"
"C0023413"	"folinic acid preparation (substance)"
"C0023413"	"folinic acid product"
"C0023413"	"l-glutamic acid, n-(4-(((2-amino-5-formyl-1,4,5,6,7,8-hexahydro-4-oxo-6-pteridinyl)methyl)amino)benzoyl)-"
"C0023413"	"leucovorin"
"C0023413"	"leucovorin [chemical/ingredient]"
"C0023413"	"leucovorin preparation"
"C0023413"	"leucovorin preparation (product)"
"C0023413"	"leucovorin preparation (substance)"
"C0023413"	"leucovorin®"
"C0023413"	"leukovorin"
"C0023413"	"leukovorin preparation"
"C0023413"	"leukovorin rescue factor"
"C0023413"	"leukovorum"
"C0023413"	"n-[4-[[(2-amino-5-formyl-1,4,5,6,7,8-hexahydro-4-oxo-6-pteridinyl)methyl]amnio]benzoyl]-l-glutamic acid"
"C0023413"	"n-[p-[[(2-amino-5-formyl-5,6,7,8-tetrahydro-4-hydroxy-6-pteridinyl)methyl]amino]benzoyl]glutamic acid"
"C0023413"	"acid folinic"
"C0023413"	"citrovorum"
"C0023413"	"leucovorin (medication)"
"C0016410"	"2-[4-[(2-amino-4-oxo-1h-pteridin-6-yl)methylamino]benzoyl]aminopentanedioic acid"
"C0016410"	"b9, vitamin"
"C0016410"	"fa"
"C0016410"	"fa - folic acid"
"C0016410"	"folic acid"
"C0016410"	"folic acid [chemical/ingredient]"
"C0016410"	"folic acid (substance)"
"C0016410"	"folic acid preparation"
"C0016410"	"folic acid preparation (product)"
"C0016410"	"folic acid preparation (substance)"
"C0016410"	"folic acid product"
"C0016410"	"l-glutamic acid, n-(4-(((2-amino-1,4-dihydro-4-oxo-6-pteridinyl)methyl)amino)benzoyl)-"
"C0016410"	"lactobacillus casei factor"
"C0016410"	"n-(4-(((2-amino-1,4-dihydro-4-oxo-6-pteridinyl)methyl)amino)benzoyl)-l-glutamic acid"
"C0016410"	"n-[4-[[(2-amino-1,4-dihydro-4-oxo-6-pteridinyl)methyl]amino]benzoyl]-l-glutamic acid"
"C0016410"	"pteroylglutamic acid"
"C0016410"	"pteroylglutamic acid preparation"
"C0016410"	"pteroylmonoglutamic acid"
"C0016410"	"vitamin b c"
"C0016410"	"vitamin b9"
"C0016410"	"vitamin b<sub>c</sub>"
"C0016410"	"vitamin b>c<"
"C0016410"	"vitamin bc"
"C0016410"	"vitamin m"
"C0016410"	"b c vitamin"
"C0016410"	"folic acid (medication)"
"C0016410"	"hematinics folic acid"
"C0016410"	"m vitamins"
"C0016410"	"vitamin b complex"
"C0022041"	"benzoic acid, 3-((((3-(acetylmethylamino)-2,4,6-triiodo-5-((methylamino)carbonyl)benzoyl)amino)acetyl)amino)-5-(((2-hydroxyethyl)amino)carbonyl)-2,4,6-triiodo-"
"C0022041"	"ioxaglic acid"
"C0022041"	"ioxaglic acid [chemical/ingredient]"
"C0028067"	"3-pyridinecarboxylic acid, 2-((3-(trifluoromethyl)phenyl)amino)-"
"C0028067"	"acid, niflumic"
"C0028067"	"niflumic acid"
"C0028067"	"niflumic acid [chemical/ingredient]"
"C1122087"	"adalimumab"
"C1122087"	"adalimumab (product)"
"C1122087"	"adalimumab (substance)"
"C1122087"	"adalimumab [chemical/ingredient]"
"C1122087"	"immunoglobulin g1, anti-(human tumor necrosis factor) (human monoclonal d2e7 heavy chain), disulfide with human monoclonal d2e7 light chain, dimer"
"C1122087"	"adalimumab (medication)"
"C1122087"	"antibody d2e7"
"C1122087"	"tumor necrosis factor alpha blockers adalimumab"
"C0050175"	"9-(2-phosphonylmethoxyethyl)adenine"
"C0050175"	"9-(2-phophonylmethoxyethyl)adenine"
"C0050175"	"9-(2-phosphonomethoxyethyl)adenine"
"C0050175"	"9-pmea"
"C0050175"	"adefovir"
"C0050175"	"adefovir (product)"
"C0050175"	"adefovir (substance)"
"C0050175"	"pmea"
"C0050175"	"phosphonylmethoxyethyl-a"
"C0050175"	"adefovir [chemical/ingredient]"
"C0014563"	"1,2-benzenediol, 4-(1-hydroxy-2-(methylamino)ethyl)-, (r)-"
"C0014563"	"4-(1-hydroxy-2-(methylamino)ethyl)-1,2-benzenediol"
"C0014563"	"adrenal"
"C0014563"	"adrenalin"
"C0014563"	"adrenaline"
"C0014563"	"adrenaline (product)"
"C0014563"	"adrenaline (substance)"
"C0014563"	"adrenaline - chemical"
"C0014563"	"adrenaline - chemical (substance)"
"C0014563"	"adrenaline [card]"
"C0014563"	"adrenaline [cardiovascular use]"
"C0014563"	"adrenaline [cardiovascular use] (product)"
"C0014563"	"adrenaline [cardiovascular use] (substance)"
"C0014563"	"adrenaline [resp]"
"C0014563"	"adrenaline [resp] (product)"
"C0014563"	"adrenaline [resp] (substance)"
"C0014563"	"adrenaline preparation"
"C0014563"	"adrenaline product"
"C0014563"	"adrenaline product (product)"
"C0014563"	"epinephrine"
"C0014563"	"epi"
"C0014563"	"epinephrine (substance)"
"C0014563"	"epinephrine (substance) [ambiguous]"
"C0014563"	"epinephrine [chemical/ingredient]"
"C0014563"	"epinephrine [cardiovascular use]"
"C0014563"	"epinephrine [cardiovascular use] (product)"
"C0014563"	"epinephrine [resp]"
"C0014563"	"epinephrine [resp] (product)"
"C0014563"	"epinephrine preparation"
"C0014563"	"epinephrine preparation (product)"
"C0014563"	"epinephrine preparation (substance)"
"C0014563"	"epinephrine product"
"C0014563"	"therapeutic epinephrine"
"C0014563"	"epinephrine (medication)"
"C0014563"	"sympathomimetics epinephrine"
"C0014563"	"sympathomimetics epinephrine (medication)"
"C0971637"	"agomelatine"
"C0971637"	"agomelatine (product)"
"C0971637"	"agomelatine (substance)"
"C0001981"	"alcuronium"
"C0001981"	"alcuronium (product)"
"C0001981"	"alcuronium (substance)"
"C0001981"	"alcuronium [chemical/ingredient]"
"C0001981"	"allnortoxiferine"
"C0001981"	"diallylnortoxiferine"
"C0001981"	"toxiferine i, 4,4'-didemethyl-4,4'-di-2-propenyl-"
"C0044410"	"(5z,7e)-9,10-secocholesta-5,7,10(19)-triene-1alpha,3beta-diol"
"C0044410"	"1 alpha-hydroxycholecalciferol"
"C0044410"	"1 alpha-hydroxyvitamin d3"
"C0044410"	"1, hydroxy cholecalciferol"
"C0044410"	"1, hydroxy cholecalciferol (substance)"
"C0044410"	"1-hydroxycholecalciferol"
"C0044410"	"1-alpha-oxycholecalciferol"
"C0044410"	"1alpha-hydroxycholecalciferol"
"C0044410"	"1alpha-ohd3"
"C0044410"	"9,10-secocholesta-,7,10(19)-triene-1 alpha,3 beta-diol"
"C0044410"	"alfacalcidol"
"C0044410"	"alfacalcidol (product)"
"C0044410"	"alfacalcidol (substance)"
"C0044410"	"alpha d 3"
"C0044410"	"alpha-calcidol"
"C0044410"	"hydroxycholecalciferol"
"C0044410"	"alphacalcidol"
"C0002026"	"alfentanil"
"C0002026"	"alfentanil (product)"
"C0002026"	"alfentanil (substance)"
"C0002026"	"alfentanil - chemical"
"C0002026"	"alfentanil - chemical (substance)"
"C0002026"	"alfentanil [chemical/ingredient]"
"C0002026"	"alfentanyl"
"C0002026"	"propanamide, n-(1-(2-(4-ethyl-4,5-dihydro-5-oxo-1h-tetrazol-1-yl)ethyl)-4-(methoxymethyl)-4-piperidinyl)-n-phenyl-"
"C0041031"	"10-(2-methyl-3-dimethylaminopropyl)-phenothiazine"
"C0041031"	"10h-phenothiazine-10-propanamine, n,n,beta-trimethyl-"
"C0041031"	"alimemazine"
"C0041031"	"isobutrazine"
"C0041031"	"methylpromazine"
"C0041031"	"trimeprazine"
"C0041031"	"trimeprazine (product)"
"C0041031"	"trimeprazine (substance)"
"C0041031"	"trimeprazine [chemical/ingredient]"
"C1120110"	"(2s,4s,5s,7s)-5-amino-n-(2-carbamoyl-2-methylpropyl)-4-hydroxy-2-isopropyl-7-(4-methoxy-3-(3-methoxypropoxy)benzyl)-8-methylnonamide"
"C1120110"	"aliskiren"
"C1120110"	"aliskiren (product)"
"C1120110"	"aliskiren (substance)"
"C1120110"	"aliskiren (medication)"
"C1120110"	"aliskiren [chemical/ingredient]"
"C0051162"	"alizapride"
"C0051162"	"n-((1-allyl-2-pyrrolidinyl)methyl)-6-methoxy-1h-benzotriazole-5-carboxamide"
"C0051162"	"n-((allyl-1-pyrrolidinyl-2)-methyl)methoxy-2-azimido-4,5-benzamide"
"C0002132"	"2,4,6(1h,3h,5h)-pyrimidinetrione , 5,5-di-2-propenyl-"
"C0002132"	"5,5-diallylbarbituric acid"
"C0002132"	"allobarbital"
"C0002132"	"allobarbital (substance)"
"C0002132"	"allobarbital (dialog)"
"C0002132"	"allobarbital (medication)"
"C0002132"	"allobarbitone"
"C0002132"	"diallyl barbituric acid"
"C0002132"	"diallylbarbital"
"C0002132"	"diallylbarbituric acid"
"C0002132"	"diallylmal"
"C0002144"	"1,5-dihydro-4h-pyrazolo[3,4-d]pryimidin-4-one"
"C0002144"	"1,5-dihydro-4h-pyrazolo[3,4-d]pyrimidin-4-one"
"C0002144"	"1h-pyrazolo[3,4-d]pyrimidin-4-ol"
"C0002144"	"4'-hpp"
"C0002144"	"4-hydroxypyrazolo[3,4-d]pyrimidine"
"C0002144"	"4h-pyrazolo(3,4-d)pyrimidin-4-one, 1,5-dihydro-"
"C0002144"	"allo"
"C0002144"	"allopurinol"
"C0002144"	"allopurinol (product)"
"C0002144"	"allopurinol (substance)"
"C0002144"	"allopurinol - chemical"
"C0002144"	"allopurinol - chemical (substance)"
"C0002144"	"allopurinol [chemical/ingredient]"
"C0002144"	"allopurinol (medication)"
"C0002144"	"allopurinol sodium (as allopurinol)"
"C0914729"	"almotriptan"
"C0914729"	"almotriptan (product)"
"C0914729"	"almotriptan (substance)"
"C0914729"	"almotriptan - chemical"
"C0914729"	"almotriptan - chemical (substance)"
"C0914729"	"almotriptan product"
"C0914729"	"almotriptan product (substance)"
"C0914729"	"almotriptan (medication)"
"C0914729"	"almotriptan [chemical/ingredient]"
"C0951387"	"alpha-pinene, pinene"
"C0002333"	"4h-(1,2,4)triazolo(4,3-a)(1,4)benzodiazepine, 8-chloro-1-methyl-6-phenyl-"
"C0002333"	"alprazolam"
"C0002333"	"alprazolam (product)"
"C0002333"	"alprazolam (substance)"
"C0002333"	"alprazolam - chemical"
"C0002333"	"alprazolam - chemical (substance)"
"C0002333"	"alprazolam [chemical/ingredient]"
"C0002333"	"alprazolan"
"C0002333"	"alprazolam (medication)"
"C0051500"	"3-((allylthio)methyl)-6-chloro-3,4-dihydro-2h-1,2,4-benzothiadiazine-7-sulfonamide-1,1-dioxide"
"C0051500"	"6-chloro-3,4-dihydro-3-((2-propenylthio)methyl)-2h-1,2,4-benzothiadiazine-7-sulfonamide"
"C0051500"	"althiazide"
"C0051500"	"altizide"
"C0051500"	"altozide"
"C0019453"	"1,3,5-triazine-2,4,6-triamine, n,n,n',n',n'',n''-hexamethyl-"
"C0019453"	"2,4,6-tris(dimethylamino)-s-triazine"
"C0019453"	"altretamine"
"C0019453"	"altretamine (product)"
"C0019453"	"altretamine (substance)"
"C0019453"	"altretamine - chemical"
"C0019453"	"altretamine - chemical (substance)"
"C0019453"	"altretamine [chemical/ingredient]"
"C0019453"	"hmm"
"C0019453"	"hxm"
"C0019453"	"hemel"
"C0019453"	"hexaloids"
"C0019453"	"hexamethyl melamine"
"C0019453"	"hexamethylmelamine"
"C0019453"	"n,n,n',n',n\",n\"-hexamethyl-1,3,5-triazine-2,4,6-triamine"
"C0019453"	"n,n,n',n\"n\"-hexamethyl-1,3,5,-triazine-2,4,6,-triamine"
"C0019453"	"altretamine (medication)"
"C0019453"	"hsa"
"C0019453"	"s-triazine, 2,4,6-tris(dimethylamino)-"
"C0002403"	"1 aminoadamantane"
"C0002403"	"1-aminoadamantane"
"C0002403"	"amantadine"
"C0002403"	"adamantylamine"
"C0002403"	"amantadine (product)"
"C0002403"	"amantadine (substance)"
"C0002403"	"amantadine [chemical/ingredient]"
"C0002403"	"amatadine"
"C0002403"	"tricyclo(3.3.1.13,7)decan-1-amine"
"C0002412"	"ambenonium"
"C0002412"	"ambenonium (product)"
"C0002412"	"ambenonium (substance)"
"C0002412"	"benzenemethanaminium, n,n'-((1,2-dioxo-1,2-ethanediyl)bis(imino-2,1-ethanediyl))bis(2-chloro-n,n-diethyl)-"
"C0015020"	"2-[(3-aminopropyl)amino]ethanethiol dihydrogen phosphate ester"
"C0015020"	"amifostine"
"C0015020"	"apaetp"
"C0015020"	"amifostine (product)"
"C0015020"	"amifostine (substance)"
"C0015020"	"amifostine - chemical"
"C0015020"	"amifostine - chemical (substance)"
"C0015020"	"amifostine [chemical/ingredient]"
"C0015020"	"aminopropylaminoethylthiophosphoric acid"
"C0015020"	"ethiofos"
"C0015020"	"gammaphos"
"C0015020"	"s-(n-(3-aminopropyl)-2-aminoethyl)thiophosphoric acid"
"C0015020"	"s-2-(3-aminopropylamino)ethylphosphorothioic acid"
"C0015020"	"amifostine (medication)"
"C0002499"	"amika"
"C0002499"	"amikacin"
"C0002499"	"amikacin (product)"
"C0002499"	"amikacin (substance)"
"C0002499"	"amikacin - chemical"
"C0002499"	"amikacin - chemical (substance)"
"C0002499"	"amikacin [chemical/ingredient]"
"C0002499"	"d-streptamine, o-3-amino-3-deoxy-alpha-d-glucopyranosyl-(1-6)-o-(6-amino-6-deoxy-alpha-d-glucopyranosyl-(1-4))-n1-(4-amino-2-hydroxy-1-oxobutyl)-2-deoxy-, (s)-"
"C0002502"	"amiloride"
"C0002502"	"amiloride (product)"
"C0002502"	"amiloride (substance)"
"C0002502"	"amiloride [chemical/ingredient]"
"C0002502"	"amipramizide"
"C0002502"	"pyrazinecarboxamide, 3,5-diamino-n-(aminoiminomethyl)-6-chloro-"
"C0002502"	"amiloride (medication)"
"C0002502"	"diuretics potassium-sparing amiloride"
"C0002575"	"1h-purine-2,6-dione, 3,7-dihydro-1,3-dimethyl-, compd. with 1,2-ethanediamine (2:1)"
"C0002575"	"1h-purine-2,6-dione, 3,7-dihydro-1,3-dimethyl-, compound with 1,2-ethanediamine(2:1)"
"C0002575"	"aminophylline"
"C0002575"	"aminophyllin"
"C0002575"	"aminophylline (product)"
"C0002575"	"aminophylline (substance)"
"C0002575"	"aminophylline - chemical"
"C0002575"	"aminophylline - chemical (substance)"
"C0002575"	"aminophylline [chemical/ingredient]"
"C0002575"	"ammophyllin"
"C0002575"	"ethylenediamine, theophylline"
"C0002575"	"theophyline ethylenediamine"
"C0002575"	"theophyllamine"
"C0002575"	"theophylline ethylenediamine"
"C0002575"	"aminophylline (medication)"
"C0002598"	"amiodarone"
"C0002598"	"amiodarone (product)"
"C0002598"	"amiodarone (substance)"
"C0002598"	"amiodarone [chemical/ingredient]"
"C0002598"	"methanone, (2-butyl-3-benzofuranyl)(4-(2-(diethylamino)ethoxy)-3,5-diiodophenyl)-"
"C0103045"	"amisulpride"
"C0103045"	"amisulpride (product)"
"C0103045"	"amisulpride (substance)"
"C0103045"	"amisulpride - chemical"
"C0103045"	"amisulpride - chemical (substance)"
"C0002600"	"1-propanamine, 3-(10,11-dihydro-5h-dibenzo(a,d)cyclohepten-5-ylidene)-n,n-dimethyl-"
"C0002600"	"amitriptyline"
"C0002600"	"amitriptyline (product)"
"C0002600"	"amitriptyline (substance)"
"C0002600"	"amitriptyline [chemical/ingredient]"
"C0051696"	"3,5-pyridinedicarboxylic acid, 2-((2-aminoethoxy)methyl)-4-(2-chlorophenyl)-1,4-dihydro-6-methyl-, 3-ethyl 5-methyl ester"
"C0051696"	"amlodipine"
"C0051696"	"amlodipine (product)"
"C0051696"	"amlodipine (substance)"
"C0051696"	"amlodipine - chemical"
"C0051696"	"amlodipine - chemical (substance)"
"C0051696"	"amlodipine [chemical/ingredient]"
"C0002640"	"2,4,6(1h,3h,5h)-pyrimidinetrione, 5-ethyl-5-(3-methylbutyl)-"
"C0002640"	"amobarbital"
"C0002640"	"amobarbital (product)"
"C0002640"	"amobarbital (substance)"
"C0002640"	"amobarbital [chemical/ingredient]"
"C0002640"	"amylobarbitone"
"C0002640"	"amylobarbitone - chemical"
"C0002640"	"amylobarbitone - chemical (substance)"
"C0002640"	"pentymal"
"C0002640"	"amobarbital (medication)"
"C0002644"	"2-chloro-11-(1-piperazinyl)dibenz(b,f)(1,4)oxazepine"
"C0002644"	"amoxapine"
"C0002644"	"amoxapine (product)"
"C0002644"	"amoxapine (substance)"
"C0002644"	"amoxapine - chemical"
"C0002644"	"amoxapine - chemical (substance)"
"C0002644"	"amoxapine [chemical/ingredient]"
"C0002644"	"desmethylloxapine"
"C0002644"	"dibenz(b,f)(1,4)oxazepine, 2-chloro-11-(1-piperazinyl)-"
"C0002644"	"amoxapine (medication)"
"C0002645"	"amox"
"C0002645"	"amoxicillin"
"C0002645"	"amoxicillin (product)"
"C0002645"	"amoxicillin (substance)"
"C0002645"	"amoxicillin [2]"
"C0002645"	"amoxicillin [chemical/ingredient]"
"C0002645"	"amoxicillin [generic additions]"
"C0002645"	"amoxicillin product"
"C0002645"	"amoxicilline"
"C0002645"	"amoxycillin"
"C0002645"	"amoxycillin [2]"
"C0002645"	"amoxycillin [2] (product)"
"C0002645"	"amoxycillin [2] (substance)"
"C0002645"	"amoxycillin [generic additions]"
"C0002645"	"amoxycillin [generic additions] (product)"
"C0002645"	"amoxycillin [generic additions] (substance)"
"C0002645"	"amoxycillin [generic addn]"
"C0002645"	"amoxycillin product"
"C0002645"	"hydroxyampicillin"
"C0002645"	"amoxicillin (medication)"
"C0002645"	"p-hydroxyampicillin"
"C0002680"	"(2s,5r,6r)-6-((r)-2-amino-2-phenylacetamido)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid"
"C0002680"	"4-thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid, 6-((aminophenylacetyl)amino)-3,3-dimethyl-7-oxo-, (2s-(2alpha,5alpha,6beta(s*)))-"
"C0002680"	"ampicillin"
"C0002680"	"aminobenzyl penicillin"
"C0002680"	"aminobenzylpenicillin"
"C0002680"	"ampicillin (product)"
"C0002680"	"ampicillin (substance)"
"C0002680"	"ampicillin [chemical/ingredient]"
"C0002680"	"penicillin, aminobenzyl"
"C0002680"	"ampicillin (medication)"
"C0002680"	"ampicillins"
"C0754188"	"amprenavir"
"C0754188"	"apv"
"C0754188"	"amprenavir (product)"
"C0754188"	"amprenavir (substance)"
"C0754188"	"amprenavir - chemical"
"C0754188"	"amprenavir - chemical (substance)"
"C0754188"	"carbamic acid, (3-(((4-aminophenyl)sulfonyl)(2-methylpropyl)amino)-2-hydroxy-1-(- phenylmethyl)propyl)-, tetrahydro-3-furanyl ester, (3s-(3r*(1s*,2r*)))-"
"C0754188"	"amprenavir (medication)"
"C0754188"	"amprenavir [chemical/ingredient]"
"C0754188"	"tetrahydro-3-furyl n-(3-(4-amino-n-isobutylbenzenesulfonamido)-1-benzyl-2-hydroxypropyl)carbamate"
"C0002699"	"4'-(9-acridinylamino)methane-sulfon-m-anisidide"
"C0002699"	"amsa"
"C0002699"	"amsa m"
"C0002699"	"amsacrine"
"C0002699"	"acridinyl anisidide"
"C0002699"	"amsacrine (product)"
"C0002699"	"amsacrine (substance)"
"C0002699"	"amsacrine - chemical"
"C0002699"	"amsacrine - chemical (substance)"
"C0002699"	"amsacrine [chemical/ingredient]"
"C0002699"	"cain acridine"
"C0002699"	"cain's acridine"
"C0002699"	"cains acridine"
"C0002699"	"methanesulfonamide, n-(4-(9-acridinylamino)-3-methoxyphenyl)-"
"C0002699"	"n-[4-(9-acridinylamino)-3-methoxyphenyl]methanesulfonamide"
"C0002699"	"m-amsa"
"C0002699"	"meta amsa"
"C0002699"	"meta-amsa"
"C0038148"	"(5-alpha, 17-beta)-17-hydroxyandrostan-3-one"
"C0038148"	"(5alpha,17beta)-17-hydroxyandrostan-3-one"
"C0038148"	"17beta hydroxy 5alpha androstan 3 one"
"C0038148"	"17beta-hydroxy-3-androstanone"
"C0038148"	"17beta-hydroxy-5alpha-androstan-3-one"
"C0038148"	"4-dihydrotestosterone"
"C0038148"	"4-dihydrotestosterone preparation"
"C0038148"	"5 alpha dht"
"C0038148"	"5 alpha dihydrotestosterone"
"C0038148"	"5 alpha-dihydrotestosterone"
"C0038148"	"5-alpha-dihydrotestosterone"
"C0038148"	"5-alpha dihydrotestosterone"
"C0038148"	"5-alpha-dht"
"C0038148"	"5alpha,17beta-hydroxyandrostan-3-one"
"C0038148"	"alpha dihydrotestosterone 05"
"C0038148"	"androstan-3-one, 17-hydroxy-, (5alpha,17beta)-"
"C0038148"	"androstanolone"
"C0038148"	"androstanolone (substance)"
"C0038148"	"androstanolone -retired-"
"C0038148"	"androstanolone preparation"
"C0038148"	"dht"
"C0038148"	"dht - 5-alpha-dihydrotestosterone"
"C0038148"	"dht- 5-alpha-dihydrotestoster"
"C0038148"	"dihydrotestosterone"
"C0038148"	"dihydrotestosterone (substance)"
"C0038148"	"dihydrotestosterone [chemical/ingredient]"
"C0038148"	"dihydrotestosterone preparation"
"C0038148"	"dihydrotestosterone preparation (product)"
"C0038148"	"dihydrotestosterone preparation (substance)"
"C0038148"	"dihydrotestosterone, 5-alpha"
"C0038148"	"injectable dihydrotestosterone preparation"
"C0038148"	"stanolone"
"C0038148"	"stanalone preparation (product)"
"C0038148"	"stanalone preparation -retired-"
"C0038148"	"stanolone preparation"
"C0038148"	"testosterone, dihydro-"
"C0038148"	"therapeutic androstanolone"
