"CUI"	"synonymes"	"synonymes"
"C0050403"	"aceclofenac - chemical (substance)"	"aceclofenac chemical substance "
"C0050403"	"aceclofenac product"	"aceclofenac product"
"C0050403"	"aceclofenac product (substance)"	"aceclofenac product substance "
"C0000956"	"2h-1-benzopyran-2-one, 4-hydroxy-3-(1-(4-nitrophenyl)-3-oxobutyl)-"	"2h 1 benzopyran 2 one 4 hydroxy 3 1 4 nitrophenyl 3 oxobutyl "
"C0000956"	"acenocoumarol"	"acenocoumarol"
"C0000956"	"acenocoumarin"	"acenocoumarin"
"C0000956"	"acenocoumarol (product)"	"acenocoumarol product "
"C0000956"	"acenocoumarol (substance)"	"acenocoumarol substance "
"C0000956"	"acenocoumarol [chemical/ingredient]"	"acenocoumarol chemical ingredient "
"C0000956"	"nicoumalone"	"nicoumalone"
"C0000956"	"acenocoumarol (medication)"	"acenocoumarol medication "
"C0000959"	"10-(3-dimethylaminopropyl)phenothiazine-3-ethylone"	"10 3 dimethylaminopropyl phenothiazine 3 ethylone"
"C0000959"	"acepromazine"	"acepromazine"
"C0000959"	"acepromazine (substance)"	"acepromazine substance "
"C0000959"	"acepromazine [chemical/ingredient]"	"acepromazine chemical ingredient "
"C0000959"	"acetazine"	"acetazine"
"C0000959"	"acetopromazine"	"acetopromazine"
"C0000959"	"acetylpromazine"	"acetylpromazine"
"C0000959"	"ethanone, 1-(10-(3-(dimethylamino)propyl)-10h-phenothiazin-2-yl)-"	"ethanone 1 10 3 dimethylamino propyl 10h phenothiazin 2 yl "
"C0608826"	"1-(10-(2-(dimethylamino)propyl)-10h-phenothiazin- 2-yl)ethanone"	"1 10 2 dimethylamino propyl 10h phenothiazin 2 yl ethanone"
"C0608826"	"aceprometazine"	"aceprometazine"
"C0000981"	"acetazolamide"	"acetazolamide"
"C0000981"	"acetamide, n-(5-(aminosulfonyl)-1,3,4-thiadiazol-2-yl)-"	"acetamide n 5 aminosulfonyl 1 3 4 thiadiazol 2 yl "
"C0000981"	"acetazolamide (product)"	"acetazolamide product "
"C0000981"	"acetazolamide (substance)"	"acetazolamide substance "
"C0000981"	"acetazolamide - chemical"	"acetazolamide chemical"
"C0000981"	"acetazolamide - chemical (substance)"	"acetazolamide chemical substance "
"C0000981"	"acetazolamide [chemical/ingredient]"	"acetazolamide chemical ingredient "
"C0000981"	"acetazolamide [epilepsy]"	"acetazolamide epilepsy "
"C0000981"	"acetazolamide [epilepsy] (product)"	"acetazolamide epilepsy product "
"C0000981"	"acetazolamide [epilepsy] (substance)"	"acetazolamide epilepsy substance "
"C0000981"	"acetazolamide [glaucoma]"	"acetazolamide glaucoma "
"C0000981"	"acetazolamide [glaucoma] (product)"	"acetazolamide glaucoma product "
"C0000981"	"acetazolamide [glaucoma] (substance)"	"acetazolamide glaucoma substance "
"C0000981"	"n-(5-(aminosulfonyl)-1,3,4-thiadiazol-2-yl)acetamide"	"n 5 aminosulfonyl 1 3 4 thiadiazol 2 yl acetamide"
"C0000981"	"n-[5-(aminosulfonyl)-1,3,4-thiadiazol-2-yl]acetamide"	"n 5 aminosulfonyl 1 3 4 thiadiazol 2 yl acetamide"
"C0000981"	"acetazolamide (medication)"	"acetazolamide medication "
"C0000981"	"acetazolamides"	"acetazolamides"
"C0001367"	"2-amino-1,9-dihydro-9-[(2-hydroxyethoxy)methyl]-6h-purin-6-one"	"2 amino 1 9 dihydro 9 2 hydroxyethoxy methyl 6h purin 6 one"
"C0001367"	"6h-purin-6-one, 2-amino-1,9-dihydro-9-((2-hydroxyethoxy)methyl)-"	"6h purin 6 one 2 amino 1 9 dihydro 9 2 hydroxyethoxy methyl "
"C0001367"	"9-((2-hydroxyethoxy)methyl)guanine"	"9 2 hydroxyethoxy methyl guanine"
"C0001367"	"9-[(2-hydroxyethoxy)-methyl]guanine"	"9 2 hydroxyethoxy methyl guanine"
"C0001367"	"9-[(2-hydroxyethoxy)methyl]guanine"	"9 2 hydroxyethoxy methyl guanine"
"C0001367"	"acv"	"acv"
"C0001367"	"acyclovir"	"acyclovir"
"C0001367"	"aciclovir"	"aciclovir"
"C0001367"	"aciclovir - chemical"	"aciclovir chemical"
"C0001367"	"aciclovir - chemical (substance)"	"aciclovir chemical substance "
"C0001367"	"aciclovir [eyes]"	"aciclovir eyes "
"C0001367"	"aciclovir [eyes] (product)"	"aciclovir eyes product "
"C0001367"	"aciclovir [eyes] (substance)"	"aciclovir eyes substance "
"C0001367"	"aciclovir [skin]"	"aciclovir skin "
"C0001367"	"aciclovir [skin] (product)"	"aciclovir skin product "
"C0001367"	"aciclovir [skin] (substance)"	"aciclovir skin substance "
"C0001367"	"aciclovir [systemic]"	"aciclovir systemic "
"C0001367"	"aciclovir [systemic] (product)"	"aciclovir systemic product "
"C0001367"	"aciclovir [systemic] (substance)"	"aciclovir systemic substance "
"C0001367"	"acycloguanosine"	"acycloguanosine"
"C0001367"	"acyclovir (product)"	"acyclovir product "
"C0001367"	"acyclovir (substance)"	"acyclovir substance "
"C0001367"	"acyclovir [chemical/ingredient]"	"acyclovir chemical ingredient "
"C0001367"	"acyclovir [eyes]"	"acyclovir eyes "
"C0001367"	"acyclovir [skin]"	"acyclovir skin "
"C0001367"	"acyclovir [systemic]"	"acyclovir systemic "
"C0001367"	"ophthalmic form aciclovir"	"ophthalmic form aciclovir"
"C0001367"	"ophthalmic form acyclovir"	"ophthalmic form acyclovir"
"C0001367"	"ophthalmic form acyclovir (product)"	"ophthalmic form acyclovir product "
"C0001367"	"acyclovir (medication)"	"acyclovir medication "
"C0012081"	"(dichloromethylene)bisphosphonic acid"	"dichloromethylene bisphosphonic acid"
"C0012081"	"acid, clodronic"	"acid clodronic"
"C0012081"	"acid, dichloromethanediphosphonic"	"acid dichloromethanediphosphonic"
"C0012081"	"biphosphonate, dichloromethylene"	"biphosphonate dichloromethylene"
"C0012081"	"cl2mdp"	"cl2mdp"
"C0012081"	"clodronic acid"	"clodronic acid"
"C0012081"	"clodronic acid [chemical/ingredient]"	"clodronic acid chemical ingredient "
"C0012081"	"clodronic acid (product)"	"clodronic acid product "
"C0012081"	"clodronic acid (substance)"	"clodronic acid substance "
"C0012081"	"dichloromethane diphosphonate"	"dichloromethane diphosphonate"
"C0012081"	"dichloromethanediphosphonate"	"dichloromethanediphosphonate"
"C0012081"	"dichloromethanediphosphonic acid"	"dichloromethanediphosphonic acid"
"C0012081"	"dichloromethylene biphosphonate"	"dichloromethylene biphosphonate"
"C0012081"	"dichloromethylene diphosphonate"	"dichloromethylene diphosphonate"
"C0012081"	"dichloromethylenebisphosphonate"	"dichloromethylenebisphosphonate"
"C0012081"	"diphosphonate, dichloromethane"	"diphosphonate dichloromethane"
"C0012081"	"diphosphonate, dichloromethylene"	"diphosphonate dichloromethylene"
"C0012081"	"phosphonic acid, (dichloromethylene)bis-"	"phosphonic acid dichloromethylene bis "
"C0023413"	"5-formyl tetrahydrofolate"	"5 formyl tetrahydrofolate"
"C0023413"	"5-formyl tetrahydrofolate preparation"	"5 formyl tetrahydrofolate preparation"
"C0023413"	"5-formyl-5,6,7,8-tetrahydrofolic acid"	"5 formyl 5 6 7 8 tetrahydrofolic acid"
"C0023413"	"5-formyl-5,6,7,8-tetrahydropteroyl-l-glutamic acid"	"5 formyl 5 6 7 8 tetrahydropteroyl l glutamic acid"
"C0023413"	"5-formyltetrahydrofolate"	"5 formyltetrahydrofolate"
"C0023413"	"acid, folinic"	"acid folinic"
"C0023413"	"citrovorum factor"	"citrovorum factor"
"C0023413"	"folinic acid"	"folinic acid"
"C0023413"	"folinic acid sf"	"folinic acid sf"
"C0023413"	"folinic acid-sf"	"folinic acid sf"
"C0023413"	"folinic acid (product)"	"folinic acid product "
"C0023413"	"folinic acid (substance)"	"folinic acid substance "
"C0023413"	"folinic acid preparation"	"folinic acid preparation"
"C0023413"	"folinic acid preparation (product)"	"folinic acid preparation product "
"C0023413"	"folinic acid preparation (substance)"	"folinic acid preparation substance "
"C0023413"	"folinic acid product"	"folinic acid product"
"C0023413"	"l-glutamic acid, n-(4-(((2-amino-5-formyl-1,4,5,6,7,8-hexahydro-4-oxo-6-pteridinyl)methyl)amino)benzoyl)-"	"l glutamic acid n 4 2 amino 5 formyl 1 4 5 6 7 8 hexahydro 4 oxo 6 pteridinyl methyl amino benzoyl "
"C0023413"	"leucovorin"	"leucovorin"
"C0023413"	"leucovorin [chemical/ingredient]"	"leucovorin chemical ingredient "
"C0023413"	"leucovorin preparation"	"leucovorin preparation"
"C0023413"	"leucovorin preparation (product)"	"leucovorin preparation product "
"C0023413"	"leucovorin preparation (substance)"	"leucovorin preparation substance "
"C0023413"	"leucovorin®"	"leucovorin"
"C0023413"	"leukovorin"	"leukovorin"
"C0023413"	"leukovorin preparation"	"leukovorin preparation"
"C0023413"	"leukovorin rescue factor"	"leukovorin rescue factor"
"C0023413"	"leukovorum"	"leukovorum"
"C0023413"	"n-[4-[[(2-amino-5-formyl-1,4,5,6,7,8-hexahydro-4-oxo-6-pteridinyl)methyl]amnio]benzoyl]-l-glutamic acid"	"n 4 2 amino 5 formyl 1 4 5 6 7 8 hexahydro 4 oxo 6 pteridinyl methyl amnio benzoyl l glutamic acid"
"C0023413"	"n-[p-[[(2-amino-5-formyl-5,6,7,8-tetrahydro-4-hydroxy-6-pteridinyl)methyl]amino]benzoyl]glutamic acid"	"n p 2 amino 5 formyl 5 6 7 8 tetrahydro 4 hydroxy 6 pteridinyl methyl amino benzoyl glutamic acid"
"C0023413"	"acid folinic"	"acid folinic"
"C0023413"	"citrovorum"	"citrovorum"
"C0023413"	"leucovorin (medication)"	"leucovorin medication "
"C0016410"	"2-[4-[(2-amino-4-oxo-1h-pteridin-6-yl)methylamino]benzoyl]aminopentanedioic acid"	"2 4 2 amino 4 oxo 1h pteridin 6 yl methylamino benzoyl aminopentanedioic acid"
"C0016410"	"b9, vitamin"	"b9 vitamin"
"C0016410"	"fa"	"fa"
"C0016410"	"fa - folic acid"	"fa folic acid"
"C0016410"	"folic acid"	"folic acid"
"C0016410"	"folic acid [chemical/ingredient]"	"folic acid chemical ingredient "
"C0016410"	"folic acid (substance)"	"folic acid substance "
"C0016410"	"folic acid preparation"	"folic acid preparation"
"C0016410"	"folic acid preparation (product)"	"folic acid preparation product "
"C0016410"	"folic acid preparation (substance)"	"folic acid preparation substance "
"C0016410"	"folic acid product"	"folic acid product"
"C0016410"	"l-glutamic acid, n-(4-(((2-amino-1,4-dihydro-4-oxo-6-pteridinyl)methyl)amino)benzoyl)-"	"l glutamic acid n 4 2 amino 1 4 dihydro 4 oxo 6 pteridinyl methyl amino benzoyl "
"C0016410"	"lactobacillus casei factor"	"lactobacillus casei factor"
"C0016410"	"n-(4-(((2-amino-1,4-dihydro-4-oxo-6-pteridinyl)methyl)amino)benzoyl)-l-glutamic acid"	"n 4 2 amino 1 4 dihydro 4 oxo 6 pteridinyl methyl amino benzoyl l glutamic acid"
"C0016410"	"n-[4-[[(2-amino-1,4-dihydro-4-oxo-6-pteridinyl)methyl]amino]benzoyl]-l-glutamic acid"	"n 4 2 amino 1 4 dihydro 4 oxo 6 pteridinyl methyl amino benzoyl l glutamic acid"
"C0016410"	"pteroylglutamic acid"	"pteroylglutamic acid"
"C0016410"	"pteroylglutamic acid preparation"	"pteroylglutamic acid preparation"
"C0016410"	"pteroylmonoglutamic acid"	"pteroylmonoglutamic acid"
"C0016410"	"vitamin b c"	"vitamin b c"
"C0016410"	"vitamin b9"	"vitamin b9"
"C0016410"	"vitamin b<sub>c</sub>"	"vitamin b<sub>c< sub>"
"C0016410"	"vitamin b>c<"	"vitamin b>c<"
"C0016410"	"vitamin bc"	"vitamin bc"
"C0016410"	"vitamin m"	"vitamin m"
"C0016410"	"b c vitamin"	"b c vitamin"
"C0016410"	"folic acid (medication)"	"folic acid medication "
"C0016410"	"hematinics folic acid"	"hematinics folic acid"
"C0016410"	"m vitamins"	"m vitamins"
"C0016410"	"vitamin b complex"	"vitamin b complex"
"C0022041"	"benzoic acid, 3-((((3-(acetylmethylamino)-2,4,6-triiodo-5-((methylamino)carbonyl)benzoyl)amino)acetyl)amino)-5-(((2-hydroxyethyl)amino)carbonyl)-2,4,6-triiodo-"	"benzoic acid 3 3 acetylmethylamino 2 4 6 triiodo 5 methylamino carbonyl benzoyl amino acetyl amino 5 2 hydroxyethyl amino carbonyl 2 4 6 triiodo "
"C0022041"	"ioxaglic acid"	"ioxaglic acid"
"C0022041"	"ioxaglic acid [chemical/ingredient]"	"ioxaglic acid chemical ingredient "
"C0028067"	"3-pyridinecarboxylic acid, 2-((3-(trifluoromethyl)phenyl)amino)-"	"3 pyridinecarboxylic acid 2 3 trifluoromethyl phenyl amino "
"C0028067"	"acid, niflumic"	"acid niflumic"
"C0028067"	"niflumic acid"	"niflumic acid"
"C0028067"	"niflumic acid [chemical/ingredient]"	"niflumic acid chemical ingredient "
"C1122087"	"adalimumab"	"adalimumab"
"C1122087"	"adalimumab (product)"	"adalimumab product "
"C1122087"	"adalimumab (substance)"	"adalimumab substance "
"C1122087"	"adalimumab [chemical/ingredient]"	"adalimumab chemical ingredient "
"C1122087"	"immunoglobulin g1, anti-(human tumor necrosis factor) (human monoclonal d2e7 heavy chain), disulfide with human monoclonal d2e7 light chain, dimer"	"immunoglobulin g1 anti human tumor necrosis factor human monoclonal d2e7 heavy chain disulfide with human monoclonal d2e7 light chain dimer"
"C1122087"	"adalimumab (medication)"	"adalimumab medication "
"C1122087"	"antibody d2e7"	"antibody d2e7"
"C1122087"	"tumor necrosis factor alpha blockers adalimumab"	"tumor necrosis factor alpha blockers adalimumab"
"C0050175"	"9-(2-phosphonylmethoxyethyl)adenine"	"9 2 phosphonylmethoxyethyl adenine"
"C0050175"	"9-(2-phophonylmethoxyethyl)adenine"	"9 2 phophonylmethoxyethyl adenine"
"C0050175"	"9-(2-phosphonomethoxyethyl)adenine"	"9 2 phosphonomethoxyethyl adenine"
"C0050175"	"9-pmea"	"9 pmea"
"C0050175"	"adefovir"	"adefovir"
"C0050175"	"adefovir (product)"	"adefovir product "
"C0050175"	"adefovir (substance)"	"adefovir substance "
"C0050175"	"pmea"	"pmea"
"C0050175"	"phosphonylmethoxyethyl-a"	"phosphonylmethoxyethyl a"
"C0050175"	"adefovir [chemical/ingredient]"	"adefovir chemical ingredient "
"C0014563"	"1,2-benzenediol, 4-(1-hydroxy-2-(methylamino)ethyl)-, (r)-"	"1 2 benzenediol 4 1 hydroxy 2 methylamino ethyl r "
"C0014563"	"4-(1-hydroxy-2-(methylamino)ethyl)-1,2-benzenediol"	"4 1 hydroxy 2 methylamino ethyl 1 2 benzenediol"
"C0014563"	"adrenal"	"adrenal"
"C0014563"	"adrenalin"	"adrenalin"
"C0014563"	"adrenaline"	"adrenaline"
"C0014563"	"adrenaline (product)"	"adrenaline product "
"C0014563"	"adrenaline (substance)"	"adrenaline substance "
"C0014563"	"adrenaline - chemical"	"adrenaline chemical"
"C0014563"	"adrenaline - chemical (substance)"	"adrenaline chemical substance "
"C0014563"	"adrenaline [card]"	"adrenaline card "
"C0014563"	"adrenaline [cardiovascular use]"	"adrenaline cardiovascular use "
"C0014563"	"adrenaline [cardiovascular use] (product)"	"adrenaline cardiovascular use product "
"C0014563"	"adrenaline [cardiovascular use] (substance)"	"adrenaline cardiovascular use substance "
"C0014563"	"adrenaline [resp]"	"adrenaline resp "
"C0014563"	"adrenaline [resp] (product)"	"adrenaline resp product "
"C0014563"	"adrenaline [resp] (substance)"	"adrenaline resp substance "
"C0014563"	"adrenaline preparation"	"adrenaline preparation"
"C0014563"	"adrenaline product"	"adrenaline product"
"C0014563"	"adrenaline product (product)"	"adrenaline product product "
"C0014563"	"epinephrine"	"epinephrine"
"C0014563"	"epi"	"epi"
"C0014563"	"epinephrine (substance)"	"epinephrine substance "
"C0014563"	"epinephrine (substance) [ambiguous]"	"epinephrine substance ambiguous "
"C0014563"	"epinephrine [chemical/ingredient]"	"epinephrine chemical ingredient "
"C0014563"	"epinephrine [cardiovascular use]"	"epinephrine cardiovascular use "
"C0014563"	"epinephrine [cardiovascular use] (product)"	"epinephrine cardiovascular use product "
"C0014563"	"epinephrine [resp]"	"epinephrine resp "
"C0014563"	"epinephrine [resp] (product)"	"epinephrine resp product "
"C0014563"	"epinephrine preparation"	"epinephrine preparation"
"C0014563"	"epinephrine preparation (product)"	"epinephrine preparation product "
"C0014563"	"epinephrine preparation (substance)"	"epinephrine preparation substance "
"C0014563"	"epinephrine product"	"epinephrine product"
"C0014563"	"therapeutic epinephrine"	"therapeutic epinephrine"
"C0014563"	"epinephrine (medication)"	"epinephrine medication "
"C0014563"	"sympathomimetics epinephrine"	"sympathomimetics epinephrine"
"C0014563"	"sympathomimetics epinephrine (medication)"	"sympathomimetics epinephrine medication "
"C0971637"	"agomelatine"	"agomelatine"
"C0971637"	"agomelatine (product)"	"agomelatine product "
"C0971637"	"agomelatine (substance)"	"agomelatine substance "
"C0001981"	"alcuronium"	"alcuronium"
"C0001981"	"alcuronium (product)"	"alcuronium product "
"C0001981"	"alcuronium (substance)"	"alcuronium substance "
"C0001981"	"alcuronium [chemical/ingredient]"	"alcuronium chemical ingredient "
"C0001981"	"allnortoxiferine"	"allnortoxiferine"
"C0001981"	"diallylnortoxiferine"	"diallylnortoxiferine"
"C0001981"	"toxiferine i, 4,4'-didemethyl-4,4'-di-2-propenyl-"	"toxiferine i 4 4 didemethyl 4 4 di 2 propenyl "
"C0044410"	"(5z,7e)-9,10-secocholesta-5,7,10(19)-triene-1alpha,3beta-diol"	"5z 7e 9 10 secocholesta 5 7 10 19 triene 1alpha 3beta diol"
"C0044410"	"1 alpha-hydroxycholecalciferol"	"1 alpha hydroxycholecalciferol"
"C0044410"	"1 alpha-hydroxyvitamin d3"	"1 alpha hydroxyvitamin d3"
"C0044410"	"1, hydroxy cholecalciferol"	"1 hydroxy cholecalciferol"
"C0044410"	"1, hydroxy cholecalciferol (substance)"	"1 hydroxy cholecalciferol substance "
"C0044410"	"1-hydroxycholecalciferol"	"1 hydroxycholecalciferol"
"C0044410"	"1-alpha-oxycholecalciferol"	"1 alpha oxycholecalciferol"
"C0044410"	"1alpha-hydroxycholecalciferol"	"1alpha hydroxycholecalciferol"
"C0044410"	"1alpha-ohd3"	"1alpha ohd3"
"C0044410"	"9,10-secocholesta-,7,10(19)-triene-1 alpha,3 beta-diol"	"9 10 secocholesta 7 10 19 triene 1 alpha 3 beta diol"
"C0044410"	"alfacalcidol"	"alfacalcidol"
"C0044410"	"alfacalcidol (product)"	"alfacalcidol product "
"C0044410"	"alfacalcidol (substance)"	"alfacalcidol substance "
"C0044410"	"alpha d 3"	"alpha d 3"
"C0044410"	"alpha-calcidol"	"alpha calcidol"
"C0044410"	"hydroxycholecalciferol"	"hydroxycholecalciferol"
"C0044410"	"alphacalcidol"	"alphacalcidol"
"C0002026"	"alfentanil"	"alfentanil"
"C0002026"	"alfentanil (product)"	"alfentanil product "
"C0002026"	"alfentanil (substance)"	"alfentanil substance "
"C0002026"	"alfentanil - chemical"	"alfentanil chemical"
"C0002026"	"alfentanil - chemical (substance)"	"alfentanil chemical substance "
"C0002026"	"alfentanil [chemical/ingredient]"	"alfentanil chemical ingredient "
"C0002026"	"alfentanyl"	"alfentanyl"
"C0002026"	"propanamide, n-(1-(2-(4-ethyl-4,5-dihydro-5-oxo-1h-tetrazol-1-yl)ethyl)-4-(methoxymethyl)-4-piperidinyl)-n-phenyl-"	"propanamide n 1 2 4 ethyl 4 5 dihydro 5 oxo 1h tetrazol 1 yl ethyl 4 methoxymethyl 4 piperidinyl n phenyl "
"C0041031"	"10-(2-methyl-3-dimethylaminopropyl)-phenothiazine"	"10 2 methyl 3 dimethylaminopropyl phenothiazine"
"C0041031"	"10h-phenothiazine-10-propanamine, n,n,beta-trimethyl-"	"10h phenothiazine 10 propanamine n n beta trimethyl "
"C0041031"	"alimemazine"	"alimemazine"
"C0041031"	"isobutrazine"	"isobutrazine"
"C0041031"	"methylpromazine"	"methylpromazine"
"C0041031"	"trimeprazine"	"trimeprazine"
"C0041031"	"trimeprazine (product)"	"trimeprazine product "
"C0041031"	"trimeprazine (substance)"	"trimeprazine substance "
"C0041031"	"trimeprazine [chemical/ingredient]"	"trimeprazine chemical ingredient "
"C1120110"	"(2s,4s,5s,7s)-5-amino-n-(2-carbamoyl-2-methylpropyl)-4-hydroxy-2-isopropyl-7-(4-methoxy-3-(3-methoxypropoxy)benzyl)-8-methylnonamide"	"2s 4s 5s 7s 5 amino n 2 carbamoyl 2 methylpropyl 4 hydroxy 2 isopropyl 7 4 methoxy 3 3 methoxypropoxy benzyl 8 methylnonamide"
"C1120110"	"aliskiren"	"aliskiren"
"C1120110"	"aliskiren (product)"	"aliskiren product "
"C1120110"	"aliskiren (substance)"	"aliskiren substance "
"C1120110"	"aliskiren (medication)"	"aliskiren medication "
"C1120110"	"aliskiren [chemical/ingredient]"	"aliskiren chemical ingredient "
"C0051162"	"alizapride"	"alizapride"
"C0051162"	"n-((1-allyl-2-pyrrolidinyl)methyl)-6-methoxy-1h-benzotriazole-5-carboxamide"	"n 1 allyl 2 pyrrolidinyl methyl 6 methoxy 1h benzotriazole 5 carboxamide"
"C0051162"	"n-((allyl-1-pyrrolidinyl-2)-methyl)methoxy-2-azimido-4,5-benzamide"	"n allyl 1 pyrrolidinyl 2 methyl methoxy 2 azimido 4 5 benzamide"
"C0002132"	"2,4,6(1h,3h,5h)-pyrimidinetrione , 5,5-di-2-propenyl-"	"2 4 6 1h 3h 5h pyrimidinetrione 5 5 di 2 propenyl "
"C0002132"	"5,5-diallylbarbituric acid"	"5 5 diallylbarbituric acid"
"C0002132"	"allobarbital"	"allobarbital"
"C0002132"	"allobarbital (substance)"	"allobarbital substance "
"C0002132"	"allobarbital (dialog)"	"allobarbital dialog "
"C0002132"	"allobarbital (medication)"	"allobarbital medication "
"C0002132"	"allobarbitone"	"allobarbitone"
"C0002132"	"diallyl barbituric acid"	"diallyl barbituric acid"
"C0002132"	"diallylbarbital"	"diallylbarbital"
"C0002132"	"diallylbarbituric acid"	"diallylbarbituric acid"
"C0002132"	"diallylmal"	"diallylmal"
"C0002144"	"1,5-dihydro-4h-pyrazolo[3,4-d]pryimidin-4-one"	"1 5 dihydro 4h pyrazolo 3 4 d pryimidin 4 one"
"C0002144"	"1,5-dihydro-4h-pyrazolo[3,4-d]pyrimidin-4-one"	"1 5 dihydro 4h pyrazolo 3 4 d pyrimidin 4 one"
"C0002144"	"1h-pyrazolo[3,4-d]pyrimidin-4-ol"	"1h pyrazolo 3 4 d pyrimidin 4 ol"
"C0002144"	"4'-hpp"	"4 hpp"
"C0002144"	"4-hydroxypyrazolo[3,4-d]pyrimidine"	"4 hydroxypyrazolo 3 4 d pyrimidine"
"C0002144"	"4h-pyrazolo(3,4-d)pyrimidin-4-one, 1,5-dihydro-"	"4h pyrazolo 3 4 d pyrimidin 4 one 1 5 dihydro "
"C0002144"	"allo"	"allo"
"C0002144"	"allopurinol"	"allopurinol"
"C0002144"	"allopurinol (product)"	"allopurinol product "
"C0002144"	"allopurinol (substance)"	"allopurinol substance "
"C0002144"	"allopurinol - chemical"	"allopurinol chemical"
"C0002144"	"allopurinol - chemical (substance)"	"allopurinol chemical substance "
"C0002144"	"allopurinol [chemical/ingredient]"	"allopurinol chemical ingredient "
"C0002144"	"allopurinol (medication)"	"allopurinol medication "
"C0002144"	"allopurinol sodium (as allopurinol)"	"allopurinol sodium as allopurinol "
"C0914729"	"almotriptan"	"almotriptan"
"C0914729"	"almotriptan (product)"	"almotriptan product "
"C0914729"	"almotriptan (substance)"	"almotriptan substance "
"C0914729"	"almotriptan - chemical"	"almotriptan chemical"
"C0914729"	"almotriptan - chemical (substance)"	"almotriptan chemical substance "
"C0914729"	"almotriptan product"	"almotriptan product"
"C0914729"	"almotriptan product (substance)"	"almotriptan product substance "
"C0914729"	"almotriptan (medication)"	"almotriptan medication "
"C0914729"	"almotriptan [chemical/ingredient]"	"almotriptan chemical ingredient "
"C0951387"	"alpha-pinene, pinene"	"alpha pinene pinene"
"C0002333"	"4h-(1,2,4)triazolo(4,3-a)(1,4)benzodiazepine, 8-chloro-1-methyl-6-phenyl-"	"4h 1 2 4 triazolo 4 3 a 1 4 benzodiazepine 8 chloro 1 methyl 6 phenyl "
"C0002333"	"alprazolam"	"alprazolam"
"C0002333"	"alprazolam (product)"	"alprazolam product "
"C0002333"	"alprazolam (substance)"	"alprazolam substance "
"C0002333"	"alprazolam - chemical"	"alprazolam chemical"
"C0002333"	"alprazolam - chemical (substance)"	"alprazolam chemical substance "
"C0002333"	"alprazolam [chemical/ingredient]"	"alprazolam chemical ingredient "
"C0002333"	"alprazolan"	"alprazolan"
"C0002333"	"alprazolam (medication)"	"alprazolam medication "
"C0051500"	"3-((allylthio)methyl)-6-chloro-3,4-dihydro-2h-1,2,4-benzothiadiazine-7-sulfonamide-1,1-dioxide"	"3 allylthio methyl 6 chloro 3 4 dihydro 2h 1 2 4 benzothiadiazine 7 sulfonamide 1 1 dioxide"
