"thesaurus"	"mol1"	"mol2"	"niveau"	"date_min"	"date_max"
"thesaurus012015"	"ACENOCOUMAROL"	"SULINDAC"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"TENOXICAM"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE ACETYLSALICYLIQUE"	"ANAGRELIDE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE ACETYLSALICYLIQUE"	"PROBENECIDE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE ACETYLSALICYLIQUE"	"TICLOPIDINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE FUSIDIQUE"	"ATORVASTATINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE FUSIDIQUE"	"FLUVASTATINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE FUSIDIQUE"	"PRAVASTATINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE FUSIDIQUE"	"ROSUVASTATINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE FUSIDIQUE"	"SIMVASTATINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE IOXAGLIQUE"	"METFORMINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE IOXITALAMIQUE"	"METFORMINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE MEFENAMIQUE"	"APIXABAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE MEFENAMIQUE"	"DABIGATRAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE MEFENAMIQUE"	"FLUINDIONE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE MEFENAMIQUE"	"LITHIUM"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE MEFENAMIQUE"	"RIVAROXABAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE MEFENAMIQUE"	"WARFARINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE NIFLUMIQUE"	"APIXABAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE NIFLUMIQUE"	"DABIGATRAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE NIFLUMIQUE"	"FLUINDIONE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE NIFLUMIQUE"	"LITHIUM"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE NIFLUMIQUE"	"RIVAROXABAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE NIFLUMIQUE"	"WARFARINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE TIAPROFENIQUE"	"APIXABAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE TIAPROFENIQUE"	"DABIGATRAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE TIAPROFENIQUE"	"FLUINDIONE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE TIAPROFENIQUE"	"LITHIUM"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE TIAPROFENIQUE"	"RIVAROXABAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE TIAPROFENIQUE"	"WARFARINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE VALPROIQUE"	"LAMOTRIGINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE VALPROIQUE"	"MEFLOQUINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACIDE VALPROIQUE"	"MEROPENEM"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACITRETINE"	"ACITRETINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACITRETINE"	"ALITRETINOINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACITRETINE"	"CHLORTETRACYCLINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACITRETINE"	"DEMECLOCYCLINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACITRETINE"	"DOXYCYCLINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACITRETINE"	"ISOTRETINOINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACITRETINE"	"LYMECYCLINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACITRETINE"	"METHOTREXATE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACITRETINE"	"MINOCYCLINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACITRETINE"	"OXYTETRACYCLINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACITRETINE"	"TETRACYCLINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACITRETINE"	"TRETINOINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ADALIMUMAB"	"BCG"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ADALIMUMAB"	"VIRUS DE LA VARICELLE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ADALIMUMAB"	"VIRUS DES OREILLONS"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ADALIMUMAB"	"VIRUS ROUGEOLEUX"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ADALIMUMAB"	"VIRUS RUBEOLEUX"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AGOMELATINE"	"CIPROFLOXACINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AGOMELATINE"	"FLUVOXAMINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALFUZOSINE"	"BOCEPREVIR"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALFUZOSINE"	"CLARITHROMYCINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALFUZOSINE"	"COBICISTAT"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALFUZOSINE"	"ERYTHROMYCINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALFUZOSINE"	"ITRACONAZOLE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALFUZOSINE"	"KETOCONAZOLE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALFUZOSINE"	"RITONAVIR"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALFUZOSINE"	"TELAPREVIR"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALFUZOSINE"	"TELITHROMYCINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"BENAZEPRIL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"CANDESARTAN CILEXETIL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"CAPTOPRIL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"CICLOSPORINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"CILAZAPRIL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"ENALAPRIL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"EPROSARTAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"FOSINOPRIL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"IMIDAPRIL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"IRBESARTAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"ITRACONAZOLE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"LISINOPRIL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"LOSARTAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"MOEXIPRIL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"OLMESARTAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"PERINDOPRIL TERT-BUTYLAMINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"QUINAPRIL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"QUINIDINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"RAMIPRIL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"TELMISARTAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"TRANDOLAPRIL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"VALSARTAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALISKIREN"	"ZOFENOPRIL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALITRETINOINE"	"ALITRETINOINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALITRETINOINE"	"CHLORTETRACYCLINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALITRETINOINE"	"DEMECLOCYCLINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALITRETINOINE"	"DOXYCYCLINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALITRETINOINE"	"ISOTRETINOINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALITRETINOINE"	"LYMECYCLINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALITRETINOINE"	"MINOCYCLINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALITRETINOINE"	"OXYTETRACYCLINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALITRETINOINE"	"TETRACYCLINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALITRETINOINE"	"TRETINOINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALIZAPRIDE"	"LEVODOPA"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALLOPURINOL"	"AZATHIOPRINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALLOPURINOL"	"DIDANOSINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALLOPURINOL"	"MERCAPTOPURINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALMINOPROFENE"	"APIXABAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALMINOPROFENE"	"DABIGATRAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALMINOPROFENE"	"FLUINDIONE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALMINOPROFENE"	"LITHIUM"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALMINOPROFENE"	"RIVAROXABAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALMINOPROFENE"	"WARFARINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALMOTRIPTAN"	"DIHYDROERGOTAMINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALMOTRIPTAN"	"ERGOTAMINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALMOTRIPTAN"	"IPRONIAZIDE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALMOTRIPTAN"	"METHYLERGOMETRINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALMOTRIPTAN"	"METHYSERGIDE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALMOTRIPTAN"	"MOCLOBEMIDE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALMOTRIPTAN"	"RASAGILINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALMOTRIPTAN"	"SELEGILINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ALTIZIDE"	"LITHIUM"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMANTADINE"	"CARPIPRAMINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMIODARONE"	"CICLOSPORINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMIODARONE"	"COBICISTAT"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMIODARONE"	"TELAPREVIR"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMISULPRIDE"	"ARTENIMOL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMISULPRIDE"	"CHLOROQUINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMISULPRIDE"	"CITALOPRAM"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMISULPRIDE"	"DOMPERIDONE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMISULPRIDE"	"ERYTHROMYCINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMISULPRIDE"	"ESCITALOPRAM"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMISULPRIDE"	"LEVODOPA"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMISULPRIDE"	"LEVOFLOXACINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMISULPRIDE"	"LUMEFANTRINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMISULPRIDE"	"MOXIFLOXACINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMISULPRIDE"	"PENTAMIDINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMISULPRIDE"	"PIPERAQUINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMISULPRIDE"	"SPIRAMYCINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMISULPRIDE"	"VINCAMINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMLODIPINE"	"DANTROLENE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMOXICILLINE"	"METHOTREXATE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"AMPICILLINE"	"METHOTREXATE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ANAGRELIDE"	"CLOPIDOGREL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ANAGRELIDE"	"PRASUGREL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ANAGRELIDE"	"TICAGRELOR"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ANAGRELIDE"	"TICLOPIDINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ANAKINRA"	"ETANERCEPT"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"CELECOXIB"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"DICLOFENAC"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"ETODOLAC"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"FENOPROFENE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"FLURBIPROFENE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"IBUPROFENE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"INDOMETACINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"KETOPROFENE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"MELOXICAM"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"MORNIFLUMATE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"NABUMETONE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"NAPROXENE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"NIMESULIDE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"PHENYLBUTAZONE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"PIROXICAM"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"PIROXICAM-BETADEX"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"SULINDAC"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APIXABAN"	"TENOXICAM"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APOMORPHINE"	"CARPIPRAMINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APOMORPHINE"	"ONDANSETRON"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APREPITANT"	"CARBAMAZEPINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APREPITANT"	"PHENOBARBITAL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APREPITANT"	"PHENYTOINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APREPITANT"	"PIMOZIDE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APREPITANT"	"PRIMIDONE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"APREPITANT"	"RIFAMPICINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARIPIPRAZOLE"	"LEVODOPA"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"CHLOROQUINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"CHLORPROMAZINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"CITALOPRAM"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"CYAMEMAZINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"DOMPERIDONE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"ERYTHROMYCINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"ESCITALOPRAM"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"FLUPENTIXOL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"FLUPHENAZINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"HALOPERIDOL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"LEVOFLOXACINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"LEVOMEPROMAZINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"LUMEFANTRINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"MEQUITAZINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"METHADONE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"MIZOLASTINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"MOXIFLOXACINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"PENTAMIDINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"PIMOZIDE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"PIPAMPERONE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"PIPOTIAZINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"SPIRAMYCINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"SULPIRIDE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"TIAPRIDE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"VINCAMINE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ARTENIMOL"	"ZUCLOPENTHIXOL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ATAZANAVIR"	"ATORVASTATINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ATAZANAVIR"	"ATOVAQUONE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ATAZANAVIR"	"BOCEPREVIR"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ATAZANAVIR"	"CICLOSPORINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ATAZANAVIR"	"COLCHICINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ATAZANAVIR"	"CYPROTERONE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ATAZANAVIR"	"DESOGESTREL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ATAZANAVIR"	"DIENOGEST"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ATAZANAVIR"	"DIHYDROERGOTAMINE"	"CI"	"01/01/2015"	"31/05/2015"
