"mol1"	"mol2"	"date_min"	"date_max"
"ATORVASTATINE"	"BEZAFIBRATE"	"01/01/2015"	"31/05/2015"
"ATORVASTATINE"	"CIPROFIBRATE"	"01/01/2015"	"31/05/2015"
"ATORVASTATINE"	"CRIZOTINIB"	"01/01/2015"	"31/05/2015"
"ATORVASTATINE"	"DARUNAVIR"	"01/01/2015"	"31/05/2015"
"ATORVASTATINE"	"FENOFIBRATE"	"01/01/2015"	"31/05/2015"
"ATORVASTATINE"	"FOSAMPRENAVIR"	"01/01/2015"	"31/05/2015"
"ATORVASTATINE"	"GEMFIBROZIL"	"01/01/2015"	"31/05/2015"
"ATORVASTATINE"	"INDINAVIR"	"01/01/2015"	"31/05/2015"
"ATORVASTATINE"	"LOPINAVIR"	"01/01/2015"	"31/05/2015"
"ATORVASTATINE"	"RIFAMPICINE"	"01/01/2015"	"31/05/2015"
"ATORVASTATINE"	"SAQUINAVIR"	"01/01/2015"	"31/05/2015"
"ATORVASTATINE"	"STIRIPENTOL"	"01/01/2015"	"31/05/2015"
"ATORVASTATINE"	"TIPRANAVIR"	"01/01/2015"	"31/05/2015"
"ATOVAQUONE"	"DARUNAVIR"	"01/01/2015"	"31/05/2015"
"ATOVAQUONE"	"EFAVIRENZ"	"01/01/2015"	"31/05/2015"
"ATOVAQUONE"	"FOSAMPRENAVIR"	"01/01/2015"	"31/05/2015"
"ATOVAQUONE"	"INDINAVIR"	"01/01/2015"	"31/05/2015"
"ATOVAQUONE"	"LOPINAVIR"	"01/01/2015"	"31/05/2015"
"ATOVAQUONE"	"RIFAMPICINE"	"01/01/2015"	"31/05/2015"
"ATOVAQUONE"	"RITONAVIR"	"01/01/2015"	"31/05/2015"
"ATOVAQUONE"	"SAQUINAVIR"	"01/01/2015"	"31/05/2015"
"ATOVAQUONE"	"TIPRANAVIR"	"01/01/2015"	"31/05/2015"
"AXITINIB"	"CARBAMAZEPINE"	"01/01/2015"	"31/05/2015"
"AXITINIB"	"PHENOBARBITAL"	"01/01/2015"	"31/05/2015"
"AXITINIB"	"PHENYTOINE"	"01/01/2015"	"31/05/2015"
"AXITINIB"	"PRIMIDONE"	"01/01/2015"	"31/05/2015"
"AXITINIB"	"RIFAMPICINE"	"01/01/2015"	"31/05/2015"
"AZATHIOPRINE"	"BCG"	"01/01/2015"	"31/05/2015"
"AZATHIOPRINE"	"FEBUXOSTAT"	"01/01/2015"	"31/05/2015"
"AZATHIOPRINE"	"PHENYTOINE"	"01/01/2015"	"31/05/2015"
"AZATHIOPRINE"	"RIBAVIRINE"	"01/01/2015"	"31/05/2015"
"AZATHIOPRINE"	"VIRUS DE LA VARICELLE"	"01/01/2015"	"31/05/2015"
"AZATHIOPRINE"	"VIRUS DES OREILLONS"	"01/01/2015"	"31/05/2015"
"AZATHIOPRINE"	"VIRUS ROUGEOLEUX"	"01/01/2015"	"31/05/2015"
"AZATHIOPRINE"	"VIRUS RUBEOLEUX"	"01/01/2015"	"31/05/2015"
"AZITHROMYCINE"	"BROMOCRIPTINE"	"01/01/2015"	"31/05/2015"
"AZITHROMYCINE"	"CABERGOLINE"	"01/01/2015"	"31/05/2015"
"AZITHROMYCINE"	"COLCHICINE"	"01/01/2015"	"31/05/2015"
"AZITHROMYCINE"	"DIHYDROERGOTAMINE"	"01/01/2015"	"31/05/2015"
"AZITHROMYCINE"	"ERGOTAMINE"	"01/01/2015"	"31/05/2015"
"AZITHROMYCINE"	"LISURIDE"	"01/01/2015"	"31/05/2015"
"AZITHROMYCINE"	"PERGOLIDE"	"01/01/2015"	"31/05/2015"
"BCG"	"BETAMETHASONE"	"01/01/2015"	"31/05/2015"
"BCG"	"BLEOMYCINE"	"01/01/2015"	"31/05/2015"
"BCG"	"BUDESONIDE"	"01/01/2015"	"31/05/2015"
"BCG"	"CAPECITABINE"	"01/01/2015"	"31/05/2015"
"BCG"	"CHLORAMBUCIL"	"01/01/2015"	"31/05/2015"
"BCG"	"CICLOSPORINE"	"01/01/2015"	"31/05/2015"
"BCG"	"CLADRIBINE"	"01/01/2015"	"31/05/2015"
"BCG"	"CORTIVAZOL"	"01/01/2015"	"31/05/2015"
"BCG"	"CYCLOPHOSPHAMIDE"	"01/01/2015"	"31/05/2015"
"BCG"	"CYTARABINE"	"01/01/2015"	"31/05/2015"
"BCG"	"DEXAMETHASONE"	"01/01/2015"	"31/05/2015"
"BCG"	"ESTRAMUSTINE"	"01/01/2015"	"31/05/2015"
"BCG"	"ETANERCEPT"	"01/01/2015"	"31/05/2015"
"BCG"	"ETOPOSIDE"	"01/01/2015"	"31/05/2015"
"BCG"	"EVEROLIMUS"	"01/01/2015"	"31/05/2015"
"BCG"	"FLUDARABINE"	"01/01/2015"	"31/05/2015"
"BCG"	"FLUOROURACILE"	"01/01/2015"	"31/05/2015"
