"PHA_CIP_C13"	"PHA_NOM_PA"	"PHA_ATC_L07"	"PHA_MED_COM"	"PHA_FRM_LIB"	"total"
"3400921690682"	"PERINDOPRIL"	"PERINDOPRIL"	"PERINDOPRIL EVOLUGEN"	"COMPRIME"	17
"3400921691115"	"OLANZAPINE"	"OLANZAPINE"	"OLANZAPINE BLUEFISH"	"COMPRIME"	1
"3400921691924"	"RIZATRIPTAN"	"RIZATRIPTAN"	"RIZATRIPTAN EG"	"COMPRIME"	3
"3400921692525"	"RIZATRIPTAN"	"RIZATRIPTAN"	"RIZATRIPTAN EG"	"COMPRIME"	38
"3400921693065"	"RIZATRIPTAN"	"RIZATRIPTAN"	"RIZATRIPTAN EG"	"COMPRIME"	3
"3400921693126"	"RIZATRIPTAN"	"RIZATRIPTAN"	"RIZATRIPTAN EG"	"COMPRIME"	11
"3400921694017"	"PERINDOPRIL"	"PERINDOPRIL"	"PERINDOPRIL EVOLUGEN"	"COMPRIME"	41
"3400921694994"	"ATENOLOL"	"ATENOLOL"	"ATENOLOL ZENTIVA"	"COMPRIME"	569
"3400921695137"	"ATENOLOL"	"ATENOLOL"	"ATENOLOL ZENTIVA"	"COMPRIME"	111
"3400921695656"	"RIBAVIRINE"	"RIBAVIRINE"	"RIBAVIRINE MYLAN"	"COMPRIME"	2
"3400921695717"	"RIBAVIRINE"	"RIBAVIRINE"	"RIBAVIRINE MYLAN"	"COMPRIME"	7
"3400921702903"	""	"J07AH07"	"MENINGOCOQUE C, ANTIGENES POLYSACCHARIDIQUES CONJUGUES"	"POUDRE"	5
"3400921709247"	"DONEPEZIL"	"DONEPEZIL"	"DONEPEZIL KRKA"	"COMPRIME"	5
"3400921709476"	"GONADOTROPHINE CHORIONIQUE"	"CHORIOGONADOTROPINE ALFA"	"OVITRELLE"	"SOLUTION"	1687
"3400921716801"	"PEGINTERFERON ALFA-2A"	"PEGINTERFERON ALFA-2A"	"PEGASYS"	"SOLUTION"	7
"3400921716979"	"PEGINTERFERON ALFA-2A"	"PEGINTERFERON ALFA-2A"	"PEGASYS"	""	19
"3400921717341"	"PEGINTERFERON ALFA-2A"	"PEGINTERFERON ALFA-2A"	"PEGASYS"	"SOLUTION"	4
"3400921718171"	"PEGINTERFERON ALFA-2A"	"PEGINTERFERON ALFA-2A"	"PEGASYS"	"SOLUTION"	101
"3400921718812"	"CANDESARTAN"	"CANDESARTAN"	"CANDESARTAN ACTAVIS"	"COMPRIME"	83
"3400921719123"	"CANDESARTAN"	"CANDESARTAN"	"CANDESARTAN ACTAVIS"	"COMPRIME"	40
"3400921719642"	"CANDESARTAN"	"CANDESARTAN"	"CANDESARTAN ACTAVIS"	"COMPRIME"	155
"3400921719932"	"CANDESARTAN"	"CANDESARTAN"	"CANDESARTAN ACTAVIS"	"COMPRIME"	50
"3400921720471"	"CANDESARTAN"	"CANDESARTAN"	"CANDESARTAN ACTAVIS"	"COMPRIME"	131
"3400921720822"	"CANDESARTAN"	"CANDESARTAN"	"CANDESARTAN ACTAVIS"	"COMPRIME"	52
"3400921721362"	"CANDESARTAN"	"CANDESARTAN"	"CANDESARTAN ACTAVIS"	"COMPRIME"	20
"3400921722192"	"LISINOPRIL + HYDROCHLOROTHIAZIDE"	"LISINOPRIL ET DIURETIQUES"	"LISINOPRIL/HYDROCHLOROTHIAZIDE ZYDUS"	"COMPRIME"	7
"3400921722253"	"LISINOPRIL + HYDROCHLOROTHIAZIDE"	"LISINOPRIL ET DIURETIQUES"	"LISINOPRIL/HYDROCHLOROTHIAZIDE ZYDUS"	"COMPRIME"	1
"3400921722314"	"LATANOPROST"	"LATANOPROST"	"LATANOPROST BIOGARAN"	"COLLYRE"	1583
"3400921723953"	"CANDESARTAN + HYDROCHLOROTHIAZIDE"	"CANDESARTAN ET DIURETIQUES"	"CANDESARTAN/HYDROCHLOROTHIAZIDE ACTAVIS"	"COMPRIME"	75
"3400921724325"	"CANDESARTAN + HYDROCHLOROTHIAZIDE"	"CANDESARTAN ET DIURETIQUES"	"CANDESARTAN/HYDROCHLOROTHIAZIDE ACTAVIS"	"COMPRIME"	35
"3400921724783"	"CANDESARTAN + HYDROCHLOROTHIAZIDE"	"CANDESARTAN ET DIURETIQUES"	"CANDESARTAN/HYDROCHLOROTHIAZIDE ACTAVIS"	"COMPRIME"	208
"3400921725094"	"CANDESARTAN + HYDROCHLOROTHIAZIDE"	"CANDESARTAN ET DIURETIQUES"	"CANDESARTAN/HYDROCHLOROTHIAZIDE ACTAVIS"	"COMPRIME"	79
"3400921725384"	"DENOSUMAB"	"DENOSUMAB"	"XGEVA"	"SOLUTION"	1130
"3400921728118"	"CANDESARTAN + HYDROCHLOROTHIAZIDE"	"CANDESARTAN ET DIURETIQUES"	"CANDESARTAN/HYDROCHLOROTHIAZIDE ARROW"	""	195
"3400921728408"	"CANDESARTAN + HYDROCHLOROTHIAZIDE"	"CANDESARTAN ET DIURETIQUES"	"CANDESARTAN/HYDROCHLOROTHIAZIDE ARROW"	""	27
"3400921729177"	"CANDESARTAN + HYDROCHLOROTHIAZIDE"	"CANDESARTAN ET DIURETIQUES"	"CANDESARTAN/HYDROCHLOROTHIAZIDE ARROW"	""	319
"3400921729696"	"CANDESARTAN + HYDROCHLOROTHIAZIDE"	"CANDESARTAN ET DIURETIQUES"	"CANDESARTAN/HYDROCHLOROTHIAZIDE ARROW"	""	77
"3400921738681"	"CANDESARTAN"	"CANDESARTAN"	"CANDESARTAN BIOGARAN"	"COMPRIME"	389
"3400921739404"	"CANDESARTAN"	"CANDESARTAN"	"CANDESARTAN ZYDUS"	"COMPRIME"	2
"3400921740233"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE BGR"	"COMPRIME"	7068
"3400921740813"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE BGR"	"COMPRIME"	3261
"3400921741292"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE BGR"	"COMPRIME"	3290
"3400921741704"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE BGR"	"COMPRIME"	1350
"3400921742183"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE BGR"	"COMPRIME"	3106
"3400921742763"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE BGR"	"COMPRIME"	1055
"3400921743364"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE BGR"	"COMPRIME"	1330
"3400921743883"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE BGR"	"COMPRIME"	347
"3400921748857"	"DESLORATADINE"	"DESLORATADINE"	"DESLORATADINE ZENTIVA"	"COMPRIME"	1314
"3400921749229"	"DESLORATADINE"	"DESLORATADINE"	"DESLORATADINE ZENTIVA"	"COMPRIME"	6375
"3400921749748"	"ABIRATERONE"	"ABIRATERONE"	"ZYTIGA"	"COMPRIME"	287
"3400921751987"	"ARTENIMOL ET PIPERAQUINE"	"ARTENIMOL ET PIPERAQUINE"	"EURARTESIM"	"COMPRIME"	3
"3400921752649"	"ZOLEDRONIQUE ACIDE"	"ZOLEDRONIQUE ACIDE"	"ZOMETA"	"SOLUTION"	439
"3400921753820"	"DESLORATADINE"	"DESLORATADINE"	"DESLORATADINE TEVA SANTE"	"COMPRIME"	1220
"3400921754131"	"DESLORATADINE"	"DESLORATADINE"	"DESLORATADINE TEVA SANTE"	"COMPRIME"	5312
"3400921756203"	"DESLORATADINE"	"DESLORATADINE"	"DESLORATADINE GNR"	"COMPRIME"	695
"3400921756661"	"DESLORATADINE"	"DESLORATADINE"	"DESLORATADINE GNR"	""	4498
"3400921758733"	"CLOPIDOGREL"	"CLOPIDOGREL"	"CLOPIDOGREL ZYDUS FRANCE"	"COMPRIME"	984
"3400921760453"	"DESLORATADINE"	"DESLORATADINE"	"DESLORATADINE GNR"	"SOLUTION"	1115
"3400921761405"	"DESLORATADINE"	"DESLORATADINE"	"DESLORATADINE EG"	"SOLUTION"	963
"3400921762693"	"DESLORATADINE"	"DESLORATADINE"	"DESLORATADINE ZENTIVA"	"SOLUTION"	1599
"3400921763645"	"DESLORATADINE"	"DESLORATADINE"	"DESLORATADINE ARROW"	"SOLUTION"	1309
"3400921763706"	"RISEDRONIQUE ACIDE"	"RISEDRONIQUE ACIDE"	"RISEDRONATE SANDOZ"	"COMPRIME"	100
"3400921763935"	"RISEDRONIQUE ACIDE"	"RISEDRONIQUE ACIDE"	"RISEDRONATE SANDOZ"	"COMPRIME"	92
"3400921764246"	"OXOMEMAZINE"	"OXOMEMAZINE"	"OXOMEMAZINE ZENTIVA LAB"	"SOLUTION"	681
"3400921765717"	"BENAZEPRIL"	"BENAZEPRIL"	"BENAZEPRIL ARROW"	"COMPRIME"	14
"3400921766196"	"BENAZEPRIL"	"BENAZEPRIL"	"BENAZEPRIL ARROW"	"COMPRIME"	3
"3400921767728"	"BENAZEPRIL"	"BENAZEPRIL"	"BENAZEPRIL ARROW"	"COMPRIME"	12
"3400921768268"	"BENAZEPRIL"	"BENAZEPRIL"	"BENAZEPRIL ARROW"	"COMPRIME"	8
"3400921769678"	"BENAZEPRIL + HYDROCHLOROTHIAZIDE"	"BENAZEPRIL ET DIURETIQUES"	"BENAZEPRIL/HYDROCHLOROTHIAZIDE ARROW"	"COMPRIME"	11
"3400921770278"	"BENAZEPRIL + HYDROCHLOROTHIAZIDE"	"BENAZEPRIL ET DIURETIQUES"	"BENAZEPRIL/HYDROCHLOROTHIAZIDE ARROW"	"COMPRIME"	5
"3400921777024"	"RILUZOLE"	"RILUZOLE"	"RILUZOLE SANDOZ"	"COMPRIME"	20
"3400921782165"	"IRBESARTAN + HYDROCHLOROTHIAZIDE"	"IRBESARTAN ET DIURETIQUES"	"IRBESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA"	"COMPRIME"	1707
"3400921782455"	"IRBESARTAN + HYDROCHLOROTHIAZIDE"	"IRBESARTAN ET DIURETIQUES"	"IRBESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA"	"COMPRIME"	654
"3400921782745"	"IRBESARTAN + HYDROCHLOROTHIAZIDE"	"IRBESARTAN ET DIURETIQUES"	"IRBESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA"	"COMPRIME"	2571
"3400921783056"	"IRBESARTAN + HYDROCHLOROTHIAZIDE"	"IRBESARTAN ET DIURETIQUES"	"IRBESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA"	"COMPRIME"	973
"3400921783285"	"IRBESARTAN + HYDROCHLOROTHIAZIDE"	"IRBESARTAN ET DIURETIQUES"	"IRBESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA"	"COMPRIME"	2219
"3400921783575"	"IRBESARTAN + HYDROCHLOROTHIAZIDE"	"IRBESARTAN ET DIURETIQUES"	"IRBESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA"	"COMPRIME"	720
"3400921783926"	"IRBESARTAN + HYDROCHLOROTHIAZIDE"	"IRBESARTAN ET DIURETIQUES"	"IRBESARTAN/HYDROCHLOROTHIAZIDE CRISTERS"	"COMPRIME"	17
"3400921784237"	"IRBESARTAN + HYDROCHLOROTHIAZIDE"	"IRBESARTAN ET DIURETIQUES"	"IRBESARTAN/HYDROCHLOROTHIAZIDE CRISTERS"	"COMPRIME"	13
"3400921784695"	"IRBESARTAN + HYDROCHLOROTHIAZIDE"	"IRBESARTAN ET DIURETIQUES"	"IRBESARTAN/HYDROCHLOROTHIAZIDE CRISTERS"	"COMPRIME"	42
"3400921784985"	"IRBESARTAN + HYDROCHLOROTHIAZIDE"	"IRBESARTAN ET DIURETIQUES"	"IRBESARTAN/HYDROCHLOROTHIAZIDE CRISTERS"	"COMPRIME"	26
"3400921785296"	"IRBESARTAN + HYDROCHLOROTHIAZIDE"	"IRBESARTAN ET DIURETIQUES"	"IRBESARTAN/HYDROCHLOROTHIAZIDE CRISTERS"	"COMPRIME"	39
"3400921785586"	"IRBESARTAN + HYDROCHLOROTHIAZIDE"	"IRBESARTAN ET DIURETIQUES"	"IRBESARTAN/HYDROCHLOROTHIAZIDE CRISTERS"	"COMPRIME"	13
"3400921787719"	"ASSOCIATION D'ACIDES AMINES, GLUCOSE, LIPIDES ET ELECTROLYTES"	"ASSOCIATIONS"	"SMOFKABIVEN E"	"EMULSION"	4
"3400921789089"	"MONTELUKAST"	"MONTELUKAST"	"MONTELUKAST ALTER"	"COMPRIME"	72
"3400921790030"	"ZOLMITRIPTAN"	"ZOLMITRIPTAN"	"ZOLMITRIPTAN EG"	"COMPRIME"	5
"3400921790269"	"ZOLMITRIPTAN"	"ZOLMITRIPTAN"	"ZOLMITRIPTAN EG"	"COMPRIME"	24
"3400921790559"	"LANSOPRAZOLE"	"LANSOPRAZOLE"	"LANSOPRAZOLE ACTAVIS"	""	13
"3400921790788"	"ZOLMITRIPTAN"	"ZOLMITRIPTAN"	"ZOLMITRIPTAN EG"	"COMPRIME"	26
"3400921790900"	"ZOLMITRIPTAN"	"ZOLMITRIPTAN"	"ZOLMITRIPTAN EG"	"COMPRIME"	140
"3400921791679"	"MYCOPHENOLIQUE ACIDE"	"MYCOPHENOLIQUE ACIDE"	"MYCOPHENOLATE MOFETIL RANBAXY"	""	6
"3400921792102"	"EXEMESTANE"	"EXEMESTANE"	"EXEMESTANE ZENTIVA"	"COMPRIME"	30
"3400921793390"	"RABEPRAZOLE"	"RABEPRAZOLE"	"RABEPRAZOLE EG"	""	1
"3400921795004"	"MONTELUKAST"	"MONTELUKAST"	"MONTELUKAST ARROW"	"COMPRIME"	1255
"3400921796063"	"NICOTINE"	"NICOTINE"	"NICOTINELL FRUIT EXOTIQUE"	"GOMME"	1
"3400921801477"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE MYLAN PHARMA"	""	2598
"3400921801996"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE MYLAN PHARMA"	""	927
"3400921804201"	"BISMUTH POTASSIQUE, TETRACYCLINE ET METRONIDAZOLE"	"BISMUTH POTASSIQUE, TETRACYCLINE ET METRONIDAZOLE"	"PYLERA"	"GELULE"	502
"3400921804720"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE MYLAN PHARMA"	"COMPRIME"	1635
"3400921805260"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE MYLAN PHARMA"	""	376
"3400921806441"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE MYLAN PHARMA"	""	1621
"3400921806960"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE MYLAN PHARMA"	""	420
"3400921809114"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE MYLAN PHARMA"	""	642
"3400921809572"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE MYLAN PHARMA"	""	85
"3400921809633"	"TIMOLOL + DORZOLAMIDE"	"TIMOLOL EN ASSOCIATION"	"DORZOLAMIDE/TIMOLOL ZENTIVA"	"COLLYRE"	88
"3400921810813"	"LOSARTAN + HYDROCHLOROTHIAZIDE"	"LOSARTAN ET DIURETIQUES"	"LOSARTAN/HYDROCHLOROTHIAZIDE KRKA"	"COMPRIME"	2
"3400921811414"	"DORZOLAMIDE"	"DORZOLAMIDE"	"DORZOLAMIDE CHAUVIN"	"COLLYRE"	1
"3400921811704"	"AZITHROMYCINE"	"AZITHROMYCINE"	"AZITHROMYCINE TEVA"	"COMPRIME"	958
"3400921815085"	"NARATRIPTAN"	"NARATRIPTAN"	"NARATRIPTAN ZENTIVA"	"COMPRIME"	9
"3400921815146"	"NARATRIPTAN"	"NARATRIPTAN"	"NARATRIPTAN ZENTIVA"	"COMPRIME"	78
"3400921815894"	"LATANOPROST"	"LATANOPROST"	"LATANOPROST BIOGARAN"	"COLLYRE"	722
"3400921816037"	"LATANOPROST"	"LATANOPROST"	"LATANOPROST ACTAVIS"	"COLLYRE"	2
"3400921818048"	"IRBESARTAN + HYDROCHLOROTHIAZIDE"	"IRBESARTAN ET DIURETIQUES"	"IRBESARTAN/HYDROCHLOROTHIAZIDE SANDOZ"	"COMPRIME"	391
"3400921818796"	"IRBESARTAN + HYDROCHLOROTHIAZIDE"	"IRBESARTAN ET DIURETIQUES"	"IRBESARTAN/HYDROCHLOROTHIAZIDE SANDOZ"	"COMPRIME"	179
"3400921824131"	"PRAVASTATINE"	"PRAVASTATINE"	"PRAVASTATINE SANDOZ"	"COMPRIME"	968
"3400921824360"	"PRAVASTATINE"	"PRAVASTATINE"	"PRAVASTATINE SANDOZ"	"COMPRIME"	325
"3400921824889"	"DONEPEZIL"	"DONEPEZIL"	"DONEPEZIL PFIZER"	"COMPRIME"	16
"3400921825190"	"DONEPEZIL"	"DONEPEZIL"	"DONEPEZIL PFIZER"	"COMPRIME"	120
"3400921832174"	"VALSARTAN + HYDROCHLOROTHIAZIDE"	"VALSARTAN ET DIURETIQUES"	"VALSARTAN/HYDROCHLOROTHIAZIDE ARROW"	""	141
"3400921832464"	"VALSARTAN + HYDROCHLOROTHIAZIDE"	"VALSARTAN ET DIURETIQUES"	"VALSARTAN/HYDROCHLOROTHIAZIDE ARROW"	""	35
"3400921832815"	"VALSARTAN + HYDROCHLOROTHIAZIDE"	"VALSARTAN ET DIURETIQUES"	"VALSARTAN/HYDROCHLOROTHIAZIDE ARROW"	"COMPRIME"	251
"3400921833065"	"VALSARTAN + HYDROCHLOROTHIAZIDE"	"VALSARTAN ET DIURETIQUES"	"VALSARTAN/HYDROCHLOROTHIAZIDE ARROW"	"COMPRIME"	78
"3400921833355"	"VALSARTAN + HYDROCHLOROTHIAZIDE"	"VALSARTAN ET DIURETIQUES"	"VALSARTAN/HYDROCHLOROTHIAZIDE ARROW"	"COMPRIME"	204
"3400921833584"	"VALSARTAN + HYDROCHLOROTHIAZIDE"	"VALSARTAN ET DIURETIQUES"	"VALSARTAN/HYDROCHLOROTHIAZIDE ARROW"	""	56
"3400921836547"	"RABEPRAZOLE"	"RABEPRAZOLE"	"RABEPRAZOLE ZENTIVA"	"COMPRIME"	106
"3400921836776"	"RABEPRAZOLE"	"RABEPRAZOLE"	"RABEPRAZOLE ZENTIVA"	"COMPRIME"	1563
"3400921837896"	"RABEPRAZOLE"	"RABEPRAZOLE"	"RABEPRAZOLE ZENTIVA"	"COMPRIME"	168
"3400921838329"	"RABEPRAZOLE"	"RABEPRAZOLE"	"RABEPRAZOLE ZENTIVA"	"COMPRIME"	2532
"3400921839449"	"LATANOPROST"	"LATANOPROST"	"LATANOPROST RANBAXY"	"COLLYRE"	53
"3400921839500"	"LATANOPROST"	"LATANOPROST"	"LATANOPROST RANBAXY"	"COLLYRE"	21
"3400921839968"	"CANDESARTAN"	"CANDESARTAN"	"CANDESARTAN ZYDUS"	"COMPRIME"	139
