code	termino	synonyme	"synonyme"
DB00071	drugbank	Insulin Pork	"insulin pork"
DB00072	drugbank	Trastuzumab	"trastuzumab"
DB00073	drugbank	Rituximab	"rituximab"
DB00074	drugbank	Basiliximab	"basiliximab"
DB00075	drugbank	Muromonab	"muromonab"
DB00076	drugbank	Digoxin Immune Fab (Ovine)	"digoxin immune fab ovine "
DB00078	drugbank	Ibritumomab tiuxetan	"ibritumomab tiuxetan"
DB00080	drugbank	Daptomycin	"daptomycin"
DB00081	drugbank	Tositumomab	"tositumomab"
DB00082	drugbank	Pegvisomant	"pegvisomant"
DB00083	drugbank	Botulinum Toxin Type A	"botulinum toxin type a"
DB00085	drugbank	Pancrelipase	"pancrelipase"
DB00086	drugbank	Streptokinase	"streptokinase"
DB00087	drugbank	Alemtuzumab	"alemtuzumab"
DB00088	drugbank	Alglucerase	"alglucerase"
DB00089	drugbank	Capromab	"capromab"
DB00090	drugbank	Laronidase	"laronidase"
DB00091	drugbank	Cyclosporine	"cyclosporine"
DB00092	drugbank	Alefacept	"alefacept"
DB00093	drugbank	Felypressin	"felypressin"
DB00094	drugbank	Urofollitropin	"urofollitropin"
DB00095	drugbank	Efalizumab	"efalizumab"
DB00096	drugbank	Serum albumin	"serum albumin"
DB00097	drugbank	Chorionic Gonadotropin (Recombinant)	"chorionic gonadotropin recombinant "
DB00098	drugbank	Anti-thymocyte Globulin (Rabbit)	"anti thymocyte globulin rabbit "
DB00099	drugbank	Filgrastim	"filgrastim"
DB00100	drugbank	Coagulation Factor IX	"coagulation factor ix"
DB00102	drugbank	Becaplermin	"becaplermin"
DB00103	drugbank	Agalsidase beta	"agalsidase beta"
DB00104	drugbank	Octreotide	"octreotide"
DB00105	drugbank	Interferon Alfa-2b, Recombinant	"interferon alfa 2b recombinant"
DB00106	drugbank	Abarelix	"abarelix"
DB00107	drugbank	Oxytocin	"oxytocin"
DB00108	drugbank	Natalizumab	"natalizumab"
DB00109	drugbank	Enfuvirtide	"enfuvirtide"
DB00110	drugbank	Palivizumab	"palivizumab"
DB00111	drugbank	Daclizumab	"daclizumab"
DB00112	drugbank	Bevacizumab	"bevacizumab"
DB00113	drugbank	Arcitumomab	"arcitumomab"
DB00114	drugbank	Pyridoxal Phosphate	"pyridoxal phosphate"
DB00115	drugbank	Cyanocobalamin	"cyanocobalamin"
DB00116	drugbank	Tetrahydrofolic acid	"tetrahydrofolic acid"
DB00117	drugbank	L-Histidine	"l histidine"
DB00118	drugbank	S-Adenosylmethionine	"s adenosylmethionine"
DB00119	drugbank	Pyruvic acid	"pyruvic acid"
DB00120	drugbank	L-Phenylalanine	"l phenylalanine"
DB00121	drugbank	Biotin	"biotin"
DB00122	drugbank	Choline	"choline"
DB00123	drugbank	L-Lysine	"l lysine"
DB00125	drugbank	L-Arginine	"l arginine"
DB00126	drugbank	Vitamin C	"vitamin c"
DB00127	drugbank	Spermine	"spermine"
DB00128	drugbank	L-Aspartic Acid	"l aspartic acid"
DB00129	drugbank	L-Ornithine	"l ornithine"
DB00130	drugbank	L-Glutamine	"l glutamine"
DB00131	drugbank	Adenosine monophosphate	"adenosine monophosphate"
DB00132	drugbank	Alpha-Linolenic Acid	"alpha linolenic acid"
DB00133	drugbank	L-Serine	"l serine"
DB00134	drugbank	L-Methionine	"l methionine"
DB00135	drugbank	L-Tyrosine	"l tyrosine"
DB00136	drugbank	Calcitriol	"calcitriol"
DB00137	drugbank	Xanthophyll	"xanthophyll"
DB00138	drugbank	L-Cystine	"l cystine"
DB00139	drugbank	Succinic acid	"succinic acid"
DB00140	drugbank	Riboflavin	"riboflavin"
DB00141	drugbank	N-Acetyl-D-glucosamine	"n acetyl d glucosamine"
DB00142	drugbank	L-Glutamic Acid	"l glutamic acid"
DB00143	drugbank	Glutathione	"glutathione"
DB00144	drugbank	Phosphatidyl serine	"phosphatidyl serine"
DB00145	drugbank	Glycine	"glycine"
DB00146	drugbank	Calcidiol	"calcidiol"
DB00147	drugbank	Pyridoxal	"pyridoxal"
DB00148	drugbank	Creatine	"creatine"
DB00149	drugbank	L-Leucine	"l leucine"
DB00150	drugbank	L-Tryptophan	"l tryptophan"
DB00151	drugbank	L-Cysteine	"l cysteine"
DB00152	drugbank	Thiamine	"thiamine"
DB00153	drugbank	Ergocalciferol	"ergocalciferol"
DB00154	drugbank	Dihomo-gamma-linolenic acid	"dihomo gamma linolenic acid"
DB00155	drugbank	L-Citrulline	"l citrulline"
DB00156	drugbank	L-Threonine	"l threonine"
DB00157	drugbank	NADH	"nadh"
DB00158	drugbank	Folic Acid	"folic acid"
DB00159	drugbank	Icosapent	"icosapent"
DB00160	drugbank	L-Alanine	"l alanine"
DB00161	drugbank	L-Valine	"l valine"
DB00162	drugbank	Vitamin A	"vitamin a"
DB00163	drugbank	Vitamin E	"vitamin e"
DB00165	drugbank	Pyridoxine	"pyridoxine"
DB00166	drugbank	Lipoic Acid	"lipoic acid"
DB00167	drugbank	L-Isoleucine	"l isoleucine"
DB00168	drugbank	Aspartame	"aspartame"
DB00169	drugbank	Cholecalciferol	"cholecalciferol"
DB00170	drugbank	Menadione	"menadione"
DB00171	drugbank	Adenosine triphosphate	"adenosine triphosphate"
DB00172	drugbank	L-Proline	"l proline"
DB00173	drugbank	Adenine	"adenine"
DB00174	drugbank	L-Asparagine	"l asparagine"
DB00175	drugbank	Pravastatin	"pravastatin"
DB00176	drugbank	Fluvoxamine	"fluvoxamine"
DB00177	drugbank	Valsartan	"valsartan"
DB00178	drugbank	Ramipril	"ramipril"
DB00179	drugbank	Masoprocol	"masoprocol"
DB00180	drugbank	Flunisolide	"flunisolide"
DB00181	drugbank	Baclofen	"baclofen"
DB00182	drugbank	Amphetamine	"amphetamine"
DB00183	drugbank	Pentagastrin	"pentagastrin"
DB00184	drugbank	Nicotine	"nicotine"
DB00185	drugbank	Cevimeline	"cevimeline"
DB00186	drugbank	Lorazepam	"lorazepam"
DB00187	drugbank	Esmolol	"esmolol"
DB00188	drugbank	Bortezomib	"bortezomib"
DB00189	drugbank	Ethchlorvynol	"ethchlorvynol"
DB00190	drugbank	Carbidopa	"carbidopa"
DB00191	drugbank	Phentermine	"phentermine"
DB00192	drugbank	Indecainide	"indecainide"
DB00193	drugbank	Tramadol	"tramadol"
DB00194	drugbank	Vidarabine	"vidarabine"
DB00195	drugbank	Betaxolol	"betaxolol"
DB00196	drugbank	Fluconazole	"fluconazole"
DB00197	drugbank	Troglitazone	"troglitazone"
DB00198	drugbank	Oseltamivir	"oseltamivir"
DB00199	drugbank	Erythromycin	"erythromycin"
DB00200	drugbank	Hydroxocobalamin	"hydroxocobalamin"
DB00201	drugbank	Caffeine	"caffeine"
DB00202	drugbank	Succinylcholine	"succinylcholine"
DB00203	drugbank	Sildenafil	"sildenafil"
DB00204	drugbank	Dofetilide	"dofetilide"
DB00205	drugbank	Pyrimethamine	"pyrimethamine"
DB00206	drugbank	Reserpine	"reserpine"
DB00207	drugbank	Azithromycin	"azithromycin"
DB00208	drugbank	Ticlopidine	"ticlopidine"
DB00209	drugbank	Trospium	"trospium"
DB00210	drugbank	Adapalene	"adapalene"
DB00211	drugbank	Midodrine	"midodrine"
DB00212	drugbank	Remikiren	"remikiren"
DB00213	drugbank	Pantoprazole	"pantoprazole"
DB00214	drugbank	Torasemide	"torasemide"
DB00215	drugbank	Citalopram	"citalopram"
DB00216	drugbank	Eletriptan	"eletriptan"
DB00217	drugbank	Bethanidine	"bethanidine"
DB00218	drugbank	Moxifloxacin	"moxifloxacin"
DB00219	drugbank	Oxyphenonium	"oxyphenonium"
DB00220	drugbank	Nelfinavir	"nelfinavir"
DB00221	drugbank	Isoetarine	"isoetarine"
DB00222	drugbank	Glimepiride	"glimepiride"
DB00223	drugbank	Diflorasone	"diflorasone"
DB00224	drugbank	Indinavir	"indinavir"
DB00225	drugbank	Gadodiamide	"gadodiamide"
DB00226	drugbank	Guanadrel	"guanadrel"
DB00227	drugbank	Lovastatin	"lovastatin"
DB00228	drugbank	Enflurane	"enflurane"
DB00229	drugbank	Cefotiam	"cefotiam"
DB00230	drugbank	Pregabalin	"pregabalin"
DB00231	drugbank	Temazepam	"temazepam"
DB00232	drugbank	Methyclothiazide	"methyclothiazide"
DB00233	drugbank	Aminosalicylic Acid	"aminosalicylic acid"
DB00234	drugbank	Reboxetine	"reboxetine"
DB00235	drugbank	Milrinone	"milrinone"
DB00236	drugbank	Pipobroman	"pipobroman"
DB00237	drugbank	Butabarbital	"butabarbital"
DB00238	drugbank	Nevirapine	"nevirapine"
DB00239	drugbank	Oxiconazole	"oxiconazole"
DB00240	drugbank	Alclometasone	"alclometasone"
DB00241	drugbank	Butalbital	"butalbital"
DB00242	drugbank	Cladribine	"cladribine"
DB00243	drugbank	Ranolazine	"ranolazine"
DB00244	drugbank	Mesalazine	"mesalazine"
DB00245	drugbank	Benzatropine	"benzatropine"
DB00246	drugbank	Ziprasidone	"ziprasidone"
DB00247	drugbank	Methysergide	"methysergide"
DB00248	drugbank	Cabergoline	"cabergoline"
DB00249	drugbank	Idoxuridine	"idoxuridine"
DB00250	drugbank	Dapsone	"dapsone"
DB00251	drugbank	Terconazole	"terconazole"
DB00252	drugbank	Phenytoin	"phenytoin"
DB00253	drugbank	Medrysone	"medrysone"
DB00254	drugbank	Doxycycline	"doxycycline"
DB00255	drugbank	Diethylstilbestrol	"diethylstilbestrol"
DB00256	drugbank	Lymecycline	"lymecycline"
DB00257	drugbank	Clotrimazole	"clotrimazole"
DB00258	drugbank	Calcium Acetate	"calcium acetate"
DB00259	drugbank	Sulfanilamide	"sulfanilamide"
DB00260	drugbank	Cycloserine	"cycloserine"
DB00261	drugbank	Anagrelide	"anagrelide"
DB00262	drugbank	Carmustine	"carmustine"
DB00263	drugbank	Sulfisoxazole	"sulfisoxazole"
DB00264	drugbank	Metoprolol	"metoprolol"
DB00265	drugbank	Crotamiton	"crotamiton"
DB00266	drugbank	Dicoumarol	"dicoumarol"
DB00267	drugbank	Cefmenoxime	"cefmenoxime"
DB00268	drugbank	Ropinirole	"ropinirole"
DB00269	drugbank	Chlorotrianisene	"chlorotrianisene"
DB00270	drugbank	Isradipine	"isradipine"
DB00271	drugbank	Diatrizoate	"diatrizoate"
DB00272	drugbank	Betazole	"betazole"
DB00273	drugbank	Topiramate	"topiramate"
DB00274	drugbank	Cefmetazole	"cefmetazole"
DB00275	drugbank	Olmesartan	"olmesartan"
DB00276	drugbank	Amsacrine	"amsacrine"
DB00277	drugbank	Theophylline	"theophylline"
DB00278	drugbank	Argatroban	"argatroban"
DB00279	drugbank	Liothyronine	"liothyronine"
DB00280	drugbank	Disopyramide	"disopyramide"
DB00281	drugbank	Lidocaine	"lidocaine"
DB00282	drugbank	Pamidronate	"pamidronate"
DB00283	drugbank	Clemastine	"clemastine"
DB00284	drugbank	Acarbose	"acarbose"
DB00285	drugbank	Venlafaxine	"venlafaxine"
DB00286	drugbank	Conjugated Estrogens	"conjugated estrogens"
DB00287	drugbank	Travoprost	"travoprost"
DB00288	drugbank	Amcinonide	"amcinonide"
DB00289	drugbank	Atomoxetine	"atomoxetine"
DB00290	drugbank	Bleomycin	"bleomycin"
DB00291	drugbank	Chlorambucil	"chlorambucil"
DB00292	drugbank	Etomidate	"etomidate"
DB00293	drugbank	Raltitrexed	"raltitrexed"
DB00294	drugbank	Etonogestrel	"etonogestrel"
DB00295	drugbank	Morphine	"morphine"
DB00296	drugbank	Ropivacaine	"ropivacaine"
DB00297	drugbank	Bupivacaine	"bupivacaine"
DB00298	drugbank	Dapiprazole	"dapiprazole"
DB00299	drugbank	Penciclovir	"penciclovir"
DB00300	drugbank	Tenofovir	"tenofovir"
DB00301	drugbank	Flucloxacillin	"flucloxacillin"
DB00302	drugbank	Tranexamic Acid	"tranexamic acid"
DB00303	drugbank	Ertapenem	"ertapenem"
DB00304	drugbank	Desogestrel	"desogestrel"
DB00305	drugbank	Mitomycin	"mitomycin"
DB00306	drugbank	Talbutal	"talbutal"
DB00307	drugbank	Bexarotene	"bexarotene"
DB00308	drugbank	Ibutilide	"ibutilide"
DB00309	drugbank	Vindesine	"vindesine"
DB00310	drugbank	Chlorthalidone	"chlorthalidone"
DB00311	drugbank	Ethoxzolamide	"ethoxzolamide"
DB00312	drugbank	Pentobarbital	"pentobarbital"
DB00313	drugbank	Valproic Acid	"valproic acid"
DB00314	drugbank	Capreomycin	"capreomycin"
DB00315	drugbank	Zolmitriptan	"zolmitriptan"
DB00316	drugbank	Acetaminophen	"acetaminophen"
DB00317	drugbank	Gefitinib	"gefitinib"
DB00318	drugbank	Codeine	"codeine"
DB00319	drugbank	Piperacillin	"piperacillin"
DB00320	drugbank	Dihydroergotamine	"dihydroergotamine"
DB00321	drugbank	Amitriptyline	"amitriptyline"
DB00322	drugbank	Floxuridine	"floxuridine"
DB00323	drugbank	Tolcapone	"tolcapone"
DB00324	drugbank	Fluorometholone	"fluorometholone"
DB00325	drugbank	Nitroprusside	"nitroprusside"
DB00326	drugbank	Calcium Gluceptate	"calcium gluceptate"
DB00327	drugbank	Hydromorphone	"hydromorphone"
DB00328	drugbank	Indomethacin	"indomethacin"
DB00330	drugbank	Ethambutol	"ethambutol"
DB00331	drugbank	Metformin	"metformin"
DB00332	drugbank	Ipratropium bromide	"ipratropium bromide"
DB00333	drugbank	Methadone	"methadone"
DB00334	drugbank	Olanzapine	"olanzapine"
DB00335	drugbank	Atenolol	"atenolol"
DB00336	drugbank	Nitrofural	"nitrofural"
DB00337	drugbank	Pimecrolimus	"pimecrolimus"
DB00338	drugbank	Omeprazole	"omeprazole"
DB00339	drugbank	Pyrazinamide	"pyrazinamide"
DB00340	drugbank	Metixene	"metixene"
DB00341	drugbank	Cetirizine	"cetirizine"
DB00342	drugbank	Terfenadine	"terfenadine"
DB00343	drugbank	Diltiazem	"diltiazem"
DB00344	drugbank	Protriptyline	"protriptyline"
DB00345	drugbank	Aminohippuric acid	"aminohippuric acid"
DB00346	drugbank	Alfuzosin	"alfuzosin"
DB00347	drugbank	Trimethadione	"trimethadione"
DB00348	drugbank	Nitisinone	"nitisinone"
DB00349	drugbank	Clobazam	"clobazam"
DB00350	drugbank	Minoxidil	"minoxidil"
DB00351	drugbank	Megestrol acetate	"megestrol acetate"
DB00352	drugbank	Tioguanine	"tioguanine"
DB00353	drugbank	Methylergometrine	"methylergometrine"
DB00354	drugbank	Buclizine	"buclizine"
DB00355	drugbank	Aztreonam	"aztreonam"
DB00356	drugbank	Chlorzoxazone	"chlorzoxazone"
DB00357	drugbank	Aminoglutethimide	"aminoglutethimide"
DB00358	drugbank	Mefloquine	"mefloquine"
DB00359	drugbank	Sulfadiazine	"sulfadiazine"
DB00360	drugbank	Sapropterin	"sapropterin"
DB00361	drugbank	Vinorelbine	"vinorelbine"
DB00362	drugbank	Anidulafungin	"anidulafungin"
DB00363	drugbank	Clozapine	"clozapine"
DB00364	drugbank	Sucralfate	"sucralfate"
DB00365	drugbank	Grepafloxacin	"grepafloxacin"
DB00366	drugbank	Doxylamine	"doxylamine"
DB00367	drugbank	Levonorgestrel	"levonorgestrel"
DB00368	drugbank	Norepinephrine	"norepinephrine"
DB00369	drugbank	Cidofovir	"cidofovir"
DB00370	drugbank	Mirtazapine	"mirtazapine"
DB00371	drugbank	Meprobamate	"meprobamate"
DB00372	drugbank	Thiethylperazine	"thiethylperazine"
DB00373	drugbank	Timolol	"timolol"
DB00374	drugbank	Treprostinil	"treprostinil"
DB00375	drugbank	Colestipol	"colestipol"
DB00376	drugbank	Trihexyphenidyl	"trihexyphenidyl"
DB00377	drugbank	Palonosetron	"palonosetron"
DB00378	drugbank	Dydrogesterone	"dydrogesterone"
DB00379	drugbank	Mexiletine	"mexiletine"
DB00380	drugbank	Dexrazoxane	"dexrazoxane"
DB00381	drugbank	Amlodipine	"amlodipine"
DB00382	drugbank	Tacrine	"tacrine"
DB00383	drugbank	Oxyphencyclimine	"oxyphencyclimine"
DB00384	drugbank	Triamterene	"triamterene"
DB00385	drugbank	Valrubicin	"valrubicin"
DB00386	drugbank	Alseroxylon	"alseroxylon"
DB00387	drugbank	Procyclidine	"procyclidine"
DB00388	drugbank	Phenylephrine	"phenylephrine"
DB00389	drugbank	Carbimazole	"carbimazole"
DB00390	drugbank	Digoxin	"digoxin"
DB00391	drugbank	Sulpiride	"sulpiride"
DB00392	drugbank	Ethopropazine	"ethopropazine"
DB00393	drugbank	Nimodipine	"nimodipine"
DB00394	drugbank	Beclomethasone dipropionate	"beclomethasone dipropionate"
DB00395	drugbank	Carisoprodol	"carisoprodol"
DB00396	drugbank	Progesterone	"progesterone"
DB00397	drugbank	Phenylpropanolamine	"phenylpropanolamine"
DB00398	drugbank	Sorafenib	"sorafenib"
DB00399	drugbank	Zoledronic acid	"zoledronic acid"
DB00400	drugbank	Griseofulvin	"griseofulvin"
DB00401	drugbank	Nisoldipine	"nisoldipine"
DB00402	drugbank	Eszopiclone	"eszopiclone"
DB00403	drugbank	Ceruletide	"ceruletide"
DB00404	drugbank	Alprazolam	"alprazolam"
DB00405	drugbank	Dexbrompheniramine	"dexbrompheniramine"
DB00406	drugbank	Gentian Violet	"gentian violet"
DB00407	drugbank	Ardeparin	"ardeparin"
DB00408	drugbank	Loxapine	"loxapine"
DB00409	drugbank	Remoxipride	"remoxipride"
DB00410	drugbank	Mupirocin	"mupirocin"
DB00411	drugbank	Carbachol	"carbachol"
DB00412	drugbank	Rosiglitazone	"rosiglitazone"
DB00413	drugbank	Pramipexole	"pramipexole"
DB00414	drugbank	Acetohexamide	"acetohexamide"
DB00415	drugbank	Ampicillin	"ampicillin"
DB00416	drugbank	Metocurine Iodide	"metocurine iodide"
DB00417	drugbank	Phenoxymethylpenicillin	"phenoxymethylpenicillin"
DB00418	drugbank	Secobarbital	"secobarbital"
DB00419	drugbank	Miglustat	"miglustat"
DB00420	drugbank	Promazine	"promazine"
DB00421	drugbank	Spironolactone	"spironolactone"
DB00422	drugbank	Methylphenidate	"methylphenidate"
DB00423	drugbank	Methocarbamol	"methocarbamol"
DB00424	drugbank	Hyoscyamine	"hyoscyamine"
DB00425	drugbank	Zolpidem	"zolpidem"
DB00426	drugbank	Famciclovir	"famciclovir"
DB00427	drugbank	Triprolidine	"triprolidine"
DB00428	drugbank	Streptozocin	"streptozocin"
DB00429	drugbank	Carboprost Tromethamine	"carboprost tromethamine"
DB00430	drugbank	Cefpiramide	"cefpiramide"
DB00431	drugbank	Lindane	"lindane"
DB00432	drugbank	Trifluridine	"trifluridine"
DB00433	drugbank	Prochlorperazine	"prochlorperazine"
DB00434	drugbank	Cyproheptadine	"cyproheptadine"
DB00435	drugbank	Nitric Oxide	"nitric oxide"
DB00436	drugbank	Bendroflumethiazide	"bendroflumethiazide"
DB00437	drugbank	Allopurinol	"allopurinol"
DB00438	drugbank	Ceftazidime	"ceftazidime"
DB00439	drugbank	Cerivastatin	"cerivastatin"
DB00440	drugbank	Trimethoprim	"trimethoprim"
DB00441	drugbank	Gemcitabine	"gemcitabine"
DB00442	drugbank	Entecavir	"entecavir"
DB00443	drugbank	Betamethasone	"betamethasone"
DB00444	drugbank	Teniposide	"teniposide"
DB00445	drugbank	Epirubicin	"epirubicin"
DB00446	drugbank	Chloramphenicol	"chloramphenicol"
DB00447	drugbank	Loracarbef	"loracarbef"
DB00448	drugbank	Lansoprazole	"lansoprazole"
DB00449	drugbank	Dipivefrin	"dipivefrin"
DB00450	drugbank	Droperidol	"droperidol"
DB00451	drugbank	Levothyroxine	"levothyroxine"
DB00452	drugbank	Framycetin	"framycetin"
DB00453	drugbank	Clomocycline	"clomocycline"
DB00454	drugbank	Pethidine	"pethidine"
DB00455	drugbank	Loratadine	"loratadine"
DB00456	drugbank	Cefalotin	"cefalotin"
DB00457	drugbank	Prazosin	"prazosin"
DB00458	drugbank	Imipramine	"imipramine"
DB00459	drugbank	Acitretin	"acitretin"
DB00460	drugbank	Verteporfin	"verteporfin"
DB00461	drugbank	Nabumetone	"nabumetone"
DB00462	drugbank	Methylscopolamine bromide	"methylscopolamine bromide"
DB00463	drugbank	Metharbital	"metharbital"
DB00464	drugbank	Sodium Tetradecyl Sulfate	"sodium tetradecyl sulfate"
DB00465	drugbank	Ketorolac	"ketorolac"
DB00466	drugbank	Picrotoxin	"picrotoxin"
DB00467	drugbank	Enoxacin	"enoxacin"
DB00468	drugbank	Quinine	"quinine"
DB00469	drugbank	Tenoxicam	"tenoxicam"
DB00470	drugbank	Dronabinol	"dronabinol"
DB00471	drugbank	Montelukast	"montelukast"
DB00472	drugbank	Fluoxetine	"fluoxetine"
DB00473	drugbank	Hexylcaine	"hexylcaine"
DB00474	drugbank	Methohexital	"methohexital"
DB00475	drugbank	Chlordiazepoxide	"chlordiazepoxide"
DB00476	drugbank	Duloxetine	"duloxetine"
DB00477	drugbank	Chlorpromazine	"chlorpromazine"
DB00478	drugbank	Rimantadine	"rimantadine"
DB00479	drugbank	Amikacin	"amikacin"
DB00480	drugbank	Lenalidomide	"lenalidomide"
DB00481	drugbank	Raloxifene	"raloxifene"
DB00482	drugbank	Celecoxib	"celecoxib"
DB00483	drugbank	Gallamine Triethiodide	"gallamine triethiodide"
DB00484	drugbank	Brimonidine	"brimonidine"
DB00485	drugbank	Dicloxacillin	"dicloxacillin"
DB00486	drugbank	Nabilone	"nabilone"
DB00487	drugbank	Pefloxacin	"pefloxacin"
DB00488	drugbank	Altretamine	"altretamine"
DB00489	drugbank	Sotalol	"sotalol"
DB00490	drugbank	Buspirone	"buspirone"
DB00491	drugbank	Miglitol	"miglitol"
DB00492	drugbank	Fosinopril	"fosinopril"
DB00493	drugbank	Cefotaxime	"cefotaxime"
DB00494	drugbank	Entacapone	"entacapone"
DB00495	drugbank	Zidovudine	"zidovudine"
DB00496	drugbank	Darifenacin	"darifenacin"
DB00497	drugbank	Oxycodone	"oxycodone"
DB00498	drugbank	Phenindione	"phenindione"
DB00499	drugbank	Flutamide	"flutamide"
DB00500	drugbank	Tolmetin	"tolmetin"
DB00501	drugbank	Cimetidine	"cimetidine"
DB00502	drugbank	Haloperidol	"haloperidol"
DB00503	drugbank	Ritonavir	"ritonavir"
DB00504	drugbank	Levallorphan	"levallorphan"
DB00505	drugbank	Tridihexethyl	"tridihexethyl"
DB00507	drugbank	Nitazoxanide	"nitazoxanide"
DB00508	drugbank	Triflupromazine	"triflupromazine"
DB00509	drugbank	Dextrothyroxine	"dextrothyroxine"
DB00511	drugbank	Acetyldigitoxin	"acetyldigitoxin"
DB00512	drugbank	Vancomycin	"vancomycin"
DB00513	drugbank	Aminocaproic Acid	"aminocaproic acid"
DB00514	drugbank	Dextromethorphan	"dextromethorphan"
DB00515	drugbank	Cisplatin	"cisplatin"
DB00516	drugbank	Bentoquatam	"bentoquatam"
DB00517	drugbank	Anisotropine Methylbromide	"anisotropine methylbromide"
DB00518	drugbank	Albendazole	"albendazole"
DB00519	drugbank	Trandolapril	"trandolapril"
DB00520	drugbank	Caspofungin	"caspofungin"
DB00521	drugbank	Carteolol	"carteolol"
DB00522	drugbank	Bentiromide	"bentiromide"
DB00523	drugbank	Alitretinoin	"alitretinoin"
DB00524	drugbank	Metolazone	"metolazone"
DB00525	drugbank	Tolnaftate	"tolnaftate"
DB00526	drugbank	Oxaliplatin	"oxaliplatin"
DB00527	drugbank	Cinchocaine	"cinchocaine"
DB00528	drugbank	Lercanidipine	"lercanidipine"
DB00529	drugbank	Foscarnet	"foscarnet"
DB00530	drugbank	Erlotinib	"erlotinib"
DB00531	drugbank	Cyclophosphamide	"cyclophosphamide"
DB00532	drugbank	Mephenytoin	"mephenytoin"
DB00533	drugbank	Rofecoxib	"rofecoxib"
DB00534	drugbank	Chlormerodrin	"chlormerodrin"
