code	termino	synonyme
DB00098	drugbank	Anti-thymocyte Globulin (Rabbit)
DB00099	drugbank	Filgrastim
DB00100	drugbank	Coagulation Factor IX
DB00102	drugbank	Becaplermin
DB00103	drugbank	Agalsidase beta
DB00104	drugbank	Octreotide
DB00105	drugbank	Interferon Alfa-2b, Recombinant
DB00106	drugbank	Abarelix
DB00107	drugbank	Oxytocin
DB00108	drugbank	Natalizumab
DB00109	drugbank	Enfuvirtide
DB00110	drugbank	Palivizumab
DB00111	drugbank	Daclizumab
DB00112	drugbank	Bevacizumab
DB00113	drugbank	Arcitumomab
DB00114	drugbank	Pyridoxal Phosphate
DB00115	drugbank	Cyanocobalamin
DB00116	drugbank	Tetrahydrofolic acid
DB00117	drugbank	L-Histidine
DB00118	drugbank	S-Adenosylmethionine
DB00119	drugbank	Pyruvic acid
DB00120	drugbank	L-Phenylalanine
DB00121	drugbank	Biotin
DB00122	drugbank	Choline
DB00123	drugbank	L-Lysine
DB00125	drugbank	L-Arginine
DB00126	drugbank	Vitamin C
DB00127	drugbank	Spermine
DB00128	drugbank	L-Aspartic Acid
DB00129	drugbank	L-Ornithine
DB00130	drugbank	L-Glutamine
DB00131	drugbank	Adenosine monophosphate
DB00132	drugbank	Alpha-Linolenic Acid
DB00133	drugbank	L-Serine
DB00134	drugbank	L-Methionine
DB00135	drugbank	L-Tyrosine
DB00136	drugbank	Calcitriol
DB00137	drugbank	Xanthophyll
DB00138	drugbank	L-Cystine
DB00139	drugbank	Succinic acid
DB00140	drugbank	Riboflavin
DB00141	drugbank	N-Acetyl-D-glucosamine
DB00142	drugbank	L-Glutamic Acid
DB00143	drugbank	Glutathione
DB00144	drugbank	Phosphatidyl serine
DB00145	drugbank	Glycine
DB00146	drugbank	Calcidiol
DB00147	drugbank	Pyridoxal
DB00148	drugbank	Creatine
DB00149	drugbank	L-Leucine
DB00150	drugbank	L-Tryptophan
DB00151	drugbank	L-Cysteine
DB00152	drugbank	Thiamine
DB00153	drugbank	Ergocalciferol
DB00154	drugbank	Dihomo-gamma-linolenic acid
DB00155	drugbank	L-Citrulline
DB00156	drugbank	L-Threonine
DB00157	drugbank	NADH
DB00158	drugbank	Folic Acid
DB00159	drugbank	Icosapent
DB00160	drugbank	L-Alanine
DB00161	drugbank	L-Valine
DB00162	drugbank	Vitamin A
DB00163	drugbank	Vitamin E
DB00165	drugbank	Pyridoxine
DB00166	drugbank	Lipoic Acid
DB00167	drugbank	L-Isoleucine
DB00168	drugbank	Aspartame
DB00169	drugbank	Cholecalciferol
DB00170	drugbank	Menadione
DB00171	drugbank	Adenosine triphosphate
DB00172	drugbank	L-Proline
DB00173	drugbank	Adenine
DB00174	drugbank	L-Asparagine
DB00175	drugbank	Pravastatin
DB00176	drugbank	Fluvoxamine
DB00177	drugbank	Valsartan
DB00178	drugbank	Ramipril
DB00179	drugbank	Masoprocol
DB00180	drugbank	Flunisolide
DB00181	drugbank	Baclofen
DB00182	drugbank	Amphetamine
DB00183	drugbank	Pentagastrin
DB00184	drugbank	Nicotine
DB00185	drugbank	Cevimeline
DB00186	drugbank	Lorazepam
DB00187	drugbank	Esmolol
DB00188	drugbank	Bortezomib
DB00189	drugbank	Ethchlorvynol
DB00190	drugbank	Carbidopa
DB00191	drugbank	Phentermine
DB00192	drugbank	Indecainide
DB00193	drugbank	Tramadol
DB00194	drugbank	Vidarabine
DB00195	drugbank	Betaxolol
DB00196	drugbank	Fluconazole
DB00197	drugbank	Troglitazone
DB00198	drugbank	Oseltamivir
DB00199	drugbank	Erythromycin
DB00200	drugbank	Hydroxocobalamin
DB00201	drugbank	Caffeine
DB00202	drugbank	Succinylcholine
DB00203	drugbank	Sildenafil
DB00204	drugbank	Dofetilide
DB00205	drugbank	Pyrimethamine
DB00206	drugbank	Reserpine
DB00207	drugbank	Azithromycin
DB00208	drugbank	Ticlopidine
DB00209	drugbank	Trospium
DB00210	drugbank	Adapalene
DB00211	drugbank	Midodrine
DB00212	drugbank	Remikiren
DB00213	drugbank	Pantoprazole
DB00214	drugbank	Torasemide
DB00215	drugbank	Citalopram
DB00216	drugbank	Eletriptan
DB00217	drugbank	Bethanidine
DB00218	drugbank	Moxifloxacin
DB00219	drugbank	Oxyphenonium
DB00220	drugbank	Nelfinavir
DB00221	drugbank	Isoetarine
DB00222	drugbank	Glimepiride
DB00223	drugbank	Diflorasone
DB00224	drugbank	Indinavir
DB00225	drugbank	Gadodiamide
DB00226	drugbank	Guanadrel
DB00227	drugbank	Lovastatin
DB00228	drugbank	Enflurane
DB00229	drugbank	Cefotiam
DB00230	drugbank	Pregabalin
DB00231	drugbank	Temazepam
DB00232	drugbank	Methyclothiazide
DB00233	drugbank	Aminosalicylic Acid
DB00234	drugbank	Reboxetine
DB00235	drugbank	Milrinone
DB00236	drugbank	Pipobroman
DB00237	drugbank	Butabarbital
DB00238	drugbank	Nevirapine
DB00239	drugbank	Oxiconazole
DB00240	drugbank	Alclometasone
DB00241	drugbank	Butalbital
DB00242	drugbank	Cladribine
DB00243	drugbank	Ranolazine
DB00244	drugbank	Mesalazine
DB00245	drugbank	Benzatropine
DB00246	drugbank	Ziprasidone
DB00247	drugbank	Methysergide
DB00248	drugbank	Cabergoline
DB00249	drugbank	Idoxuridine
DB00250	drugbank	Dapsone
DB00251	drugbank	Terconazole
DB00252	drugbank	Phenytoin
DB00253	drugbank	Medrysone
DB00254	drugbank	Doxycycline
DB00255	drugbank	Diethylstilbestrol
DB00256	drugbank	Lymecycline
DB00257	drugbank	Clotrimazole
DB00258	drugbank	Calcium Acetate
DB00259	drugbank	Sulfanilamide
DB00260	drugbank	Cycloserine
DB00261	drugbank	Anagrelide
DB00262	drugbank	Carmustine
DB00263	drugbank	Sulfisoxazole
DB00264	drugbank	Metoprolol
DB00265	drugbank	Crotamiton
DB00266	drugbank	Dicoumarol
DB00267	drugbank	Cefmenoxime
DB00268	drugbank	Ropinirole
DB00269	drugbank	Chlorotrianisene
DB00270	drugbank	Isradipine
DB00271	drugbank	Diatrizoate
DB00272	drugbank	Betazole
DB00273	drugbank	Topiramate
DB00274	drugbank	Cefmetazole
DB00275	drugbank	Olmesartan
DB00276	drugbank	Amsacrine
DB00277	drugbank	Theophylline
DB00278	drugbank	Argatroban
DB00279	drugbank	Liothyronine
DB00280	drugbank	Disopyramide
DB00281	drugbank	Lidocaine
DB00282	drugbank	Pamidronate
DB00283	drugbank	Clemastine
DB00284	drugbank	Acarbose
DB00285	drugbank	Venlafaxine
DB00286	drugbank	Conjugated Estrogens
DB00287	drugbank	Travoprost
DB00288	drugbank	Amcinonide
DB00289	drugbank	Atomoxetine
DB00290	drugbank	Bleomycin
DB00291	drugbank	Chlorambucil
DB00292	drugbank	Etomidate
DB00293	drugbank	Raltitrexed
DB00294	drugbank	Etonogestrel
DB00295	drugbank	Morphine
DB00296	drugbank	Ropivacaine
DB00297	drugbank	Bupivacaine
DB00298	drugbank	Dapiprazole
DB00299	drugbank	Penciclovir
DB00300	drugbank	Tenofovir
DB00301	drugbank	Flucloxacillin
DB00302	drugbank	Tranexamic Acid
DB00303	drugbank	Ertapenem
DB00304	drugbank	Desogestrel
DB00305	drugbank	Mitomycin
DB00306	drugbank	Talbutal
DB00307	drugbank	Bexarotene
DB00308	drugbank	Ibutilide
DB00309	drugbank	Vindesine
DB00310	drugbank	Chlorthalidone
DB00311	drugbank	Ethoxzolamide
DB00312	drugbank	Pentobarbital
DB00313	drugbank	Valproic Acid
DB00314	drugbank	Capreomycin
DB00315	drugbank	Zolmitriptan
DB00316	drugbank	Acetaminophen
DB00317	drugbank	Gefitinib
DB00318	drugbank	Codeine
DB00319	drugbank	Piperacillin
DB00320	drugbank	Dihydroergotamine
DB00321	drugbank	Amitriptyline
DB00322	drugbank	Floxuridine
DB00323	drugbank	Tolcapone
DB00324	drugbank	Fluorometholone
DB00325	drugbank	Nitroprusside
DB00326	drugbank	Calcium Gluceptate
DB00327	drugbank	Hydromorphone
DB00328	drugbank	Indomethacin
DB00330	drugbank	Ethambutol
DB00331	drugbank	Metformin
DB00332	drugbank	Ipratropium bromide
DB00333	drugbank	Methadone
DB00334	drugbank	Olanzapine
DB00335	drugbank	Atenolol
DB00336	drugbank	Nitrofural
DB00337	drugbank	Pimecrolimus
DB00338	drugbank	Omeprazole
DB00339	drugbank	Pyrazinamide
DB00340	drugbank	Metixene
DB00341	drugbank	Cetirizine
DB00342	drugbank	Terfenadine
DB00343	drugbank	Diltiazem
DB00344	drugbank	Protriptyline
DB00345	drugbank	Aminohippuric acid
DB00346	drugbank	Alfuzosin
DB00347	drugbank	Trimethadione
DB00348	drugbank	Nitisinone
DB00349	drugbank	Clobazam
DB00350	drugbank	Minoxidil
DB00351	drugbank	Megestrol acetate
DB00352	drugbank	Tioguanine
DB00353	drugbank	Methylergometrine
DB00354	drugbank	Buclizine
DB00355	drugbank	Aztreonam
DB00356	drugbank	Chlorzoxazone
DB00357	drugbank	Aminoglutethimide
DB00358	drugbank	Mefloquine
DB00359	drugbank	Sulfadiazine
DB00360	drugbank	Sapropterin
DB00361	drugbank	Vinorelbine
DB00362	drugbank	Anidulafungin
DB00363	drugbank	Clozapine
DB00364	drugbank	Sucralfate
DB00365	drugbank	Grepafloxacin
DB00366	drugbank	Doxylamine
DB00367	drugbank	Levonorgestrel
DB00368	drugbank	Norepinephrine
DB00369	drugbank	Cidofovir
DB00370	drugbank	Mirtazapine
DB00371	drugbank	Meprobamate
DB00372	drugbank	Thiethylperazine
DB00373	drugbank	Timolol
DB00374	drugbank	Treprostinil
DB00375	drugbank	Colestipol
DB00376	drugbank	Trihexyphenidyl
DB00377	drugbank	Palonosetron
DB00378	drugbank	Dydrogesterone
DB00379	drugbank	Mexiletine
DB00380	drugbank	Dexrazoxane
DB00381	drugbank	Amlodipine
DB00382	drugbank	Tacrine
DB00383	drugbank	Oxyphencyclimine
DB00384	drugbank	Triamterene
DB00385	drugbank	Valrubicin
DB00386	drugbank	Alseroxylon
DB00387	drugbank	Procyclidine
DB00388	drugbank	Phenylephrine
DB00389	drugbank	Carbimazole
DB00390	drugbank	Digoxin
DB00391	drugbank	Sulpiride
DB00392	drugbank	Ethopropazine
DB00393	drugbank	Nimodipine
DB00394	drugbank	Beclomethasone dipropionate
DB00395	drugbank	Carisoprodol
DB00396	drugbank	Progesterone
DB00397	drugbank	Phenylpropanolamine
DB00398	drugbank	Sorafenib
DB00399	drugbank	Zoledronic acid
DB00400	drugbank	Griseofulvin
DB00401	drugbank	Nisoldipine
DB00402	drugbank	Eszopiclone
DB00403	drugbank	Ceruletide
DB00404	drugbank	Alprazolam
DB00405	drugbank	Dexbrompheniramine
DB00406	drugbank	Gentian Violet
DB00407	drugbank	Ardeparin
DB00408	drugbank	Loxapine
DB00409	drugbank	Remoxipride
DB00410	drugbank	Mupirocin
DB00411	drugbank	Carbachol
DB00412	drugbank	Rosiglitazone
DB00413	drugbank	Pramipexole
DB00414	drugbank	Acetohexamide
DB00415	drugbank	Ampicillin
DB00416	drugbank	Metocurine Iodide
DB00417	drugbank	Phenoxymethylpenicillin
DB00418	drugbank	Secobarbital
DB00419	drugbank	Miglustat
DB00420	drugbank	Promazine
DB00421	drugbank	Spironolactone
DB00422	drugbank	Methylphenidate
DB00423	drugbank	Methocarbamol
DB00424	drugbank	Hyoscyamine
DB00425	drugbank	Zolpidem
DB00426	drugbank	Famciclovir
DB00427	drugbank	Triprolidine
DB00428	drugbank	Streptozocin
DB00429	drugbank	Carboprost Tromethamine
DB00430	drugbank	Cefpiramide
DB00431	drugbank	Lindane
DB00432	drugbank	Trifluridine
DB00433	drugbank	Prochlorperazine
DB00434	drugbank	Cyproheptadine
DB00435	drugbank	Nitric Oxide
DB00436	drugbank	Bendroflumethiazide
DB00437	drugbank	Allopurinol
DB00438	drugbank	Ceftazidime
DB00439	drugbank	Cerivastatin
DB00440	drugbank	Trimethoprim
DB00441	drugbank	Gemcitabine
DB00442	drugbank	Entecavir
DB00443	drugbank	Betamethasone
DB00444	drugbank	Teniposide
DB00445	drugbank	Epirubicin
DB00446	drugbank	Chloramphenicol
DB00447	drugbank	Loracarbef
DB00448	drugbank	Lansoprazole
DB00449	drugbank	Dipivefrin
DB00450	drugbank	Droperidol
DB00451	drugbank	Levothyroxine
DB00452	drugbank	Framycetin
DB00453	drugbank	Clomocycline
DB00454	drugbank	Pethidine
DB00455	drugbank	Loratadine
DB00456	drugbank	Cefalotin
DB00457	drugbank	Prazosin
DB00458	drugbank	Imipramine
DB00459	drugbank	Acitretin
DB00460	drugbank	Verteporfin
DB00461	drugbank	Nabumetone
DB00462	drugbank	Methylscopolamine bromide
DB00463	drugbank	Metharbital
DB00464	drugbank	Sodium Tetradecyl Sulfate
DB00465	drugbank	Ketorolac
DB00466	drugbank	Picrotoxin
DB00467	drugbank	Enoxacin
DB00468	drugbank	Quinine
DB00469	drugbank	Tenoxicam
DB00470	drugbank	Dronabinol
DB00471	drugbank	Montelukast
DB00472	drugbank	Fluoxetine
DB00473	drugbank	Hexylcaine
DB00474	drugbank	Methohexital
DB00475	drugbank	Chlordiazepoxide
DB00476	drugbank	Duloxetine
DB00477	drugbank	Chlorpromazine
DB00478	drugbank	Rimantadine
DB00479	drugbank	Amikacin
DB00480	drugbank	Lenalidomide
DB00481	drugbank	Raloxifene
DB00482	drugbank	Celecoxib
DB00483	drugbank	Gallamine Triethiodide
DB00484	drugbank	Brimonidine
DB00485	drugbank	Dicloxacillin
DB00486	drugbank	Nabilone
DB00487	drugbank	Pefloxacin
DB00488	drugbank	Altretamine
DB00489	drugbank	Sotalol
DB00490	drugbank	Buspirone
DB00491	drugbank	Miglitol
DB00492	drugbank	Fosinopril
DB00493	drugbank	Cefotaxime
DB00494	drugbank	Entacapone
DB00495	drugbank	Zidovudine
DB00496	drugbank	Darifenacin
DB00497	drugbank	Oxycodone
DB00498	drugbank	Phenindione
DB00499	drugbank	Flutamide
DB00500	drugbank	Tolmetin
DB00501	drugbank	Cimetidine
DB00502	drugbank	Haloperidol
DB00503	drugbank	Ritonavir
DB00504	drugbank	Levallorphan
DB00505	drugbank	Tridihexethyl
DB00507	drugbank	Nitazoxanide
DB00508	drugbank	Triflupromazine
DB00509	drugbank	Dextrothyroxine
DB00511	drugbank	Acetyldigitoxin
DB00512	drugbank	Vancomycin
DB00513	drugbank	Aminocaproic Acid
DB00514	drugbank	Dextromethorphan
DB00515	drugbank	Cisplatin
DB00516	drugbank	Bentoquatam
DB00517	drugbank	Anisotropine Methylbromide
DB00518	drugbank	Albendazole
DB00519	drugbank	Trandolapril
DB00520	drugbank	Caspofungin
DB00521	drugbank	Carteolol
DB00522	drugbank	Bentiromide
DB00523	drugbank	Alitretinoin
DB00524	drugbank	Metolazone
DB00525	drugbank	Tolnaftate
DB00526	drugbank	Oxaliplatin
DB00527	drugbank	Cinchocaine
DB00528	drugbank	Lercanidipine
DB00529	drugbank	Foscarnet
DB00530	drugbank	Erlotinib
DB00531	drugbank	Cyclophosphamide
DB00532	drugbank	Mephenytoin
DB00533	drugbank	Rofecoxib
DB00534	drugbank	Chlormerodrin
DB00535	drugbank	Cefdinir
DB00536	drugbank	Guanidine
DB00537	drugbank	Ciprofloxacin
DB00538	drugbank	Gadoversetamide
DB00539	drugbank	Toremifene
DB00540	drugbank	Nortriptyline
DB00541	drugbank	Vincristine
DB00542	drugbank	Benazepril
DB00543	drugbank	Amoxapine
DB00544	drugbank	Fluorouracil
DB00545	drugbank	Pyridostigmine
DB00546	drugbank	Adinazolam
DB00547	drugbank	Desoximetasone
DB00548	drugbank	Azelaic Acid
DB00549	drugbank	Zafirlukast
DB00550	drugbank	Propylthiouracil
DB00551	drugbank	Acetohydroxamic Acid
DB00552	drugbank	Pentostatin
DB00553	drugbank	Methoxsalen
DB00554	drugbank	Piroxicam
DB00555	drugbank	Lamotrigine
DB00556	drugbank	Perflutren
DB00557	drugbank	Hydroxyzine
DB00558	drugbank	Zanamivir
DB00559	drugbank	Bosentan
DB00560	drugbank	Tigecycline
DB00561	drugbank	Doxapram
DB00562	drugbank	Benzthiazide
DB00563	drugbank	Methotrexate
DB00564	drugbank	Carbamazepine
DB00565	drugbank	Cisatracurium besylate
DB00566	drugbank	Succimer
DB00567	drugbank	Cephalexin
DB00568	drugbank	Cinnarizine
DB00569	drugbank	Fondaparinux sodium
DB00570	drugbank	Vinblastine
DB00571	drugbank	Propranolol
DB00572	drugbank	Atropine
DB00573	drugbank	Fenoprofen
DB00574	drugbank	Fenfluramine
DB00575	drugbank	Clonidine
DB00576	drugbank	Sulfamethizole
DB00577	drugbank	Valaciclovir
DB00578	drugbank	Carbenicillin
DB00579	drugbank	Mazindol
DB00580	drugbank	Valdecoxib
DB00581	drugbank	Lactulose
DB00582	drugbank	Voriconazole
DB00583	drugbank	L-Carnitine
DB00584	drugbank	Enalapril
DB00585	drugbank	Nizatidine
DB00586	drugbank	Diclofenac
DB00587	drugbank	Cinalukast
DB00588	drugbank	Fluticasone Propionate
DB00589	drugbank	Lisuride
DB00590	drugbank	Doxazosin
DB00591	drugbank	Fluocinolone Acetonide
DB00592	drugbank	Piperazine
DB00593	drugbank	Ethosuximide
DB00594	drugbank	Amiloride
DB00595	drugbank	Oxytetracycline
DB00596	drugbank	Ulobetasol
DB00597	drugbank	Gadoteridol
DB00598	drugbank	Labetalol
DB00599	drugbank	Thiopental
DB00600	drugbank	Monobenzone
DB00601	drugbank	Linezolid
DB00602	drugbank	Ivermectin
DB00603	drugbank	Medroxyprogesterone acetate
DB00604	drugbank	Cisapride
DB00605	drugbank	Sulindac
DB00606	drugbank	Cyclothiazide
DB00607	drugbank	Nafcillin
DB00608	drugbank	Chloroquine
DB00609	drugbank	Ethionamide
DB00610	drugbank	Metaraminol
DB00611	drugbank	Butorphanol
DB00612	drugbank	Bisoprolol
DB00613	drugbank	Amodiaquine
DB00614	drugbank	Furazolidone
DB00615	drugbank	Rifabutin
DB00616	drugbank	Candoxatril
DB00617	drugbank	Paramethadione
DB00618	drugbank	Demeclocycline
DB00619	drugbank	Imatinib
DB00620	drugbank	Triamcinolone
DB00621	drugbank	Oxandrolone
DB00622	drugbank	Nicardipine
DB00623	drugbank	Fluphenazine
DB00624	drugbank	Testosterone
DB00625	drugbank	Efavirenz
DB00626	drugbank	Bacitracin
DB00627	drugbank	Niacin
DB00628	drugbank	Clorazepate
DB00629	drugbank	Guanabenz
DB00630	drugbank	Alendronic acid
DB00631	drugbank	Clofarabine
DB00632	drugbank	Docosanol
DB00633	drugbank	Dexmedetomidine
DB00634	drugbank	Sulfacetamide
DB00635	drugbank	Prednisone
DB00636	drugbank	Clofibrate
DB00637	drugbank	Astemizole
DB00638	drugbank	Inulin
DB00639	drugbank	Butoconazole
DB00640	drugbank	Adenosine
DB00641	drugbank	Simvastatin
DB00642	drugbank	Pemetrexed
DB00643	drugbank	Mebendazole
DB00644	drugbank	Gonadorelin
DB00645	drugbank	Dyclonine
DB00646	drugbank	Nystatin
DB00647	drugbank	Dextropropoxyphene
DB00648	drugbank	Mitotane
DB00649	drugbank	Stavudine
DB00650	drugbank	Leucovorin
DB00651	drugbank	Dyphylline
DB00652	drugbank	Pentazocine
DB00653	drugbank	Magnesium Sulfate
DB00654	drugbank	Latanoprost
DB00655	drugbank	Estrone
DB00656	drugbank	Trazodone
DB00657	drugbank	Mecamylamine
DB00658	drugbank	Sevelamer
DB00659	drugbank	Acamprosate
DB00660	drugbank	Metaxalone
DB00661	drugbank	Verapamil
DB00662	drugbank	Trimethobenzamide
DB00663	drugbank	Flumethasone
DB00664	drugbank	Sulfametopyrazine
DB00665	drugbank	Nilutamide
DB00666	drugbank	Nafarelin
DB00667	drugbank	Histamine Phosphate
DB00668	drugbank	Epinephrine
DB00669	drugbank	Sumatriptan
DB00670	drugbank	Pirenzepine
DB00671	drugbank	Cefixime
DB00672	drugbank	Chlorpropamide
DB00673	drugbank	Aprepitant
DB00674	drugbank	Galantamine
DB00675	drugbank	Tamoxifen
DB00676	drugbank	Benzyl Benzoate
DB00677	drugbank	Isoflurophate
DB00678	drugbank	Losartan
DB00679	drugbank	Thioridazine
DB00680	drugbank	Moricizine
DB00681	drugbank	Amphotericin B
DB00682	drugbank	Warfarin
DB00683	drugbank	Midazolam
DB00684	drugbank	Tobramycin
DB00685	drugbank	Trovafloxacin
DB00686	drugbank	Pentosan Polysulfate
DB00687	drugbank	Fludrocortisone
DB00688	drugbank	Mycophenolate mofetil
DB00689	drugbank	Cephaloglycin
DB00690	drugbank	Flurazepam
DB00691	drugbank	Moexipril
DB00692	drugbank	Phentolamine
DB00693	drugbank	Fluorescein
DB00694	drugbank	Daunorubicin
DB00695	drugbank	Furosemide
DB00696	drugbank	Ergotamine
DB00697	drugbank	Tizanidine
DB00698	drugbank	Nitrofurantoin
DB00699	drugbank	Nicergoline
DB00700	drugbank	Eplerenone
DB00701	drugbank	Amprenavir
DB00702	drugbank	Icodextrin
DB00703	drugbank	Methazolamide
DB00704	drugbank	Naltrexone
DB00705	drugbank	Delavirdine
DB00706	drugbank	Tamsulosin
DB00707	drugbank	Porfimer
DB00708	drugbank	Sufentanil
DB00709	drugbank	Lamivudine
DB00710	drugbank	Ibandronate
DB00711	drugbank	Diethylcarbamazine
DB00712	drugbank	Flurbiprofen
DB00713	drugbank	Oxacillin
DB00714	drugbank	Apomorphine
DB00715	drugbank	Paroxetine
DB00716	drugbank	Nedocromil
DB00717	drugbank	Norethisterone
DB00718	drugbank	Adefovir Dipivoxil
DB00719	drugbank	Azatadine
DB00720	drugbank	Clodronate
DB00721	drugbank	Procaine
DB00722	drugbank	Lisinopril
DB00723	drugbank	Methoxamine
DB00724	drugbank	Imiquimod
DB00725	drugbank	Homatropine Methylbromide
DB00726	drugbank	Trimipramine
DB00727	drugbank	Nitroglycerin
DB00728	drugbank	Rocuronium
DB00729	drugbank	Diphemanil Methylsulfate
DB00730	drugbank	Thiabendazole
DB00731	drugbank	Nateglinide
DB00732	drugbank	Atracurium besylate
DB00733	drugbank	Pralidoxime
DB00734	drugbank	Risperidone
DB00735	drugbank	Naftifine
DB00736	drugbank	Esomeprazole
DB00737	drugbank	Meclizine
DB00738	drugbank	Pentamidine
DB00739	drugbank	Hetacillin
DB00740	drugbank	Riluzole
DB00741	drugbank	Hydrocortisone
DB00742	drugbank	Mannitol
DB00743	drugbank	Gadobenic acid
DB00744	drugbank	Zileuton
DB00745	drugbank	Modafinil
DB00746	drugbank	Deferoxamine
DB00747	drugbank	Scopolamine
DB00748	drugbank	Carbinoxamine
DB00749	drugbank	Etodolac
DB00750	drugbank	Prilocaine
DB00751	drugbank	Epinastine
DB00752	drugbank	Tranylcypromine
DB00753	drugbank	Isoflurane
DB00754	drugbank	Ethotoin
DB00755	drugbank	Tretinoin
DB00756	drugbank	Hexachlorophene
DB00757	drugbank	Dolasetron
DB00758	drugbank	Clopidogrel
DB00759	drugbank	Tetracycline
DB00760	drugbank	Meropenem
DB00761	drugbank	Potassium Chloride
DB00762	drugbank	Irinotecan
DB00763	drugbank	Methimazole
DB00764	drugbank	Mometasone
DB00765	drugbank	Metyrosine
DB00766	drugbank	Clavulanate
DB00767	drugbank	Benzquinamide
DB00768	drugbank	Olopatadine
DB00769	drugbank	Hydrocortamate
DB00770	drugbank	Alprostadil
DB00771	drugbank	Clidinium
DB00772	drugbank	Malathion
DB00773	drugbank	Etoposide
DB00774	drugbank	Hydroflumethiazide
DB00775	drugbank	Tirofiban
DB00776	drugbank	Oxcarbazepine
DB00777	drugbank	Propiomazine
DB00778	drugbank	Roxithromycin
DB00779	drugbank	Nalidixic Acid
DB00780	drugbank	Phenelzine
DB00781	drugbank	Polymyxin B Sulfate
DB00782	drugbank	Propantheline
DB00783	drugbank	Estradiol
DB00784	drugbank	Mefenamic acid
DB00785	drugbank	Cryptenamine
DB00786	drugbank	Marimastat
DB00787	drugbank	Aciclovir
DB00788	drugbank	Naproxen
DB00789	drugbank	Gadopentetate dimeglumine
DB00790	drugbank	Perindopril
DB00791	drugbank	Uracil mustard
DB00792	drugbank	Tripelennamine
DB00793	drugbank	Haloprogin
DB00794	drugbank	Primidone
DB00795	drugbank	Sulfasalazine
DB00796	drugbank	Candesartan
